H,1552261375,411581
X,1552261375,721630,1099
X,1552261376,722738,6797
X,1552261376,722782,25124
P,1552261377,5157
X,1552261377,723862,35558
X,1552261378,720266,51832
X,1552261378,720581,58764
X,1552261379,724086,55187
X,1552261379,723331,35798
X,1552261380,722216,30097
X,1552261380,722292,33864
X,1552261381,722168,35502
X,1552261382,719773,39784
X,1552261382,721275,40793
X,1552261383,721985,10460
X,1552261383,723210,11763
X,1552261384,721748,3781
X,1552261384,721130,14683
X,1552261385,720332,13298
X,1552261386,720987,19638
X,1552261386,723414,12468
X,1552261387,719761,20922
X,1552261387,721239,15387
X,1552261388,721118,11440
X,1552261388,720515,7343
X,1552261389,720282,10517
X,1552261390,718876,18443
X,1552261390,720168,7496
X,1552261391,720346,9650
X,1552261391,721740,7124
X,1552261392,717539,50981
X,1552261392,721170,26656
X,1552261393,722091,8306
X,1552261393,721422,18369
X,1552261394,721071,9442
X,1552261395,721515,7675
X,1552261395,721430,10612
X,1552261396,721564,4911
X,1552261396,720605,5691
X,1552261397,720915,5588
X,1552261397,720661,2801
X,1552261398,720721,6270
X,1552261399,720800,3474
X,1552261399,720898,1943
X,1552261400,721131,1850
X,1552261400,720584,3766
X,1552261401,719909,3157
X,1552261401,720438,1922
X,1552261402,719908,1117
X,1552261403,720271,2660
X,1552261403,720457,2017
X,1552261404,720741,1271
X,1552261404,721506,4340
X,1552261405,721471,1814
X,1552261405,721689,1557
X,1552261406,721816,1111
X,1552261407,722401,1929
P,1552261407,5155
X,1552261407,722062,3742
X,1552261408,722053,1110
X,1552261408,722106,2172
X,1552261409,722253,1061
X,1552261409,722406,1179
X,1552261410,722466,1093
X,1552261410,722553,1360
X,1552261411,722750,1098
X,1552261412,722007,8023
X,1552261412,722044,1393
X,1552261413,722042,2902
X,1552261413,721924,2006
X,1552261414,721914,1380
X,1552261414,721874,1652
X,1552261415,721793,2687
X,1552261415,721953,1698
X,1552261415,722218,1215
X,1552261416,722045,1513
X,1552261416,720913,1860
X,1552261417,721191,4981
X,1552261417,721420,2708
X,1552261418,721674,1931
X,1552261419,721395,4572
X,1552261419,722251,3056
X,1552261420,721469,9838
X,1552261420,721697,1131
X,1552261421,721346,1446
X,1552261421,721105,2077
X,1552261422,720441,4678
X,1552261423,721057,7101
X,1552261423,718969,10884
X,1552261424,722657,14086
X,1552261424,718561,42935
X,1552261425,719701,14613
X,1552261425,719776,46934
X,1552261426,719363,53012
X,1552261427,721966,25534
X,1552261427,721485,3855
X,1552261428,721037,4024
X,1552261428,720938,35271
X,1552261429,721228,1773
X,1552261429,721547,2410
X,1552261430,721292,10090
X,1552261430,721682,5388
X,1552261431,721250,1983
X,1552261432,720861,11763
X,1552261432,721374,5814
X,1552261433,721127,1057
X,1552261433,719685,13719
X,1552261434,720931,3882
X,1552261434,720451,2967
X,1552261435,719679,7865
X,1552261436,719685,5440
P,1552261436,5156
X,1552261436,719874,3718
X,1552261437,721451,11559
X,1552261437,719648,9720
X,1552261438,720751,1675
X,1552261438,720351,2079
X,1552261439,720285,2120
X,1552261440,720706,1570
X,1552261440,720707,2171
X,1552261441,720842,12619
X,1552261441,721945,6043
X,1552261442,720808,9536
X,1552261442,721261,1610
X,1552261443,721183,1081
X,1552261444,720805,4730
X,1552261444,721257,1198
X,1552261445,721194,2909
X,1552261445,722186,19108
X,1552261446,720191,23961
X,1552261446,720814,19462
X,1552261447,721036,20023
X,1552261448,721582,14788
X,1552261448,721841,12235
X,1552261449,721420,20323
X,1552261449,721574,12153
X,1552261450,721805,6161
X,1552261450,721437,1539
X,1552261451,721362,1549
X,1552261451,721677,1174
X,1552261452,721555,1133
X,1552261453,721679,1944
X,1552261453,721897,1556
X,1552261454,722224,1349
X,1552261454,721949,2010
X,1552261455,721360,7733
X,1552261455,721667,3382
X,1552261456,721089,1622
X,1552261456,721058,1557
X,1552261456,721187,1221
X,1552261457,721346,1179
X,1552261457,721233,1373
X,1552261458,721087,4612
X,1552261458,721652,5791
X,1552261459,721188,1864
X,1552261460,722142,12128
X,1552261460,719242,50429
X,1552261461,721326,60244
X,1552261461,722740,18444
X,1552261462,721584,62513
X,1552261462,719270,39259
X,1552261463,721010,5385
X,1552261464,720725,5709
X,1552261464,722982,51143
X,1552261465,718279,34351
P,1552261465,5156
X,1552261465,712610,23756
X,1552261466,714833,27262
X,1552261466,720610,21132
X,1552261467,718959,29574
X,1552261467,721059,9744
