,465234,2572
X,1552867409,465956,1973
X,1552867409,467009,1571
X,1552867410,466195,1064
X,1552867410,466425,1743
X,1552867411,464361,3847
X,1552867412,465848,898
P,1552867412,5106
X,1552867412,465942,928
X,1552867413,464112,2301
X,1552867413,464993,1921
X,1552867414,465753,1645
X,1552867414,466001,4242
X,1552867415,465768,1933
X,1552867415,466224,3121
X,1552867416,466748,902
X,1552867417,466994,532
X,1552867417,466832,969
X,1552867418,466807,1858
X,1552867418,466678,838
X,1552867419,464858,4450
X,1552867419,463232,4076
X,1552867420,466071,3155
X,1552867421,467599,1045
X,1552867421,468629,785
X,1552867422,468842,837
X,1552867422,469715,2131
X,1552867423,468665,2123
X,1552867423,468513,3122
X,1552867424,467578,2873
X,1552867425,466193,1256
X,1552867425,466999,1005
X,1552867426,467203,2970
X,1552867426,467988,2279
X,1552867427,469128,2374
X,1552867427,469874,2572
X,1552867428,469646,6576
X,1552867429,468207,4826
X,1552867429,466802,2547
X,1552867430,467031,1482
X,1552867430,467836,1103
X,1552867431,468192,1835
X,1552867431,468842,723
A,1552867431,466978,4004
T,1552867432,2750
U,1552867432,64566
X,1552867433,467972,2476
X,1552867434,467717,3990
X,1552867434,465715,1585
X,1552867435,464821,3167
X,1552867436,465668,2886
X,1552867436,465236,2542
X,1552867437,466033,2368
X,1552867437,466179,2303
X,1552867438,466428,3184
X,1552867438,464994,1434
X,1552867439,464767,2223
X,1552867440,464611,759
X,1552867440,464391,4595
X,1552867441,469121,3949
X,1552867441,470455,5431
X,1552867442,468246,3152
P,1552867442,5093
X,1552867442,466845,2193
X,1552867443,466625,936
X,1552867444,466829,3052
X,1552867444,465928,1269
X,1552867445,466797,1310
X,1552867445,467255,1831
X,1552867446,469082,1078
X,1552867446,469518,954
X,1552867447,467748,2588
X,1552867448,466303,2322
X,1552867448,464611,1018
X,1552867449,465852,798
X,1552867449,465777,2305
X,1552867450,465566,1340
X,1552867450,464756,3075
X,1552867450,466070,2339
X,1552867451,466007,1715
X,1552867451,465876,2039
X,1552867452,465940,2244
X,1552867452,467733,2466
X,1552867453,469373,1961
X,1552867453,468237,917
X,1552867454,468723,3646
X,1552867454,468660,6111
X,1552867455,464978,4840
X,1552867456,465525,1678
X,1552867456,465430,1236
X,1552867457,465290,2529
X,1552867457,466366,2675
X,1552867458,467232,3657
X,1552867458,468313,990
X,1552867459,468232,570
X,1552867460,468373,956
X,1552867460,467562,1290
X,1552867461,466673,2851
X,1552867461,465893,2556
X,1552867462,467754,5147
X,1552867462,467732,1850
X,1552867463,467544,3127
X,1552867464,467573,2144
X,1552867464,470010,6966
X,1552867465,470590,4491
X,1552867465,470720,1094
X,1552867466,470468,3279
X,1552867466,469494,4184
X,1552867467,469166,3177
X,1552867468,470308,3613
X,1552867468,467245,2993
X,1552867469,466988,3182
X,1552867469,465895,1510
X,1552867470,467240,5133
X,1552867470,470417,1710
X,1552867471,466682,5296
P,1552867471,5106
X,1552867471,466992,4189
X,1552867472,464390,2363
X,1552867473,466673,4132
X,1552867473,470192,1572
X,1552867474,469663,3413
X,1552867474,466361,5619
X,1552867475,471070,2801
X,1552867475,466261,2378
X,1552867476,467203,2634
X,1552867477,466107,2075
X,1552867477,467380,1464
X,1552867478,467458,2633
X,1552867478,469039,5131
X,1552867479,471606,2991
X,1552867479,469352,7443
X,1552867480,467505,3529
X,1552867481,470822,3513
X,1552867481,467843,2136
X,1552867482,468207,1018
X,1552867482,467471,1052
X,1552867483,467069,1016
X,1552867483,465369,2674
X,1552867484,464871,1955
X,1552867485,463596,3502
X,1552867485,464197,2117
X,1552867486,464186,1115
X,1552867486,466198,3403
X,1552867487,464404,3662
X,1552867487,466789,3977
X,1552867488,469687,3517
X,1552867489,468313,6582
X,1552867489,469681,3939
X,1552867490,470740,8033
X,1552867490,467523,858
X,1552867491,466116,2443
X,1552867491,466178,1828
X,1552867491,465038,4570
X,1552867491,464957,3711
X,1552867492,466243,1583
X,1552867493,466556,1415
X,1552867493,468668,2227
X,1552867494,470245,5432
X,1552867494,466514,1787
X,1552867495,467203,4992
X,1552867495,471811,4621
