,463473,3658
X,1552866666,466712,4105
X,1552866667,467204,4817
X,1552866667,466807,3174
X,1552866668,463171,3699
X,1552866668,463682,2553
X,1552866669,463137,1864
X,1552866670,465897,4591
X,1552866670,465477,4925
X,1552866671,463268,5794
X,1552866671,463003,10147
X,1552866671,456824,7542
X,1552866671,459181,2958
X,1552866672,461374,2314
X,1552866672,463677,2677
X,1552866673,463379,1320
X,1552866674,463874,3051
X,1552866674,462479,2647
X,1552866675,464037,9437
X,1552866675,470693,5266
X,1552866676,466595,3575
X,1552866676,469215,4836
X,1552866677,471998,2288
P,1552866677,5106
X,1552866678,473278,4746
X,1552866678,467693,4183
X,1552866679,465636,2778
X,1552866679,475090,9117
X,1552866680,469455,13097
X,1552866680,465283,2991
X,1552866681,466600,2455
X,1552866682,466450,2370
X,1552866682,468026,5494
X,1552866683,466212,5396
X,1552866683,464295,5876
X,1552866684,467991,4446
X,1552866684,468056,5249
X,1552866685,468376,2757
X,1552866686,468907,1616
X,1552866686,470831,3103
X,1552866687,473979,2323
X,1552866687,467084,3908
X,1552866688,466309,5135
X,1552866688,470511,4899
X,1552866689,477180,14762
X,1552866690,472978,11138
X,1552866690,464271,3967
X,1552866691,463045,2471
X,1552866691,464526,3132
X,1552866692,464995,1504
X,1552866692,463946,3854
X,1552866693,464923,4186
X,1552866693,466924,8736
X,1552866694,467487,7851
X,1552866695,464988,5068
X,1552866695,464517,4030
X,1552866696,464512,2687
X,1552866696,463063,2491
X,1552866697,463384,4342
X,1552866697,462351,1696
X,1552866698,462786,2136
X,1552866699,463404,2431
X,1552866699,463928,1441
X,1552866700,464391,2655
X,1552866700,463957,2794
X,1552866701,464063,3216
X,1552866701,463620,5373
X,1552866702,465896,1890
X,1552866703,465558,2125
X,1552866703,465831,2128
X,1552866704,464811,4458
X,1552866704,465909,1448
X,1552866705,463806,3567
X,1552866705,465539,3160
X,1552866706,465708,2666
X,1552866707,466275,1325
X,1552866707,465528,1829
P,1552866708,5108
X,1552866708,465016,2801
X,1552866708,465098,1611
X,1552866709,466982,2034
X,1552866709,465351,3419
X,1552866710,465113,4833
X,1552866711,465984,4465
X,1552866711,466060,2298
X,1552866712,465623,3737
X,1552866712,465906,2933
X,1552866712,467455,1808
X,1552866712,467486,2287
X,1552866713,465155,2164
X,1552866713,463715,5186
X,1552866714,464885,2435
X,1552866715,462019,1635
X,1552866715,461999,4387
X,1552866716,463029,3942
X,1552866716,462576,8062
X,1552866717,465132,4233
X,1552866717,464627,1262
X,1552866718,464588,6600
X,1552866719,467318,2401
X,1552866719,466237,1429
X,1552866720,467479,1724
X,1552866720,464068,6632
X,1552866721,466690,2026
X,1552866721,463398,2671
X,1552866722,466253,1539
X,1552866723,467402,3400
X,1552866723,462284,3855
X,1552866724,464565,3194
X,1552866724,466180,1873
X,1552866725,462974,4009
X,1552866725,463683,3183
X,1552866726,464591,3187
X,1552866727,463193,2551
X,1552866727,464590,4882
X,1552866728,462990,2608
X,1552866728,461527,2345
X,1552866729,463485,4044
X,1552866729,465579,3099
X,1552866730,463647,3209
X,1552866730,465717,5993
X,1552866731,466225,1818
X,1552866732,469423,4536
X,1552866732,469744,4527
X,1552866733,468764,2032
X,1552866733,467738,3898
X,1552866734,464096,6958
X,1552866734,464133,2042
X,1552866735,464305,3100
X,1552866736,465544,1191
X,1552866736,465524,2004
P,1552866737,5108
X,1552866737,465122,1233
X,1552866737,464108,2880
X,1552866738,465526,2922
X,1552866738,468661,2679
X,1552866739,466749,2774
X,1552866740,467706,2316
X,1552866740,469994,4794
X,1552866741,471237,10400
X,1552866741,466047,2783
X,1552866742,465430,2679
X,1552866742,464994,1946
X,1552866743,464118,2034
X,1552866744,463293,2300
X,1552866744,463437,2228
X,1552866745,466894,4856
X,1552866745,470986,3280
X,1552866746,467861,4887
X,1552866746,465799,3939
X,1552866747,463540,5820
X,1552866748,466462,4575
X,1552866748,466596,1900
X,1552866749,465661,4962
X,1552866749,465684,2143
X,1552866750,465235,1678
X,1552866750,465518,2397
X,1552866751,463964,2066
X,1552866751,465818,574
A,1552866751,466286,8828
T,1552866752,2749
U,1552866752,64566
