,1552866108,468342,3514
X,1552866109,469605,3150
X,1552866109,468891,5504
X,1552866110,466250,648
X,1552866110,465766,2468
X,1552866111,467437,752
X,1552866112,470797,1966
X,1552866112,472020,3127
X,1552866113,465572,5036
X,1552866113,466347,1057
X,1552866114,467592,2443
X,1552866114,467729,2609
X,1552866115,467142,2478
X,1552866116,464340,4769
X,1552866116,466778,2037
X,1552866117,466846,3087
X,1552866117,466537,3306
X,1552866118,466518,3909
X,1552866118,466015,4560
X,1552866119,464139,7655
X,1552866119,464146,3440
P,1552866120,5109
X,1552866120,464758,2737
X,1552866121,465549,2064
X,1552866121,466089,3415
X,1552866122,466388,1890
X,1552866122,466574,2747
X,1552866123,468760,3789
X,1552866123,467941,3009
X,1552866124,467174,3787
X,1552866125,467452,3726
X,1552866125,466050,5615
X,1552866126,465777,2563
X,1552866126,465445,3770
X,1552866127,465958,1015
X,1552866127,465730,1752
X,1552866128,465014,1538
X,1552866129,467066,1245
X,1552866129,468004,2388
X,1552866130,465849,2501
X,1552866130,465489,1015
X,1552866131,466210,2578
X,1552866131,466315,2730
X,1552866132,465227,2368
X,1552866133,466489,2077
X,1552866133,466834,2359
X,1552866134,466359,927
X,1552866134,464387,3012
X,1552866135,465324,2007
X,1552866135,466134,2035
X,1552866136,467818,668
X,1552866136,467789,1079
X,1552866137,467641,879
X,1552866138,468068,1569
X,1552866138,472978,5809
X,1552866138,469233,4861
X,1552866138,467463,7135
X,1552866139,465794,2485
X,1552866139,467193,3510
X,1552866140,467977,1132
X,1552866141,469909,690
X,1552866141,470205,4280
X,1552866142,469362,4876
X,1552866142,463735,3134
X,1552866143,465468,1838
X,1552866143,466671,2643
X,1552866144,467722,2501
X,1552866145,465668,4515
X,1552866145,466925,1838
X,1552866146,468293,2436
X,1552866146,467119,3550
X,1552866147,465911,2126
X,1552866147,464472,3449
X,1552866148,467468,2578
X,1552866149,468002,537
P,1552866149,5109
X,1552866149,467270,2427
X,1552866150,466318,2066
X,1552866150,464767,2356
X,1552866151,465189,1696
X,1552866151,465479,895
X,1552866152,466530,1496
X,1552866153,467903,1819
X,1552866153,467897,1414
X,1552866154,467633,1565
X,1552866154,466969,696
X,1552866155,466902,1359
X,1552866155,466492,1295
X,1552866156,466476,640
X,1552866156,466589,1108
X,1552866157,466387,1044
X,1552866158,466257,1830
X,1552866158,467239,695
X,1552866159,467332,1457
X,1552866159,465455,1662
X,1552866160,466200,566
X,1552866160,466100,1320
X,1552866161,465568,1560
X,1552866162,465064,2240
X,1552866162,468143,3788
X,1552866163,470038,3422
X,1552866163,468561,2460
X,1552866164,466115,7862
X,1552866164,464414,4062
X,1552866165,466403,1684
X,1552866166,467326,995
X,1552866166,466800,1783
X,1552866167,467367,803
X,1552866167,468709,1789
X,1552866168,467178,3375
X,1552866168,466807,2613
X,1552866169,466762,2833
X,1552866170,467652,3106
X,1552866170,463975,4628
X,1552866171,467805,2700
X,1552866171,467132,2437
X,1552866172,468995,3474
X,1552866172,470122,7588
X,1552866173,466794,2526
X,1552866174,466615,3969
X,1552866174,468228,2985
X,1552866175,466263,1084
X,1552866175,467107,2519
X,1552866176,467283,1280
X,1552866176,467622,1980
X,1552866177,468833,967
X,1552866177,467359,3525
X,1552866178,464284,3357
X,1552866179,465993,1824
P,1552866179,5108
X,1552866179,466836,2411
X,1552866179,468893,2251
X,1552866179,468578,1586
X,1552866180,468459,1120
X,1552866180,468150,1205
X,1552866181,467316,2285
X,1552866182,466198,2187
X,1552866182,465116,3044
X,1552866183,468536,5542
X,1552866183,468805,2688
X,1552866184,464916,5370
X,1552866184,464997,1409
X,1552866185,465910,1780
X,1552866186,466833,2909
X,1552866186,465690,784
X,1552866187,466880,1502
X,1552866187,466627,3555
X,1552866188,465794,2190
X,1552866188,464742,1204
X,1552866189,466365,1908
X,1552866190,467169,3663
X,1552866190,465780,3541
X,1552866191,465549,2742
X,1552866191,467094,4611
X,1552866192,467449,2265
X,1552866192,467322,3783
X,1552866193,465804,2414
X,1552866193,467053,3084
X,1552866194,463755,3142
X,1552866195,464204,2134
X,1552866195,464655,2986
