H,1550425137,311106
P,1550425137,5128
P,1550425167,5128
P,1550425196,5127
P,1550425226,5127
P,1550425255,5127
P,1550425285,5128
P,1550425314,5128
P,1550425343,5129
P,1550425373,5128
P,1550425402,5127
P,1550425431,5128
P,1550425460,5128
P,1550425490,5127
P,1550425520,5127
P,1550425549,5128
P,1550425579,5126
P,1550425608,5129
P,1550425637,5128
P,1550425666,5127
P,1550425696,5128
P,1550425725,5127
P,1550425754,5127
P,1550425784,5128
P,1550425814,5127
P,1550425843,5129
P,1550425872,5127
P,1550425902,5128
P,1550425931,5125
P,1550425960,5126
P,1550425990,5128
P,1550426019,5125
P,1550426048,5126
P,1550426077,5127
P,1550426108,5127
P,1550426137,5127
P,1550426166,5128
P,1550426196,5126
P,1550426225,5127
P,1550426254,5127
P,1550426283,5126
P,1550426313,5126
P,1550426342,5126
P,1550426371,5125
P,1550426401,5128
P,1550426431,5127
P,1550426460,5128
P,1550426489,5127
P,1550426519,5128
P,1550426548,5126
P,1550426577,5127
P,1550426606,5128
P,1550426636,5126
P,1550426665,5128
P,1550426695,5126
P,1550426725,5127
P,1550426754,5121
P,1550426783,5128
P,1550426812,5126
P,1550426842,5125
P,1550426871,5127
D,1550426878,424448
D,1550426880,442368
R,1550426880,700D9CE41
X,1550426882,674582,16926
X,1550426882,675689,20411
X,1550426883,674610,11701
X,1550426884,675663,9746
X,1550426884,674687,10567
X,1550426885,674860,13242
X,1550426885,675183,7589
X,1550426886,674833,2523
X,1550426886,674903,4849
X,1550426887,674894,15910
X,1550426888,674876,4063
X,1550426888,674630,29043
X,1550426889,674962,1335
X,1550426889,674061,52966
X,1550426890,676447,17828
X,1550426890,675221,1974
X,1550426891,675140,2350
X,1550426892,675057,2175
X,1550426892,674979,2880
X,1550426893,675032,1969
X,1550426893,675161,2455
X,1550426893,673577,31372
X,1550426893,676132,9063
X,1550426894,675045,2790
X,1550426895,673921,10086
X,1550426895,675202,1993
X,1550426896,675224,2462
X,1550426896,675061,2255
X,1550426897,675059,2679
X,1550426897,674964,2023
X,1550426898,675063,3608
X,1550426898,675014,2010
X,1550426899,675033,16874
X,1550426900,675198,1996
X,1550426900,675407,20184
P,1550426900,5118
X,1550426901,675124,6441
X,1550426901,675360,3513
X,1550426902,675100,1606
X,1550426902,675169,1235
X,1550426903,675112,6481
X,1550426904,675113,2727
X,1550426904,675182,7217
X,1550426905,675250,1741
X,1550426905,675018,1904
X,1550426906,675121,2229
X,1550426906,674457,24691
X,1550426907,675241,2297
X,1550426908,675083,12950
X,1550426908,675199,4024
X,1550426909,675670,5626
X,1550426909,675283,16903
X,1550426910,678717,28449
X,1550426910,677988,46284
X,1550426911,676378,36042
X,1550426911,675799,11624
X,1550426912,675617,1710
X,1550426913,675459,1591
X,1550426913,675367,1829
X,1550426914,675307,2042
X,1550426914,675368,2718
X,1550426915,675403,1281
X,1550426915,673280,35152
X,1550426916,674746,19312
X,1550426917,677388,11595
X,1550426917,677182,10640
X,1550426918,673378,16015
X,1550426918,675467,1185
X,1550426919,675663,1493
X,1550426919,675510,1907
X,1550426920,675280,28922
X,1550426921,675290,5913
X,1550426921,675311,1673
X,1550426922,675447,2090
X,1550426922,675310,1792
X,1550426923,675345,1561
X,1550426923,675446,1480
X,1550426924,675453,1579
X,1550426925,675375,1244
X,1550426925,675321,968
X,1550426926,675397,873
X,1550426926,675348,1431
X,1550426927,675393,1856
X,1550426927,675417,1908
X,1550426928,675318,1698
X,1550426928,676121,8629
X,1550426929,674359,8665
X,1550426930,675486,1180
X,1550426930,675447,1507
P,1550426930,5121
X,1550426931,675446,1510
X,1550426931,675410,14897
X,1550426932,675374,2548
X,1550426932,675574,1990
X,1550426933,675570,1441
X,1550426934,675079,36878
X,1550426934,675481,2727
X,1550426934,675682,9221
X,1550426934,675523,10056
X,1550426935,675436,3095
X,1550426935,675553,2397
X,1550426936,675865,10699
X,1550426937,675617,2739
X,1550426937,675585,1713
X,1550426938,675467,1213
X,1550426938,675497,1297
X,1550426939,675447,45536
X,1550426939,674141,11360
X,1550426940,675575,10164
X,1550426941,675637,2300
X,1550426941,675569,2250
X,1550426942,675274,23483
X,1550426942,671998,27915
X,1550426943,547545,10250
X,1550426943,303162,17980
X,1550426944,303283,10711
X,1550426944,302947,6097
X,1550426945,302817,3370
X,1550426946,302690,1663
X,1550426946,302636,941
X,1550426947,302842,506
X,1550426947,303483,623
X,1550426948,303980,267
X,1550426948,303886,3176
X,1550426949,304512,907
O,1550426950,303501,802
O,1550426950,303705,492
O,1550426951,303768,180
O,1550426951,303980,416
