H,1552188257,306256
T,1552188257,2824
U,1552188257,64508
X,1552188259,696089,2463
X,1552188260,695428,1093
X,1552188260,695361,889
X,1552188261,695183,1751
X,1552188261,695365,791
X,1552188262,694956,969
X,1552188262,694904,788
X,1552188263,694565,2549
X,1552188264,693713,1028
X,1552188264,694869,1972
X,1552188265,696052,1387
P,1552188265,5133
X,1552188265,696070,1241
X,1552188266,696040,1612
X,1552188266,695396,1020
X,1552188267,694787,1089
X,1552188268,694627,975
X,1552188268,694854,436
X,1552188269,694333,938
X,1552188269,694178,803
X,1552188270,694283,924
X,1552188270,694328,635
X,1552188271,694774,1007
X,1552188271,695261,678
X,1552188272,695013,847
X,1552188273,694791,1274
X,1552188273,694454,634
X,1552188274,694270,1564
X,1552188274,694171,867
X,1552188275,694260,986
X,1552188275,694008,609
X,1552188276,693022,965
X,1552188277,693588,789
X,1552188277,693488,1731
X,1552188278,695054,1998
X,1552188278,695278,864
X,1552188279,695286,569
A,1552188279,694576,2343
T,1552188279,2824
U,1552188279,64508
X,1552188281,696020,750
X,1552188281,695721,1528
X,1552188282,695204,752
X,1552188283,695242,561
X,1552188283,695197,880
X,1552188284,695075,1039
X,1552188284,695786,922
X,1552188285,695408,1100
X,1552188285,695346,592
X,1552188286,695472,504
X,1552188286,695493,555
X,1552188286,695417,960
X,1552188287,696076,824
X,1552188287,695666,1476
X,1552188288,695396,811
X,1552188288,695373,418
X,1552188289,695350,845
X,1552188289,695658,1035
X,1552188290,696339,801
X,1552188291,695675,767
X,1552188291,695699,449
X,1552188292,695376,703
X,1552188292,695071,903
X,1552188293,695912,850
X,1552188293,695689,1064
X,1552188294,694948,785
A,1552188294,695519,1391
T,1552188294,2824
P,1552188294,5158
U,1552188294,64508
X,1552188296,694808,1108
X,1552188296,694560,1370
X,1552188297,694059,870
X,1552188298,694035,553
X,1552188298,693853,878
X,1552188299,693153,775
X,1552188299,694240,2364
X,1552188300,694336,2056
X,1552188300,694461,937
X,1552188301,694066,1030
X,1552188302,694444,585
X,1552188302,695085,1746
X,1552188303,696281,1185
X,1552188303,695342,985
X,1552188304,693928,1687
X,1552188304,694491,1777
X,1552188305,694359,1416
X,1552188306,694927,1537
X,1552188306,695478,980
X,1552188307,695268,693
X,1552188307,695103,762
X,1552188308,695143,2224
X,1552188308,696145,1143
X,1552188309,696498,1444
X,1552188310,696641,1599
X,1552188310,697099,1145
X,1552188311,696810,791
X,1552188311,697338,1067
X,1552188312,698420,1540
X,1552188312,696816,1014
X,1552188313,696832,649
X,1552188314,697139,2248
X,1552188314,696324,1083
X,1552188315,696391,1675
X,1552188315,695858,637
X,1552188316,696121,690
X,1552188316,696262,400
X,1552188317,695682,707
X,1552188317,696103,1359
X,1552188318,695986,1563
X,1552188319,695648,511
X,1552188319,695576,518
X,1552188320,695804,428
X,1552188320,695966,1607
X,1552188321,696432,924
A,1552188321,695311,3679
T,1552188321,2824
U,1552188321,64508
X,1552188323,694979,985
X,1552188323,695609,931
X,1552188324,695568,1315
P,1552188324,5159
X,1552188325,695063,886
X,1552188325,695021,723
X,1552188326,694910,440
X,1552188326,695050,1565
X,1552188327,695906,1130
X,1552188327,695155,557
X,1552188327,694968,1022
X,1552188328,694948,640
X,1552188328,694773,900
X,1552188329,695740,1158
X,1552188329,695353,1298
X,1552188330,694858,603
X,1552188330,694698,566
X,1552188331,694582,831
X,1552188331,695183,1129
X,1552188332,695587,1169
X,1552188333,695115,709
X,1552188333,694784,803
X,1552188334,694766,469
X,1552188334,694815,1220
X,1552188335,695705,878
X,1552188335,695303,1028
X,1552188336,695085,540
X,1552188337,695054,499
X,1552188337,694818,581
X,1552188338,695070,1380
X,1552188338,695797,1253
X,1552188339,695240,757
X,1552188339,695225,596
A,1552188339,695019,1123
T,1552188340,2824
U,1552188340,64508
X,1552188341,696118,1148
X,1552188342,695536,478
X,1552188343,695467,848
X,1552188343,695610,583
X,1552188344,695451,710
X,1552188344,696142,712
X,1552188345,696208,1221
X,1552188345,695835,823
X,1552188346,695657,445
X,1552188346,695448,720
X,1552188347,695741,2054
X,1552188348,696433,1171
X,1552188348,695756,774
X,1552188349,695486,523
X,1552188349,695477,407
X,1552188350,695190,1202
X,1552188350,695966,693
X,1552188351,695178,1048
X,1552188352,695011,667
