H,1551974916,306256
X,1551974916,558434,19381
X,1551974917,558500,17502
X,1551974917,558214,15105
X,1551974918,558833,6192
X,1551974918,559235,2567
X,1551974919,559405,9499
X,1551974920,559593,2976
X,1551974920,559695,2605
X,1551974921,559329,801
X,1551974921,559372,6882
X,1551974922,558895,14154
X,1551974922,558246,20476
X,1551974923,557761,11627
X,1551974924,558552,3536
X,1551974924,558288,1613
X,1551974925,558894,13963
X,1551974925,558331,12164
X,1551974926,558850,981
X,1551974926,558955,1797
X,1551974927,558973,1302
X,1551974928,559175,21818
X,1551974928,558917,24742
X,1551974929,559052,16173
X,1551974929,558905,5753
P,1551974930,5186
X,1551974930,559667,8788
X,1551974930,558361,5610
X,1551974931,558342,5545
X,1551974931,559822,19404
X,1551974932,559350,17644
X,1551974933,558516,15550
X,1551974933,559752,8724
X,1551974934,556866,9042
X,1551974934,559584,18394
X,1551974935,557955,8207
X,1551974935,557024,19960
X,1551974936,557095,1403
X,1551974937,558033,14026
X,1551974937,557452,1261
X,1551974938,557947,1564
X,1551974938,558705,22544
X,1551974939,558417,14515
X,1551974939,558274,6834
X,1551974940,558678,6683
X,1551974941,558316,4655
X,1551974941,558553,13433
X,1551974942,558662,8749
X,1551974942,558637,15112
X,1551974943,558227,14008
X,1551974943,558280,16614
X,1551974944,558859,7414
X,1551974945,558901,10290
X,1551974945,559112,11450
X,1551974946,558209,25946
X,1551974946,560500,20995
X,1551974946,559378,3750
X,1551974946,560098,4275
X,1551974947,559585,8711
X,1551974948,560478,26081
X,1551974948,560247,20491
X,1551974949,559879,14764
X,1551974949,558760,16278
X,1551974950,559706,13763
X,1551974950,559243,6151
X,1551974951,559647,11172
X,1551974951,559186,10327
X,1551974952,559430,9745
X,1551974953,559026,2065
X,1551974953,558990,2781
X,1551974954,559040,5376
X,1551974954,558394,12889
X,1551974955,556748,9844
X,1551974955,557720,16180
X,1551974956,558031,11280
X,1551974957,558275,2001
X,1551974957,558169,595
X,1551974958,557309,8275
X,1551974958,557761,13887
P,1551974959,5225
X,1551974959,557445,7737
X,1551974959,558033,7090
X,1551974960,557433,18326
X,1551974961,558359,24722
X,1551974961,558377,12623
X,1551974962,559135,6216
X,1551974962,558671,5341
X,1551974963,558706,15968
X,1551974963,559010,18959
X,1551974964,558527,6266
X,1551974965,557782,15020
X,1551974965,558596,22566
X,1551974966,558991,39688
X,1551974966,559065,4560
X,1551974967,559400,14782
X,1551974967,558853,20919
X,1551974968,558272,44133
X,1551974968,558099,15124
X,1551974969,558634,21262
X,1551974970,558762,4689
X,1551974970,559014,17399
X,1551974971,558300,11299
X,1551974971,556920,17302
X,1551974972,555636,9373
X,1551974972,556202,25893
X,1551974973,558060,28336
X,1551974974,559406,21342
X,1551974974,556629,28599
X,1551974975,559113,4358
X,1551974975,558991,25957
X,1551974976,561084,17413
X,1551974976,560428,15838
X,1551974977,561551,16426
X,1551974978,561252,30642
X,1551974978,561889,26980
X,1551974979,558735,51848
X,1551974979,559547,51125
X,1551974980,562287,48721
X,1551974980,559057,36494
X,1551974981,558303,24705
X,1551974982,557010,40915
X,1551974982,559300,36854
X,1551974983,560639,21939
X,1551974983,559151,16831
X,1551974984,559110,24231
X,1551974984,561359,30402
X,1551974985,557961,18734
X,1551974985,558767,32484
X,1551974986,560349,17499
X,1551974987,557892,16744
X,1551974987,560124,34454
X,1551974987,557781,41930
X,1551974987,559013,7841
P,1551974988,5225
X,1551974988,559269,18840
X,1551974988,560025,24462
X,1551974989,559533,18021
X,1551974990,559801,39567
X,1551974990,558937,18152
X,1551974991,558791,33547
X,1551974991,556868,24372
X,1551974992,560502,20580
X,1551974992,556977,3938
X,1551974993,554436,17410
X,1551974994,557006,49681
X,1551974994,559505,34165
X,1551974995,558589,25898
X,1551974995,558199,30933
X,1551974996,558872,16825
X,1551974996,559000,3868
X,1551974997,559120,2500
X,1551974998,559758,20980
X,1551974998,559235,8867
X,1551974999,558776,10628
X,1551974999,558130,14243
X,1551975000,560680,41509
X,1551975000,557749,57567
X,1551975001,557094,11683
X,1551975002,559367,29158
X,1551975002,558924,16130
X,1551975003,557560,13020
X,1551975003,558691,29702
X,1551975004,557277,22478
X,1551975004,558329,8784
X,1551975005,558379,5856
X,1551975005,558415,16773
X,1551975006,558659,18921
X,1551975007,558320,33858
X,1551975007,558638,28192
X,1551975008,554978,17279
X,1551975008,553849,38941
X,1551975009,554513,26453
