H,1551974400,306256
U,1551974400,0
E,1551974400,1
P,1551974400,5236
D,1551974402,369920
D,1551974404,364288
D,1551974406,365056
D,1551974408,363776
D,1551974411,364800
D,1551974412,365312
D,1551974414,365056
D,1551974416,362496
D,1551974418,364032
D,1551974421,364800
D,1551974423,364032
D,1551974425,363264
D,1551974427,364288
P,1551974429,5236
D,1551974429,364288
D,1551974432,364800
D,1551974434,364288
D,1551974436,365056
D,1551974438,363776
D,1551974440,364544
D,1551974443,364032
D,1551974445,365312
D,1551974447,364288
D,1551974449,360448
D,1551974451,364032
D,1551974454,360448
D,1551974456,363776
D,1551974458,364800
P,1551974459,5236
D,1551974460,364800
D,1551974462,371200
R,1551974463,000000000
X,1551974464,558446,33466
X,1551974465,558592,9829
X,1551974465,558601,8052
X,1551974466,557620,19801
X,1551974467,557673,19690
X,1551974467,557992,24995
X,1551974468,557987,9064
X,1551974468,557943,7498
X,1551974469,556594,8594
X,1551974469,556645,4992
X,1551974470,555935,19344
X,1551974471,556766,25950
X,1551974471,557712,18543
X,1551974472,557052,4178
X,1551974472,556552,13974
X,1551974473,556330,16316
X,1551974473,558514,15950
X,1551974474,557488,15480
X,1551974474,558436,14954
X,1551974475,558501,16655
X,1551974476,557154,16784
X,1551974476,556675,17850
X,1551974477,555755,17898
X,1551974477,555449,11403
X,1551974478,556384,16609
X,1551974478,555897,12302
X,1551974479,552397,13189
X,1551974480,556489,25087
X,1551974480,555975,8112
X,1551974481,557190,6073
X,1551974481,557566,15684
X,1551974482,556351,34665
X,1551974482,554745,10680
X,1551974483,557007,20001
X,1551974484,552870,15771
X,1551974484,554254,8222
X,1551974485,557936,4616
X,1551974485,557096,6390
X,1551974486,556828,12745
X,1551974486,556407,6402
X,1551974487,556770,1347
X,1551974488,557756,1881
X,1551974488,558077,2479
X,1551974489,558092,1411
P,1551974489,5227
X,1551974489,558499,556
X,1551974490,558316,2199
X,1551974490,558312,4634
X,1551974491,559835,22881
X,1551974491,558240,27538
X,1551974492,559298,21222
X,1551974493,559108,23289
X,1551974493,558607,31933
X,1551974494,558649,14706
X,1551974494,559335,37993
X,1551974495,559226,17533
X,1551974495,558545,10097
X,1551974495,558835,19795
X,1551974496,556953,11741
X,1551974496,558100,2249
X,1551974497,557481,7174
X,1551974497,555938,10537
X,1551974498,556364,31099
X,1551974498,558880,35778
X,1551974499,557636,29548
X,1551974500,558867,17122
X,1551974500,558199,18675
X,1551974501,555278,39281
X,1551974501,556881,24097
X,1551974502,559217,10855
X,1551974502,559144,2692
X,1551974503,559189,2787
X,1551974504,557701,4402
X,1551974504,553612,9129
X,1551974505,556671,21795
X,1551974505,558314,25359
X,1551974506,556477,15150
X,1551974506,557320,14581
X,1551974507,554170,9883
X,1551974508,557694,7330
X,1551974508,554795,16320
X,1551974509,556748,14916
X,1551974509,557169,11890
X,1551974510,559148,17058
X,1551974510,558364,9389
X,1551974511,557912,5464
X,1551974511,558545,2230
X,1551974512,558056,1506
X,1551974513,557893,16564
X,1551974513,556619,6307
X,1551974514,557753,6177
X,1551974514,556952,9648
X,1551974515,558033,13826
X,1551974515,558147,9147
X,1551974516,557471,6970
X,1551974517,559160,16568
X,1551974517,558942,19540
X,1551974518,557068,24798
P,1551974518,5229
X,1551974518,555860,18325
X,1551974519,557324,10933
X,1551974519,557809,5774
X,1551974520,557753,3432
X,1551974521,558461,26059
X,1551974521,558781,12583
X,1551974522,558255,14413
X,1551974522,558636,28077
X,1551974523,559687,14504
X,1551974523,558704,13128
X,1551974524,558759,15748
X,1551974525,559883,13408
X,1551974525,558457,38580
X,1551974526,559412,14283
X,1551974526,557934,19323
X,1551974527,557469,36597
X,1551974527,556609,6516
X,1551974528,556930,2169
X,1551974528,558104,1504
X,1551974529,558317,1279
X,1551974530,558120,1933
X,1551974530,558192,2559
X,1551974531,558792,1863
X,1551974531,558916,1299
X,1551974532,558807,1388
X,1551974532,558722,1917
X,1551974533,558688,930
X,1551974534,558452,760
X,1551974534,558583,2098
X,1551974535,557471,1863
X,1551974535,556882,3334
X,1551974536,558359,1643
X,1551974536,558980,2281
X,1551974536,558879,1290
X,1551974537,557872,2227
X,1551974537,556655,1738
X,1551974538,556380,1430
X,1551974538,553352,4683
X,1551974539,557281,4809
X,1551974539,557293,4665
X,1551974540,557690,3314
X,1551974541,557101,3259
X,1551974541,558355,2016
X,1551974542,558015,2825
X,1551974542,557350,735
X,1551974543,557205,1683
X,1551974543,557519,805
X,1551974544,557526,1366
