,1564799976,625084,3898
X,1564799977,625703,13154
X,1564799978,625673,14323
X,1564799978,625046,1989
X,1564799979,624998,3141
X,1564799979,625030,6309
X,1564799980,625159,894
X,1564799980,625017,24634
X,1564799981,625006,1074
X,1564799982,624942,13968
X,1564799982,625123,1950
X,1564799983,625127,1268
X,1564799983,625095,1615
X,1564799984,624947,1415
X,1564799984,625069,1591
X,1564799985,626616,7202
X,1564799986,624280,22665
X,1564799986,625398,22972
X,1564799986,625064,17499
X,1564799986,625070,48332
X,1564799987,625293,27033
X,1564799987,625256,4452
X,1564799988,624539,8368
X,1564799989,626214,39352
X,1564799989,624468,14380
X,1564799990,624872,4953
P,1564799990,5102
X,1564799990,625703,2644
X,1564799991,625429,3329
X,1564799991,626609,12769
X,1564799992,625360,8838
X,1564799993,625471,14897
X,1564799993,625794,1914
X,1564799994,623772,59726
X,1564799994,625336,2540
X,1564799995,625086,9210
X,1564799995,625319,1961
X,1564799996,625379,1502
X,1564799997,626083,9559
X,1564799997,623468,23373
X,1564799998,625484,7494
X,1564799998,626432,15872
X,1564799999,625718,1813
X,1564799999,626179,13128
X,1564800000,627504,29668
X,1564800000,624492,4316
X,1564800001,624025,20288
X,1564800002,627351,30002
X,1564800002,625161,36926
X,1564800003,624951,3530
X,1564800003,624949,1834
X,1564800004,625078,1614
X,1564800004,625115,1369
X,1564800005,625093,2723
X,1564800006,625164,1866
X,1564800006,625392,21619
X,1564800007,624896,20048
X,1564800007,625133,2485
X,1564800008,625326,1925
X,1564800008,625151,1860
X,1564800009,625290,8324
X,1564800010,624712,3948
X,1564800010,625156,1609
X,1564800011,625086,1987
X,1564800011,625027,3731
X,1564800012,625095,1132
X,1564800012,624953,19801
X,1564800013,625497,16068
X,1564800014,625562,3381
X,1564800014,625417,2358
X,1564800015,625272,2596
X,1564800015,625859,8840
X,1564800016,625474,11747
X,1564800016,625613,14985
X,1564800017,627299,17605
X,1564800018,623890,24659
X,1564800018,624116,9842
X,1564800019,624770,8978
X,1564800019,624739,40842
X,1564800020,624957,4050
P,1564800020,5103
X,1564800020,625258,4382
X,1564800021,625196,3002
X,1564800022,625307,2429
X,1564800022,625150,2233
X,1564800023,625386,1422
X,1564800023,625189,1728
X,1564800024,625262,2345
X,1564800024,625113,2150
X,1564800025,624731,20723
X,1564800025,625037,14419
X,1564800026,625078,3642
X,1564800027,624995,25408
X,1564800027,625186,2930
