H,1558979668,272815
D,1558979668,133120
D,1558979670,133376
D,1558979671,133120
D,1558979673,132352
D,1558979676,132864
D,1558979678,132608
P,1558979679,5171
D,1558979680,132864
D,1558979682,132096
D,1558979684,133120
R,1558979685,000000000
X,1558979686,270085,3293
X,1558979687,269298,528
X,1558979687,270202,901
X,1558979688,270573,503
X,1558979688,270817,499
X,1558979689,270690,477
X,1558979690,270678,758
X,1558979690,270123,272
X,1558979691,270325,381
X,1558979691,270207,214
X,1558979692,270209,200
O,1558979692,270142,296
O,1558979693,269974,82
O,1558979694,270061,206
O,1558979694,270278,278
O,1558979695,270346,417
O,1558979695,270462,642
O,1558979696,270049,437
O,1558979696,269827,132
O,1558979697,269802,174
O,1558979698,269857,197
O,1558979698,269853,222
O,1558979699,269786,149
O,1558979699,269904,352
O,1558979700,269868,449
O,1558979700,269831,379
O,1558979701,269962,330
O,1558979702,270224,232
O,1558979702,270272,254
O,1558979703,269899,272
O,1558979703,270164,308
O,1558979704,269985,537
O,1558979704,269690,420
O,1558979705,269582,142
O,1558979706,269400,163
O,1558979706,269410,206
O,1558979707,269487,127
O,1558979707,269459,133
O,1558979708,269463,175
O,1558979708,269316,154
P,1558979709,5189
O,1558979709,269397,95
O,1558979710,269288,267
O,1558979710,269373,130
O,1558979711,269531,303
O,1558979711,269588,263
O,1558979712,269632,97
O,1558979712,269452,139
O,1558979712,269468,152
O,1558979712,269544,51
O,1558979713,269568,197
O,1558979714,269487,180
O,1558979714,269544,276
O,1558979715,269341,1168
O,1558979715,269078,347
O,1558979716,269637,842
O,1558979716,269850,318
O,1558979717,269721,498
O,1558979718,269517,421
O,1558979718,269544,117
O,1558979719,269646,128
O,1558979719,269708,303
O,1558979720,269542,129
O,1558979720,269733,180
O,1558979721,269529,359
O,1558979722,269403,117
O,1558979722,269400,140
O,1558979723,269520,175
O,1558979723,269549,331
O,1558979724,269394,326
O,1558979724,269729,245
O,1558979725,269951,270
O,1558979726,269921,263
O,1558979726,269948,174
O,1558979727,269798,272
O,1558979727,269736,252
O,1558979728,269669,170
O,1558979728,269601,107
O,1558979729,269569,120
O,1558979730,269537,104
O,1558979730,269624,144
O,1558979731,269678,327
O,1558979731,269770,212
O,1558979732,270158,413
O,1558979732,270437,507
O,1558979733,270494,897
O,1558979734,270165,542
O,1558979734,269993,1212
O,1558979735,269392,269
O,1558979735,269357,262
O,1558979736,269442,367
O,1558979736,269498,244
O,1558979737,269498,169
O,1558979737,269694,299
P,1558979738,5190
O,1558979738,269616,189
O,1558979739,269738,219
O,1558979739,269638,139
O,1558979740,269604,202
O,1558979740,269565,152
O,1558979741,269538,165
O,1558979741,269603,123
O,1558979742,269557,146
T,1558979742,2933
D,1558979743,130816
D,1558979746,131840
D,1558979748,131840
D,1558979750,131328
D,1558979752,131328
D,1558979753,130816
D,1558979756,131072
R,1558979756,000000000
X,1558979757,269063,2906
X,1558979758,269407,100
X,1558979759,269438,178
X,1558979759,269673,239
X,1558979760,269694,130
X,1558979760,269584,227
X,1558979761,269366,452
X,1558979761,269233,153
X,1558979762,269370,526
X,1558979763,268999,170
X,1558979763,268912,102
O,1558979764,268971,124
O,1558979764,269001,60
O,1558979765,269048,129
O,1558979765,269089,99
O,1558979766,269168,163
O,1558979767,269007,312
P,1558979767,5190
O,1558979767,269088,207
O,1558979768,268967,342
O,1558979768,269298,437
O,1558979769,269332,300
O,1558979769,269962,572
O,1558979770,269786,439
O,1558979770,269847,261
O,1558979771,269868,259
O,1558979772,269495,114
O,1558979772,269482,192
O,1558979773,269505,132
O,1558979773,269442,164
O,1558979774,269492,103
O,1558979774,269441,123
O,1558979775,269429,117
O,1558979776,269358,126
O,1558979776,269370,94
O,1558979777,269413,231
O,1558979777,269535,232
O,1558979778,269720,112
O,1558979778,269623,287
O,1558979779,269253,253
O,1558979780,269292,220
O,1558979780,269369,182
O,1558979781,269443,121
O,1558979781,269469,122
O,1558979782,269461,89
O,1558979782,269445,192
O,1558979783,269627,188
O,1558979784,269655,182
O,1558979784,269480,168
O,1558979785,269359,77
O,1558979785,269406,146
O,1558979786,269383,108
O,1558979786,269463,177
