H,1564794781,266219
T,1564794781,2883
X,1564794783,615266,12136
X,1564794784,615264,3612
X,1564794784,615170,1096
X,1564794785,614963,1677
X,1564794785,615047,1691
X,1564794786,615128,11662
X,1564794786,615362,3998
X,1564794787,615505,987
P,1564794787,5082
X,1564794787,615537,1670
X,1564794788,615736,2560
X,1564794789,615539,1240
X,1564794789,615559,755
X,1564794790,615569,1044
X,1564794790,615900,6075
X,1564794791,615245,10829
X,1564794791,616363,13273
X,1564794792,615526,14464
X,1564794793,615830,2396
X,1564794793,615866,2226
X,1564794794,615880,997
X,1564794794,615988,837
X,1564794795,616013,908
X,1564794795,615939,1178
X,1564794796,616078,1293
X,1564794797,616108,1524
X,1564794797,615772,920
X,1564794798,615565,1088
X,1564794798,615606,1361
X,1564794799,615827,909
X,1564794799,616042,2411
X,1564794800,615981,2283
X,1564794801,616133,1156
X,1564794801,616268,1880
X,1564794802,616800,2189
X,1564794802,618255,1878
X,1564794803,618357,5273
X,1564794803,618612,5684
X,1564794804,618556,1313
X,1564794805,618981,4334
X,1564794805,618783,1578
X,1564794806,618561,2600
X,1564794806,618550,1362
X,1564794807,618963,1047
X,1564794807,620358,15406
X,1564794808,618506,10441
X,1564794809,618980,16899
X,1564794809,619021,2498
X,1564794810,619343,5424
X,1564794810,618555,30004
X,1564794811,618996,21934
X,1564794811,617685,11801
X,1564794812,619586,9207
X,1564794812,619183,5549
X,1564794813,618871,8683
X,1564794814,619558,1709
X,1564794814,619317,928
X,1564794815,619560,2930
X,1564794815,619123,5765
X,1564794816,619321,2451
X,1564794816,619270,1904
X,1564794817,619260,970
P,1564794817,5108
X,1564794818,618988,2351
X,1564794818,619276,2382
X,1564794818,619278,1475
X,1564794818,620271,12315
X,1564794819,618871,13190
X,1564794819,619210,16839
X,1564794820,619701,1440
X,1564794821,619600,1199
X,1564794821,619871,2809
X,1564794822,619492,4935
X,1564794822,619976,1026
X,1564794823,619784,1398
X,1564794823,619765,24351
X,1564794824,619369,10898
X,1564794825,619829,1852
X,1564794825,619077,7950
X,1564794826,620101,6543
X,1564794826,619898,971
X,1564794827,620078,3677
X,1564794827,620122,2599
X,1564794828,619728,21770
X,1564794829,619019,11689
X,1564794829,619946,2671
X,1564794830,620004,2653
X,1564794830,620055,983
X,1564794831,620133,23721
X,1564794831,619849,6590
X,1564794832,620563,4482
X,1564794832,619999,4116
X,1564794833,620106,1385
X,1564794834,620189,1076
X,1564794834,620363,1692
X,1564794835,619537,11215
X,1564794835,620600,2504
X,1564794836,620263,1281
X,1564794836,620400,972
X,1564794837,620541,2439
X,1564794838,620424,1212
X,1564794838,620493,764
X,1564794839,620487,1624
X,1564794839,620658,1762
X,1564794840,620916,2333
X,1564794840,620693,1127
X,1564794841,620830,1442
X,1564794842,620673,967
X,1564794842,620742,1192
X,1564794843,620582,1736
X,1564794843,620400,19630
X,1564794844,620606,14761
X,1564794844,620672,8821
X,1564794845,620336,7053
X,1564794846,620664,6290
X,1564794846,620456,14264
P,1564794846,5109
X,1564794847,620226,15852
X,1564794847,621809,7899
X,1564794848,620122,15716
X,1564794848,621662,11291
X,1564794849,619967,8129
X,1564794850,621355,24143
X,1564794850,622968,14365
X,1564794851,619001,7965
X,1564794851,622843,11071
X,1564794852,622154,18988
X,1564794852,620953,13961
X,1564794853,621726,4581
X,1564794854,621730,3994
X,1564794854,621584,15637
X,1564794855,621868,9826
X,1564794855,621777,26054
X,1564794856,621674,2468
X,1564794856,621384,1408
X,1564794857,621620,2084
X,1564794857,621829,3461
X,1564794858,621678,1582
X,1564794859,621453,6086
X,1564794859,621705,6615
X,1564794859,621812,16768
X,1564794859,620781,10025
X,1564794860,622810,12531
X,1564794860,620389,18471
X,1564794861,620403,34560
X,1564794862,622435,26465
X,1564794862,621519,3832
X,1564794863,621839,2964
X,1564794863,621570,2786
X,1564794864,621245,4834
X,1564794864,621214,2149
X,1564794865,620890,10796
X,1564794866,621376,3948
X,1564794866,621101,4031
X,1564794867,621067,21730
X,1564794867,620208,10878
X,1564794868,621277,6758
X,1564794868,621129,4420
X,1564794869,621193,3207
X,1564794870,621192,1706
X,1564794870,620936,1556
X,1564794871,621354,1493
X,1564794871,621522,2207
X,1564794872,621349,1497
X,1564794872,621780,19296
X,1564794873,621078,17629
X,1564794874,621737,2977
X,1564794874,621705,2397
X,1564794875,621721,974
X,1564794875,621589,2913
P,1564794876,5107
