H,1559343183,272815
D,1559343183,171264
D,1559343186,171008
D,1559343188,171520
D,1559343190,171264
D,1559343192,301312
R,1559343192,5C00DDFC90
R,1559343192,5C00DDFC90
R,1559343192,5C00DDFC90
X,1559343194,680507,11663
X,1559343195,681360,9257
X,1559343195,681609,24341
X,1559343196,682974,15912
X,1559343196,681678,12860
X,1559343197,681766,16385
X,1559343197,681311,6769
X,1559343198,681665,5036
X,1559343199,682405,13849
X,1559343199,681197,4984
X,1559343200,681452,5319
X,1559343200,681845,4920
X,1559343201,681818,3759
X,1559343201,681727,5523
X,1559343202,682266,9106
X,1559343203,682170,6887
X,1559343203,682240,8308
X,1559343204,682153,3105
X,1559343204,680967,17665
X,1559343205,682377,14789
X,1559343205,682695,5020
X,1559343206,682878,24411
X,1559343206,681614,24698
X,1559343207,682135,6842
X,1559343208,682290,9062
X,1559343208,682662,6015
X,1559343209,682698,3795
P,1559343209,5130
X,1559343209,682767,3096
X,1559343210,682585,3060
X,1559343210,683410,10812
X,1559343211,680998,23872
X,1559343212,682589,10125
X,1559343212,682634,11657
X,1559343213,682538,4128
X,1559343213,682453,3554
X,1559343214,682264,10813
X,1559343214,682713,7161
X,1559343215,682489,2596
X,1559343216,682386,3085
X,1559343216,682605,2988
X,1559343217,682855,21372
X,1559343217,682358,7787
X,1559343218,682364,9030
X,1559343218,683301,4647
X,1559343218,683002,2740
X,1559343219,683170,2176
X,1559343219,683309,2664
X,1559343220,683065,2048
X,1559343220,683095,3128
X,1559343221,683483,3064
X,1559343221,683000,2128
X,1559343222,683147,2710
X,1559343223,683628,19379
X,1559343223,683790,10209
X,1559343224,683394,2883
X,1559343224,683428,4875
X,1559343225,683276,3516
X,1559343225,683162,2978
X,1559343226,683294,2942
X,1559343226,683316,2726
X,1559343227,683225,3948
X,1559343228,683355,2733
X,1559343228,683429,2579
X,1559343229,683495,2459
X,1559343229,683569,8561
X,1559343230,683178,10692
X,1559343230,683459,13107
X,1559343231,683580,11459
X,1559343232,683878,22496
X,1559343232,683698,18802
X,1559343233,683830,13734
X,1559343233,682493,35181
X,1559343234,684420,41016
X,1559343234,682551,63888
X,1559343235,685395,51661
X,1559343236,678811,51293
X,1559343236,685509,13402
X,1559343237,683943,13553
X,1559343237,681639,42380
X,1559343238,672321,4500
P,1559343238,5131
X,1559343238,570179,46565
X,1559343239,281505,7633
X,1559343240,281195,449
X,1559343240,280856,659
X,1559343241,280786,376
X,1559343241,280608,247
X,1559343242,280493,256
X,1559343242,280379,201
X,1559343243,280227,159
X,1559343244,280127,136
X,1559343244,280057,91
X,1559343245,280001,216
O,1559343245,279929,76
O,1559343246,279916,113
O,1559343246,279874,157
O,1559343247,279845,143
O,1559343248,279828,115
O,1559343248,279812,61
O,1559343249,279779,86
O,1559343249,279772,113
O,1559343250,279731,88
O,1559343250,279649,180
O,1559343251,279640,114
O,1559343251,279595,153
O,1559343252,279568,189
O,1559343253,279538,164
O,1559343253,279517,154
O,1559343254,279525,102
O,1559343254,279496,137
O,1559343255,279539,130
O,1559343255,279526,200
O,1559343256,279497,196
O,1559343257,279506,73
O,1559343257,279475,104
O,1559343258,279451,88
O,1559343258,279483,96
O,1559343259,279459,129
O,1559343259,279442,153
O,1559343259,279459,105
O,1559343260,279440,137
O,1559343260,279409,128
O,1559343261,279439,94
O,1559343261,279405,145
O,1559343262,279414,125
O,1559343262,279390,147
O,1559343263,279417,72
O,1559343264,279395,116
O,1559343264,279369,115
O,1559343265,279390,144
O,1559343265,279374,84
O,1559343266,279385,120
O,1559343266,279383,82
O,1559343267,279365,120
P,1559343267,5129
O,1559343268,279355,97
O,1559343268,279350,115
O,1559343269,279371,120
O,1559343269,279372,156
O,1559343270,279391,143
O,1559343270,279401,91
O,1559343271,279402,83
O,1559343272,279410,155
O,1559343272,279391,113
O,1559343273,279374,56
O,1559343273,279372,90
O,1559343274,279388,135
O,1559343274,279384,132
O,1559343275,279396,118
O,1559343275,279392,68
O,1559343276,279370,106
O,1559343277,279401,97
O,1559343277,279372,104
O,1559343278,279398,50
O,1559343278,279394,156
O,1559343279,279367,87
O,1559343279,279383,106
O,1559343280,279345,92
O,1559343281,279377,102
O,1559343281,279376,91
O,1559343282,279375,164
O,1559343282,279368,111
O,1559343283,279395,123
