H,1559766027,272815
D,1559766027,137472
D,1559766030,136192
D,1559766032,136960
D,1559766034,136192
D,1559766036,136960
P,1559766038,5068
D,1559766038,135936
D,1559766041,136960
D,1559766043,136448
D,1559766045,136448
D,1559766047,136448
D,1559766049,136704
D,1559766052,136448
D,1559766053,137472
D,1559766055,137472
D,1559766057,136960
D,1559766059,136448
D,1559766062,135424
D,1559766064,135936
D,1559766066,136448
P,1559766067,5080
D,1559766068,135424
D,1559766070,136192
D,1559766073,134912
D,1559766075,136448
D,1559766077,135424
D,1559766079,135424
D,1559766082,134656
D,1559766084,134656
D,1559766086,135680
D,1559766088,135680
D,1559766090,134912
D,1559766093,134912
D,1559766094,134912
D,1559766096,135424
P,1559766096,4989
D,1559766098,135680
D,1559766100,135936
D,1559766103,135936
D,1559766105,135680
D,1559766107,135168
D,1559766109,135936
D,1559766111,136192
D,1559766114,135936
D,1559766116,136704
D,1559766118,136704
D,1559766120,136192
D,1559766122,136704
D,1559766125,136704
P,1559766126,5080
D,1559766127,136448
D,1559766129,135680
D,1559766131,136192
D,1559766133,136960
D,1559766135,136448
D,1559766137,136448
D,1559766139,136448
D,1559766141,136960
D,1559766143,135936
D,1559766146,136192
D,1559766148,136704
D,1559766150,136960
D,1559766152,137216
D,1559766154,137216
P,1559766155,5079
D,1559766157,137728
D,1559766159,136704
D,1559766161,137472
D,1559766163,322560
R,1559766163,5C00DDFC90
X,1559766165,583091,13112
X,1559766166,585109,8207
X,1559766166,586291,2109
X,1559766167,586710,2462
X,1559766167,586546,3888
X,1559766168,588171,11531
X,1559766168,586568,10189
X,1559766169,588641,10181
X,1559766170,587078,3461
X,1559766170,587268,2750
X,1559766171,586819,19356
X,1559766171,588027,4940
X,1559766172,588079,2814
X,1559766172,588014,2416
X,1559766173,587342,2605
X,1559766174,587231,2136
X,1559766174,586932,12960
X,1559766175,586737,25666
X,1559766175,588606,9298
X,1559766176,587910,6801
X,1559766176,587823,20756
X,1559766176,586112,42275
X,1559766176,590303,11124
X,1559766177,590821,7209
X,1559766178,588326,15208
X,1559766178,589268,2559
X,1559766179,589132,10397
X,1559766179,588603,2126
X,1559766180,589088,1911
X,1559766180,589160,1954
X,1559766181,589473,1153
X,1559766182,589586,2496
X,1559766182,589487,1890
X,1559766183,589523,1766
X,1559766183,589300,972
X,1559766184,589443,3125
P,1559766184,5073
X,1559766184,589642,1612
X,1559766185,589996,1190
X,1559766186,589379,1880
X,1559766186,589020,2358
X,1559766187,588948,1846
X,1559766187,589434,772
X,1559766188,589268,13407
X,1559766188,589122,7307
X,1559766189,588845,11796
X,1559766190,588988,2663
X,1559766190,588890,1228
X,1559766191,588617,1775
X,1559766191,588669,820
X,1559766192,588650,1543
X,1559766192,588168,9173
X,1559766193,587863,2824
X,1559766194,587738,1591
X,1559766194,587681,1751
X,1559766195,587482,760
X,1559766195,587542,669
X,1559766196,587196,1224
X,1559766196,586610,1365
X,1559766197,586231,1189
X,1559766198,585605,8985
X,1559766198,586061,7166
X,1559766199,585486,1963
X,1559766199,586092,2327
X,1559766200,585519,1619
X,1559766200,584892,771
X,1559766201,585387,2360
X,1559766201,585595,1682
X,1559766202,585795,1905
X,1559766203,585896,1208
X,1559766203,586817,1766
X,1559766204,587375,1469
X,1559766204,587056,1610
X,1559766205,586489,9579
X,1559766205,586492,1886
X,1559766206,585512,3471
X,1559766207,584712,1797
X,1559766207,583335,3413
X,1559766208,582157,3450
X,1559766208,578592,2088
X,1559766209,573328,5435
X,1559766209,569365,6174
X,1559766210,575922,8507
X,1559766211,580418,6192
X,1559766211,582120,5866
X,1559766212,583670,3896
X,1559766212,584774,947
X,1559766213,585573,11124
X,1559766213,586249,12837
X,1559766214,586245,3009
P,1559766214,5072
X,1559766215,585004,21939
X,1559766215,585340,2317
X,1559766216,583534,1269
X,1559766216,583039,1561
X,1559766217,583922,2581
X,1559766217,584699,1863
X,1559766217,585061,1213
X,1559766218,585354,2146
X,1559766218,585446,2278
X,1559766219,586347,1626
X,1559766219,586149,2419
X,1559766220,586203,1435
X,1559766220,586986,3307
X,1559766221,585605,21879
X,1559766222,587023,1772
X,1559766222,587086,1677
X,1559766223,586729,1725
X,1559766223,587303,1802
X,1559766224,587392,2006
X,1559766224,587557,12573
X,1559766225,587555,2413
X,1559766225,587552,688
X,1559766226,587785,1990
X,1559766227,588104,878
X,1559766227,588257,7298
X,1559766228,588326,1221
X,1559766228,587864,642
X,1559766229,587719,796
X,1559766229,588172,2056
X,1559766230,588875,1216
X,1559766231,588988,1431
X,1559766231,588989,2959
X,1559766232,589236,1133
