H,1559454857,272815
D,1559454857,155136
P,1559454859,5075
D,1559454859,155648
D,1559454862,155904
D,1559454864,155136
D,1559454866,155648
D,1559454868,155392
D,1559454870,155648
D,1559454873,155392
D,1559454875,155392
D,1559454877,155392
D,1559454879,155904
D,1559454881,155904
D,1559454884,155392
D,1559454886,155904
D,1559454888,155136
P,1559454888,5128
D,1559454889,155392
D,1559454891,155904
D,1559454894,155648
D,1559454896,156160
D,1559454898,156672
D,1559454900,155648
D,1559454902,155904
D,1559454905,155904
D,1559454907,155648
D,1559454909,155648
D,1559454911,156160
D,1559454913,155904
D,1559454916,156160
D,1559454918,155904
P,1559454918,5035
D,1559454920,156160
D,1559454922,156416
D,1559454924,156416
D,1559454927,156160
D,1559454929,155904
R,1559454929,000000000
X,1559454930,242086,1741
X,1559454930,242186,165
X,1559454931,242394,223
X,1559454931,242329,205
X,1559454932,242191,190
X,1559454933,242119,264
X,1559454933,242061,233
X,1559454934,242075,400
X,1559454934,241999,191
X,1559454935,242074,137
X,1559454935,242185,175
O,1559454936,242137,227
O,1559454936,242355,176
O,1559454937,242392,164
O,1559454938,242512,239
O,1559454938,242545,293
O,1559454939,242408,121
O,1559454939,242302,203
O,1559454940,242472,200
O,1559454940,242455,127
O,1559454941,242561,170
O,1559454942,242531,201
O,1559454942,242554,153
O,1559454943,242530,127
O,1559454943,242518,156
O,1559454944,242494,184
O,1559454944,242572,148
O,1559454945,242521,139
O,1559454946,242377,152
O,1559454946,242303,138
O,1559454947,242282,112
P,1559454947,5124
O,1559454947,242330,174
O,1559454948,242262,201
O,1559454948,242155,292
O,1559454949,242027,294
O,1559454950,242327,260
O,1559454950,242333,177
O,1559454951,242361,137
O,1559454951,242118,253
O,1559454952,242135,270
O,1559454952,242214,300
O,1559454953,242150,223
O,1559454954,241955,202
O,1559454954,242137,241
O,1559454955,241949,207
O,1559454955,242109,222
O,1559454956,242099,235
O,1559454956,242069,204
O,1559454957,242207,295
O,1559454957,242267,199
O,1559454958,242304,181
O,1559454959,242052,117
O,1559454959,242130,156
O,1559454960,242138,172
O,1559454960,242061,283
O,1559454961,242001,129
O,1559454961,242002,82
O,1559454962,242007,364
O,1559454963,241916,336
O,1559454963,241909,277
O,1559454964,242458,646
O,1559454964,242635,243
O,1559454965,242673,348
O,1559454965,242544,321
O,1559454966,242360,151
O,1559454967,242443,130
O,1559454967,242555,122
O,1559454968,242435,201
O,1559454968,242356,418
O,1559454969,242561,230
O,1559454969,242552,131
O,1559454970,242404,219
O,1559454970,242436,273
O,1559454970,242336,289
O,1559454971,242360,256
O,1559454971,242440,200
O,1559454972,242828,123
O,1559454972,242940,301
O,1559454973,242936,199
O,1559454974,242959,224
O,1559454974,243027,157
O,1559454975,243083,201
O,1559454975,243058,233
O,1559454976,242894,229
P,1559454976,5120
O,1559454976,242830,124
O,1559454977,242830,173
O,1559454978,242841,126
O,1559454978,242922,129
O,1559454979,242819,358
O,1559454979,242733,323
O,1559454980,242649,321
O,1559454980,242742,135
O,1559454981,242906,156
O,1559454981,242744,274
O,1559454982,242941,166
O,1559454983,242974,257
O,1559454983,243037,97
O,1559454984,242971,188
O,1559454984,242913,305
O,1559454985,242841,280
O,1559454985,242719,195
T,1559454986,2906
D,1559454987,155904
D,1559454989,155904
D,1559454991,156160
D,1559454993,156160
D,1559454996,156160
D,1559454998,156160
D,1559455000,155904
D,1559455002,156160
D,1559455004,156672
P,1559455006,5127
D,1559455007,156672
D,1559455009,156672
D,1559455011,155904
D,1559455012,156416
D,1559455014,156416
D,1559455017,156928
D,1559455019,156416
D,1559455021,156928
D,1559455023,156928
R,1559455023,000000000
X,1559455025,243152,1721
X,1559455026,243249,211
X,1559455026,243353,229
X,1559455027,243315,90
X,1559455027,243181,166
X,1559455028,243182,108
X,1559455028,243318,210
X,1559455029,243484,240
X,1559455030,243544,143
X,1559455030,243483,116
X,1559455031,243504,93
O,1559455031,243479,297
O,1559455032,243383,200
O,1559455032,243311,164
O,1559455033,243144,243
O,1559455034,243126,214
O,1559455034,243147,293
O,1559455035,243221,202
O,1559455035,243268,192
P,1559455035,5122
O,1559455036,243235,345
O,1559455036,243059,137
O,1559455037,242995,194
O,1559455038,243041,219
O,1559455038,242973,155
O,1559455039,243059,212
O,1559455039,242941,290
