H,1561154164,272815
D,1561154164,196864
D,1561154166,196608
D,1561154168,194048
P,1561154170,4911
D,1561154170,195328
D,1561154172,195328
D,1561154174,196096
D,1561154176,196608
D,1561154178,195584
D,1561154180,195584
D,1561154182,195072
D,1561154185,196096
D,1561154187,198656
R,1561154187,5C00DDFC90
X,1561154189,670238,41014
X,1561154189,669508,30247
X,1561154190,667567,17324
X,1561154190,668919,30399
X,1561154191,672488,34536
X,1561154191,669147,7156
X,1561154192,669674,7323
X,1561154193,669540,26212
X,1561154193,668784,61696
X,1561154194,666268,64717
X,1561154194,666332,14661
X,1561154195,666543,43565
X,1561154195,667477,19288
X,1561154196,666977,27444
X,1561154197,667267,14199
X,1561154197,668465,26013
X,1561154198,668171,27376
X,1561154198,668230,20225
X,1561154199,666685,18487
P,1561154199,4904
X,1561154199,668295,32057
X,1561154200,668111,12088
X,1561154201,667017,8187
X,1561154201,666870,2362
X,1561154202,667385,4597
X,1561154202,667814,9249
X,1561154203,667640,4269
X,1561154203,667712,8113
X,1561154204,667513,7941
X,1561154205,667552,4860
X,1561154205,668403,4954
X,1561154206,667465,3287
X,1561154206,668424,5277
X,1561154207,668245,2275
X,1561154207,668193,3911
X,1561154208,668155,4119
X,1561154208,668605,6811
X,1561154209,668048,4835
X,1561154210,668323,5722
X,1561154210,668587,9108
X,1561154211,670685,14385
X,1561154211,667909,57288
X,1561154212,669180,39213
X,1561154212,668279,1427
X,1561154213,669161,56438
X,1561154213,669670,20234
X,1561154213,666766,65214
X,1561154214,669852,22832
X,1561154214,664981,52911
X,1561154215,666469,2575
X,1561154215,668157,3790
X,1561154216,668518,37446
X,1561154217,665467,58449
X,1561154217,672905,46764
X,1561154218,664444,1076
X,1561154218,668477,7452
X,1561154219,667095,24489
X,1561154219,667361,19138
X,1561154220,664732,25414
X,1561154221,669113,31031
X,1561154221,667628,61142
X,1561154222,672367,11610
X,1561154222,669708,51562
X,1561154223,676239,22968
X,1561154223,661232,31767
X,1561154224,665395,9239
X,1561154225,668962,16231
X,1561154225,671683,23242
X,1561154226,662943,35227
X,1561154226,667781,6163
X,1561154227,668135,19931
X,1561154227,666840,23287
X,1561154228,667333,4064
P,1561154228,4901
X,1561154229,667817,8073
X,1561154229,667679,10178
X,1561154230,666924,8785
X,1561154230,667114,4230
X,1561154231,667818,4604
X,1561154231,667622,3184
X,1561154232,666988,2713
X,1561154232,667754,9470
X,1561154233,668156,5063
X,1561154234,668444,4015
X,1561154234,668487,3605
X,1561154235,668754,2617
X,1561154235,668173,14781
X,1561154236,668492,7332
X,1561154236,667191,8349
X,1561154237,670089,35799
X,1561154238,667389,10298
X,1561154238,668929,14070
X,1561154239,669157,45310
X,1561154239,670221,55493
X,1561154240,660572,10153
X,1561154240,670820,54252
X,1561154241,668800,4092
X,1561154242,666994,25789
X,1561154242,664272,49890
X,1561154243,665726,4146
X,1561154243,667722,9028
X,1561154244,665631,6265
X,1561154244,666868,15900
X,1561154245,667279,6341
X,1561154246,667549,4811
X,1561154246,667033,20668
X,1561154247,667654,4064
X,1561154247,667664,3448
X,1561154248,667386,1985
X,1561154248,667456,2154
X,1561154249,667666,2431
X,1561154250,667521,2140
X,1561154250,667414,2528
X,1561154251,667608,2305
X,1561154251,668166,14985
X,1561154252,668375,18436
X,1561154252,668085,4173
X,1561154253,667164,9354
X,1561154254,668048,5637
X,1561154254,666854,35867
X,1561154254,667683,11411
X,1561154254,667397,4279
X,1561154255,667291,5078
X,1561154255,667411,2425
X,1561154256,667607,3209
X,1561154256,667543,4427
X,1561154257,667858,9204
P,1561154257,4904
X,1561154258,667305,7077
X,1561154258,667459,2432
X,1561154259,667699,4094
X,1561154259,667527,1887
X,1561154260,667397,2929
X,1561154260,667445,3503
X,1561154261,667065,14365
X,1561154262,668547,15954
X,1561154262,667847,3287
X,1561154263,667749,8299
X,1561154263,667824,2829
X,1561154264,667716,2211
X,1561154264,667630,3048
X,1561154265,667528,3496
X,1561154266,667702,2715
X,1561154266,667689,1444
X,1561154267,667746,1744
X,1561154267,667495,2260
X,1561154268,667725,5295
X,1561154268,667526,4253
X,1561154269,667777,2318
X,1561154270,667470,3542
X,1561154270,667862,2947
X,1561154271,667689,2218
X,1561154271,667710,1552
X,1561154272,667652,3273
X,1561154272,667795,7690
X,1561154273,667663,10491
X,1561154274,667789,2021
X,1561154274,667607,5677
X,1561154275,667766,3318
X,1561154275,667848,4588
X,1561154276,668181,6539
X,1561154276,667881,7651
