H,1559674931,272815
D,1559674931,183808
D,1559674933,184064
P,1559674934,5116
D,1559674934,184064
D,1559674936,183808
D,1559674938,184064
R,1559674939,000000000
X,1559674940,292168,2122
X,1559674941,292359,73
X,1559674941,292367,131
X,1559674942,292375,131
X,1559674943,292386,88
X,1559674943,292362,135
X,1559674944,292388,89
X,1559674944,292370,73
X,1559674945,292366,89
X,1559674945,292391,67
X,1559674946,292360,50
O,1559674947,292379,81
O,1559674947,292377,97
O,1559674948,292391,138
O,1559674948,292384,111
O,1559674949,292392,96
O,1559674949,292395,90
O,1559674950,292393,118
O,1559674951,292380,98
O,1559674951,292407,67
O,1559674952,292400,135
O,1559674952,292378,120
O,1559674953,292379,85
O,1559674953,292366,74
O,1559674954,292396,79
O,1559674955,292384,118
O,1559674955,292369,86
O,1559674956,292373,140
O,1559674956,292398,55
O,1559674957,292389,111
O,1559674957,292366,92
O,1559674958,292358,119
O,1559674958,292385,117
O,1559674959,292377,142
O,1559674960,292383,129
O,1559674960,292411,73
O,1559674961,292389,175
O,1559674961,292395,125
O,1559674962,292424,138
O,1559674962,292388,101
O,1559674963,292413,151
O,1559674964,292414,106
P,1559674964,5107
O,1559674964,292404,93
O,1559674965,292379,117
O,1559674965,292390,59
O,1559674966,292376,147
O,1559674966,292400,93
O,1559674967,292385,94
O,1559674968,292400,49
O,1559674968,292396,35
O,1559674969,292403,139
O,1559674969,292404,127
O,1559674970,292409,82
O,1559674970,292414,68
O,1559674971,292393,134
O,1559674972,292384,87
O,1559674972,292417,71
O,1559674973,292423,81
O,1559674973,292405,179
O,1559674974,292428,95
O,1559674974,292396,95
O,1559674974,292408,96
O,1559674975,292405,95
O,1559674975,292403,120
O,1559674976,292387,112
O,1559674976,292388,73
O,1559674977,292372,119
O,1559674977,292371,120
O,1559674978,292398,136
O,1559674979,292367,109
O,1559674979,292344,91
O,1559674980,292329,85
O,1559674980,292334,111
O,1559674981,292305,104
O,1559674981,292339,103
O,1559674982,292349,86
O,1559674982,292311,113
O,1559674983,292325,83
O,1559674984,292324,119
O,1559674984,292306,65
O,1559674985,292304,90
O,1559674985,292314,143
O,1559674986,292313,181
O,1559674986,292297,110
O,1559674987,292338,81
O,1559674988,292332,85
O,1559674988,292314,95
O,1559674989,292309,118
O,1559674989,292293,96
O,1559674990,292302,189
O,1559674990,292321,83
O,1559674991,292316,83
O,1559674992,292296,122
O,1559674992,292320,150
O,1559674993,292324,137
P,1559674993,5107
O,1559674993,292342,109
O,1559674994,292292,88
O,1559674994,292297,84
O,1559674995,292302,127
O,1559674996,292336,164
O,1559674996,292360,104
T,1559674996,2994
D,1559674997,183808
D,1559675000,184320
D,1559675002,184064
D,1559675004,183552
D,1559675006,183808
D,1559675008,183552
D,1559675011,183296
R,1559675011,000000000
X,1559675013,292187,2134
X,1559675013,292405,147
X,1559675014,292411,98
X,1559675014,292415,89
X,1559675015,292425,108
X,1559675015,292393,80
X,1559675015,292416,103
X,1559675015,292415,152
X,1559675016,292400,83
X,1559675017,292399,78
X,1559675017,292349,86
O,1559675018,292354,80
O,1559675018,292364,113
O,1559675019,292388,82
O,1559675019,292386,94
O,1559675020,292367,100
O,1559675021,292373,139
O,1559675021,292405,82
O,1559675022,292404,86
O,1559675022,292396,78
P,1559675022,5108
O,1559675023,292394,94
O,1559675023,292425,133
O,1559675024,292408,169
O,1559675025,292393,89
O,1559675025,292432,105
O,1559675026,292406,118
O,1559675026,292396,170
O,1559675027,292377,127
O,1559675027,292397,140
O,1559675028,292403,115
O,1559675029,292403,92
O,1559675029,292394,159
O,1559675030,292405,121
O,1559675030,292399,83
O,1559675031,292400,96
O,1559675031,292399,104
O,1559675032,292385,142
O,1559675033,292406,87
O,1559675033,292391,72
O,1559675034,292394,84
O,1559675034,292415,126
O,1559675035,292425,89
O,1559675035,292424,131
O,1559675036,292954,1427
O,1559675037,293381,152
O,1559675037,293306,130
O,1559675038,293246,147
O,1559675038,293210,104
O,1559675039,293176,115
O,1559675039,293152,119
O,1559675040,293135,95
O,1559675040,293120,80
O,1559675041,293122,89
O,1559675042,293086,75
O,1559675042,293086,83
