H,1559506450,272815
D,1559506450,419328
D,1559506452,428800
R,1559506453,000000000
X,1559506454,634527,3888
X,1559506455,634944,892
X,1559506455,634874,1457
X,1559506456,635149,2071
P,1559506456,5100
X,1559506457,632916,11763
X,1559506457,634823,1276
X,1559506458,634797,1513
X,1559506458,636343,12806
X,1559506459,634278,11003
X,1559506459,634983,1654
X,1559506460,634947,1453
X,1559506461,634990,2044
X,1559506461,635024,2190
X,1559506462,634975,1742
X,1559506462,634935,14954
X,1559506463,634840,2178
X,1559506463,635039,1621
X,1559506464,634912,856
X,1559506464,634909,1309
X,1559506465,634983,1806
X,1559506466,634884,1238
X,1559506466,634905,2012
X,1559506467,634957,1150
X,1559506467,634938,2339
X,1559506468,635052,1285
X,1559506468,634616,9669
X,1559506469,634997,1926
X,1559506470,635283,2054
X,1559506470,634939,7920
X,1559506471,633889,9329
X,1559506471,636198,15757
X,1559506472,635149,16298
X,1559506472,635279,4187
X,1559506473,635540,2840
X,1559506473,632273,34576
X,1559506473,634917,2464
X,1559506474,634813,1767
X,1559506474,634855,1549
X,1559506475,634894,2795
X,1559506475,634908,1657
X,1559506476,634686,22198
X,1559506477,635009,2802
X,1559506477,635414,17693
X,1559506478,635003,5742
X,1559506478,634764,3173
X,1559506479,634935,2557
X,1559506479,634955,2085
X,1559506480,635082,2285
X,1559506481,634961,2146
X,1559506481,634904,1054
X,1559506482,635056,2204
X,1559506482,634974,1602
X,1559506483,634886,1880
X,1559506483,634936,1089
X,1559506484,635023,1525
X,1559506485,634913,10460
X,1559506485,634856,1988
P,1559506486,5132
X,1559506486,634849,2744
X,1559506486,634868,2033
X,1559506487,634874,1440
X,1559506487,634867,2025
X,1559506488,634946,1950
X,1559506488,634941,2263
X,1559506489,635127,15426
X,1559506490,634608,6940
X,1559506490,635093,21647
X,1559506491,636283,22595
X,1559506491,635777,14559
X,1559506492,637980,61396
X,1559506492,637296,11746
X,1559506493,634543,3771
X,1559506494,634690,1937
X,1559506494,634333,20303
X,1559506495,635416,6067
X,1559506495,634831,2186
X,1559506496,635034,9904
X,1559506496,634854,1883
X,1559506497,634897,2772
X,1559506498,634044,8170
X,1559506498,635401,10673
X,1559506499,635173,1748
X,1559506499,634460,13588
X,1559506500,635097,4135
X,1559506500,635085,21808
X,1559506501,635014,1631
X,1559506502,634984,2218
X,1559506502,635010,1743
X,1559506503,635012,1694
X,1559506503,635177,1801
X,1559506504,635039,2111
X,1559506504,634859,1744
X,1559506505,634767,18814
X,1559506506,634918,1709
X,1559506506,635137,2432
X,1559506507,634975,1686
X,1559506507,634860,2226
X,1559506508,634913,1502
X,1559506508,635886,6922
X,1559506509,634442,6991
X,1559506509,635004,2476
X,1559506510,634917,2473
X,1559506511,635052,1983
X,1559506511,635022,1355
X,1559506512,634868,1455
X,1559506512,634913,1911
X,1559506513,634938,2241
X,1559506513,634965,1839
X,1559506514,634985,1040
X,1559506514,634937,1938
X,1559506514,634956,1386
P,1559506515,5134
X,1559506515,634946,1504
X,1559506515,635021,1709
X,1559506516,634883,1943
X,1559506516,634420,20548
X,1559506517,634821,5726
X,1559506518,634774,2782
X,1559506518,637524,31572
X,1559506519,635291,3044
X,1559506519,635223,1357
X,1559506520,635330,1656
X,1559506520,635387,44169
X,1559506521,634470,4484
X,1559506522,635195,1609
X,1559506522,635074,1559
X,1559506523,635046,1096
X,1559506523,634956,1958
X,1559506524,635004,1569
X,1559506524,635100,1277
X,1559506525,635093,1644
X,1559506526,635102,1884
X,1559506526,635144,1644
X,1559506527,635308,10355
X,1559506527,635115,2447
X,1559506528,635159,1935
X,1559506528,635183,9024
X,1559506529,635153,3083
X,1559506530,635181,2005
X,1559506530,635547,8191
X,1559506531,635113,5839
X,1559506531,635166,1342
X,1559506532,635215,1988
X,1559506532,635120,1901
X,1559506533,635336,2137
X,1559506533,635325,2241
X,1559506534,635273,2214
X,1559506535,635191,1727
X,1559506535,635192,1149
X,1559506536,635215,17990
X,1559506536,636199,10387
X,1559506537,635344,1088
X,1559506537,635551,13929
X,1559506538,634583,18624
X,1559506539,635735,7662
X,1559506539,635086,1645
X,1559506540,635156,3551
X,1559506540,634473,4941
X,1559506541,635322,6004
X,1559506541,635312,2093
X,1559506542,634287,19104
X,1559506543,638346,28112
X,1559506543,622953,49436
X,1559506544,487721,46587
X,1559506544,282942,29904
P,1559506545,5135
X,1559506545,282194,2955
X,1559506545,281854,809
