H,1560791015,272815
D,1560791015,161536
D,1560791017,161536
D,1560791019,161024
D,1560791021,160768
P,1560791022,5027
D,1560791024,161024
D,1560791026,161792
D,1560791028,162048
D,1560791030,161792
D,1560791032,161536
D,1560791035,161792
D,1560791037,161792
D,1560791039,161536
D,1560791040,161024
D,1560791042,161536
D,1560791045,161280
D,1560791047,161792
D,1560791049,161536
P,1560791051,5048
D,1560791051,161280
D,1560791054,161792
D,1560791056,162816
D,1560791058,161792
D,1560791060,162048
D,1560791062,162816
D,1560791065,162048
D,1560791067,162560
D,1560791069,161536
D,1560791071,161792
D,1560791073,161792
D,1560791076,162048
D,1560791078,161792
D,1560791080,161536
P,1560791080,5048
D,1560791081,162048
D,1560791083,161536
D,1560791086,161280
D,1560791088,161280
D,1560791090,161280
D,1560791092,161536
D,1560791094,161024
D,1560791097,160768
D,1560791099,161792
D,1560791101,161792
D,1560791103,162048
D,1560791105,161792
D,1560791108,161024
D,1560791110,161280
P,1560791110,5046
D,1560791112,160512
D,1560791114,161536
D,1560791116,161536
D,1560791119,160000
D,1560791121,160768
D,1560791122,161024
D,1560791124,161536
D,1560791126,161280
D,1560791129,161280
D,1560791131,162048
D,1560791133,161280
D,1560791135,160768
D,1560791137,160000
R,1560791137,000000000
X,1560791139,280606,2410
P,1560791140,5039
X,1560791140,280857,144
X,1560791140,280867,130
X,1560791141,280836,95
X,1560791141,280834,120
X,1560791142,280876,98
X,1560791143,280896,107
X,1560791143,280877,125
X,1560791144,280923,143
X,1560791144,280895,85
X,1560791145,280900,138
O,1560791145,280897,72
O,1560791146,280866,85
O,1560791147,280867,90
O,1560791147,280934,130
O,1560791148,280864,104
O,1560791148,280898,132
O,1560791149,280917,100
O,1560791149,280928,161
O,1560791150,280921,153
O,1560791151,280888,73
O,1560791151,280868,98
O,1560791152,280840,133
O,1560791152,280830,136
O,1560791153,280812,92
O,1560791153,280786,164
O,1560791154,280848,77
O,1560791155,280790,107
O,1560791155,280792,87
O,1560791156,280790,104
O,1560791156,280763,133
O,1560791157,280754,120
O,1560791157,280798,155
O,1560791158,280791,107
O,1560791159,280812,154
O,1560791159,280775,105
O,1560791160,280763,94
O,1560791160,280757,92
O,1560791161,280822,166
O,1560791161,280846,118
O,1560791162,280835,147
O,1560791162,280844,110
O,1560791162,280850,130
O,1560791163,280823,90
O,1560791163,280827,118
O,1560791164,280811,78
O,1560791164,280813,102
O,1560791165,280805,101
O,1560791165,280829,102
O,1560791166,280843,116
O,1560791167,280816,124
O,1560791167,280802,114
O,1560791168,280807,120
O,1560791168,280783,134
P,1560791169,5039
O,1560791169,280777,98
O,1560791169,280816,95
O,1560791170,280812,74
O,1560791171,280783,87
O,1560791171,280795,142
O,1560791172,280789,50
O,1560791172,280779,83
O,1560791173,280804,117
O,1560791173,280782,124
O,1560791174,280784,146
O,1560791175,280783,99
O,1560791175,280807,107
O,1560791176,280798,97
O,1560791176,280783,160
O,1560791177,280770,70
O,1560791177,280753,87
O,1560791178,280734,63
O,1560791179,280751,103
O,1560791179,280762,131
O,1560791180,280738,96
O,1560791180,280749,109
O,1560791181,280790,60
O,1560791181,280769,111
O,1560791182,280808,179
O,1560791183,280848,135
O,1560791183,280846,97
O,1560791184,280827,158
O,1560791184,280783,76
O,1560791185,280787,97
O,1560791185,280782,69
O,1560791186,280800,82
O,1560791186,280790,81
O,1560791187,280800,122
O,1560791188,280760,151
O,1560791188,280745,92
O,1560791189,280748,124
O,1560791189,280751,109
O,1560791190,280741,114
O,1560791190,280740,94
O,1560791191,280737,115
O,1560791192,280718,105
O,1560791192,280717,112
O,1560791193,280723,107
O,1560791193,280695,136
O,1560791194,280760,172
O,1560791194,280750,184
O,1560791195,280750,77
T,1560791195,2991
D,1560791196,158464
D,1560791199,160256
P,1560791199,4984
D,1560791201,160000
D,1560791203,159744
D,1560791204,158976
D,1560791206,159232
D,1560791209,159744
D,1560791211,159744
D,1560791213,159744
D,1560791215,159744
D,1560791217,160512
D,1560791220,160256
D,1560791222,159488
D,1560791224,158976
D,1560791226,160512
P,1560791228,5047
D,1560791228,161024
D,1560791231,159232
D,1560791233,160000
D,1560791235,159744
D,1560791237,160000
D,1560791239,160512
D,1560791242,159744
D,1560791244,159744
D,1560791245,160000
D,1560791247,160000
D,1560791249,159488
D,1560791252,159488
D,1560791254,158976
D,1560791256,159232
P,1560791257,5046
D,1560791258,158720
D,1560791260,159744
D,1560791263,159232
D,1560791265,160000
