H,1548996814,652354
P,1548996814,5150
P,1548996843,5150
P,1548996872,5149
P,1548996901,5144
P,1548996931,5150
P,1548996960,5150
P,1548996990,5149
P,1548997020,5147
P,1548997050,5146
P,1548997079,5146
P,1548997108,5150
P,1548997138,5149
P,1548997167,5150
P,1548997196,5149
P,1548997226,5149
P,1548997255,5147
P,1548997284,5150
P,1548997313,5147
P,1548997344,5148
P,1548997373,5148
P,1548997402,5147
P,1548997432,5148
P,1548997461,5149
P,1548997490,5147
P,1548997519,5146
P,1548997549,5148
P,1548997578,5149
P,1548997607,5150
P,1548997637,5149
P,1548997667,5147
P,1548997696,5147
P,1548997725,5149
P,1548997755,5147
P,1548997784,5148
P,1548997813,5147
P,1548997842,5148
P,1548997872,5145
P,1548997901,5146
P,1548997931,5147
P,1548997961,5149
P,1548997990,5145
P,1548998019,5149
P,1548998048,5148
P,1548998078,5147
P,1548998107,5147
P,1548998136,5149
P,1548998166,5149
P,1548998195,5149
P,1548998225,5146
P,1548998254,5149
P,1548998284,5150
P,1548998313,5149
O,1548998336,669389,4187
O,1548998336,669856,70
O,1548998337,669869,175
O,1548998337,669932,157
O,1548998338,669865,142
O,1548998338,669789,108
O,1548998339,669762,230
O,1548998340,669840,179
O,1548998340,669699,435
O,1548998341,669536,222
O,1548998341,669640,331
O,1548998342,669708,176
P,1548998342,5135
O,1548998342,669781,132
O,1548998343,669819,140
O,1548998344,669842,139
O,1548998344,669797,148
O,1548998345,669808,370
O,1548998345,669768,255
O,1548998346,669837,103
O,1548998346,669737,163
O,1548998347,669896,126
O,1548998348,669881,117
O,1548998348,669890,162
O,1548998349,669920,123
O,1548998349,669919,149
O,1548998350,669894,107
O,1548998350,669836,183
O,1548998351,669807,121
O,1548998352,669830,187
O,1548998352,669784,161
O,1548998353,669706,154
O,1548998353,669509,260
O,1548998354,669474,242
O,1548998354,669398,105
O,1548998355,669431,267
O,1548998355,669621,149
O,1548998356,669662,144
O,1548998357,669722,457
O,1548998357,669789,339
O,1548998358,669803,278
O,1548998358,669724,143
O,1548998359,669762,153
O,1548998359,669732,185
O,1548998360,669735,153
O,1548998361,669857,228
O,1548998361,669901,122
O,1548998362,669928,167
O,1548998362,669938,138
O,1548998363,669924,86
O,1548998363,669909,122
O,1548998364,669884,152
O,1548998365,669916,211
O,1548998365,669927,129
O,1548998366,669943,133
O,1548998366,669966,66
O,1548998367,669983,132
O,1548998367,669998,73
O,1548998368,669987,102
O,1548998369,669962,140
O,1548998369,669917,169
O,1548998370,669896,116
O,1548998370,669763,242
O,1548998371,669772,168
O,1548998371,669777,133
O,1548998372,669849,123
P,1548998372,5137
O,1548998372,669932,140
O,1548998373,669987,171
O,1548998374,670027,94
O,1548998374,670022,120
O,1548998375,670028,194
O,1548998375,670015,131
O,1548998375,670023,198
O,1548998375,670059,208
O,1548998376,670093,137
O,1548998377,669853,190
O,1548998377,669938,228
O,1548998378,669676,242
O,1548998378,669834,250
O,1548998379,669962,310
O,1548998379,669963,216
O,1548998380,669990,194
O,1548998381,670008,199
O,1548998381,670049,150
O,1548998382,670044,97
O,1548998382,670031,131
O,1548998383,670006,103
O,1548998383,669935,80
O,1548998384,669957,132
O,1548998385,669993,125
O,1548998385,669959,173
O,1548998386,669930,73
O,1548998386,669962,160
O,1548998387,669951,182
O,1548998387,669920,155
O,1548998388,669784,108
O,1548998388,669834,119
O,1548998389,669800,215
O,1548998390,669776,162
O,1548998390,669652,207
O,1548998391,669654,190
O,1548998391,669753,97
T,1548998391,2760
P,1548998401,5149
P,1548998430,5148
P,1548998459,5147
P,1548998489,5149
P,1548998519,5149
P,1548998548,5149
P,1548998578,5148
P,1548998607,5149
P,1548998636,5147
P,1548998665,5149
P,1548998695,5147
P,1548998724,5149
P,1548998753,5147
P,1548998783,5149
P,1548998813,5147
P,1548998842,5149
P,1548998871,5149
P,1548998901,5149
P,1548998930,5145
P,1548998959,5145
P,1548998989,5149
P,1548999018,5149
P,1548999047,5149
P,1548999076,5148
P,1548999107,5148
P,1548999136,5149
P,1548999165,5148
P,1548999195,5150
P,1548999224,5149
P,1548999253,5146
P,1548999282,5146
P,1548999312,5148
P,1548999341,5150
P,1548999370,5149
P,1548999400,5149
P,1548999430,5149
P,1548999459,5146
P,1548999488,5150
P,1548999518,5148
P,1548999547,5149
P,1548999576,5149
P,1548999606,5145
P,1548999636,5149
P,1548999665,5148
P,1548999695,5148
P,1548999725,5148
P,1548999754,5149
P,1548999783,5143
P,1548999812,5149
