H,1552180013,299960
X,1552180013,684215,1372
X,1552180013,684052,909
X,1552180014,684218,1184
X,1552180014,684147,1022
X,1552180015,684060,750
X,1552180016,684071,775
X,1552180016,683922,846
X,1552180017,683787,1148
X,1552180017,683980,1131
X,1552180018,684058,757
X,1552180018,684037,1402
X,1552180019,684159,845
X,1552180020,684221,839
X,1552180020,684194,608
X,1552180021,684195,907
X,1552180021,684264,1464
X,1552180022,684349,889
X,1552180022,684546,1402
X,1552180023,684586,1196
X,1552180024,684643,390
X,1552180024,684385,428
X,1552180025,684544,482
X,1552180025,684346,775
X,1552180026,684373,959
X,1552180026,684277,840
A,1552180026,684272,721
T,1552180026,2826
R,1552180027,700D9B70A
X,1552180028,684184,784
X,1552180029,684089,795
X,1552180029,683975,830
X,1552180030,684159,1077
X,1552180031,684345,787
X,1552180031,684351,1174
X,1552180032,684253,1173
X,1552180032,684355,810
X,1552180033,684625,652
X,1552180033,684712,1122
P,1552180034,5140
X,1552180034,684720,913
X,1552180035,684629,876
X,1552180035,684812,1518
X,1552180036,684491,880
X,1552180036,684460,746
X,1552180037,684261,943
X,1552180037,684092,1173
X,1552180038,684115,681
X,1552180039,683855,1054
X,1552180039,684072,953
X,1552180040,684292,668
X,1552180040,684242,776
X,1552180041,684130,912
X,1552180041,684110,623
X,1552180041,684224,1097
X,1552180041,684332,1766
X,1552180042,684344,1352
X,1552180043,684266,909
X,1552180043,684248,787
X,1552180044,684165,775
A,1552180044,684288,745
T,1552180044,2826
R,1552180044,700D9B70A
X,1552180046,684268,1098
X,1552180046,684019,1137
X,1552180047,684298,987
X,1552180047,684148,686
X,1552180048,683974,879
X,1552180048,683890,1169
X,1552180049,684025,898
X,1552180050,683900,902
X,1552180050,683949,1565
X,1552180051,683877,806
X,1552180051,683789,464
X,1552180052,683604,789
X,1552180052,683515,412
X,1552180053,683594,946
X,1552180054,683287,966
X,1552180054,683409,1391
X,1552180055,683124,835
X,1552180055,683146,1024
X,1552180056,683166,720
X,1552180056,683129,863
X,1552180057,683223,892
X,1552180058,683645,908
X,1552180058,683804,851
X,1552180059,683917,802
X,1552180059,683931,980
X,1552180060,684072,974
A,1552180060,683701,1174
T,1552180060,2826
R,1552180060,700D9B70A
X,1552180062,684260,491
X,1552180062,684563,1041
P,1552180063,5139
X,1552180063,684881,805
X,1552180063,684568,1195
X,1552180064,684676,1022
X,1552180065,684607,832
X,1552180065,684052,1288
X,1552180066,684230,990
X,1552180066,684027,1302
X,1552180067,684342,1789
X,1552180067,684193,949
X,1552180068,683905,793
X,1552180069,684018,856
X,1552180069,684091,933
X,1552180070,684525,1440
X,1552180070,683811,1454
X,1552180071,684123,2785
X,1552180071,683732,1586
X,1552180072,684026,839
X,1552180073,683948,1554
X,1552180073,683899,1732
X,1552180074,683333,1202
X,1552180074,684316,2033
X,1552180075,685705,3460
X,1552180075,684059,4090
X,1552180076,683378,1626
X,1552180076,683763,1271
X,1552180077,683772,1657
X,1552180078,683690,1605
X,1552180078,683377,1066
X,1552180079,683773,1334
X,1552180079,684115,1518
X,1552180080,684037,990
X,1552180080,683741,1429
X,1552180081,683959,1464
X,1552180082,683633,1387
X,1552180082,683609,2138
X,1552180082,684675,1956
X,1552180082,685152,2908
X,1552180083,685744,1547
X,1552180083,684825,1843
X,1552180084,684774,2041
X,1552180085,684569,1085
X,1552180085,684662,1029
X,1552180086,684855,1127
X,1552180086,684710,2225
X,1552180087,684965,2726
X,1552180087,683786,1389
X,1552180088,684604,1783
X,1552180089,685549,2366
X,1552180089,684535,1152
X,1552180090,685338,981
X,1552180090,684958,407
X,1552180091,684793,867
X,1552180091,684335,1682
P,1552180092,5137
X,1552180092,683714,2016
X,1552180092,684852,1300
X,1552180093,684729,1059
X,1552180094,684864,1121
X,1552180094,684686,1086
X,1552180095,685163,911
X,1552180095,685203,1252
X,1552180096,685281,626
X,1552180096,685192,997
X,1552180097,685538,1643
X,1552180098,684328,1677
X,1552180098,683842,964
X,1552180099,683668,1075
X,1552180099,683447,1416
X,1552180100,684232,1136
X,1552180100,683700,856
X,1552180101,683943,796
X,1552180102,684016,1108
X,1552180102,683846,874
A,1552180102,684415,1638
T,1552180102,2826
R,1552180102,700D9B70A
X,1552180104,683989,1022
