H,1553539388,299960
P,1553539388,5150
P,1553539418,5149
P,1553539447,5150
P,1553539476,5151
P,1553539506,5149
P,1553539536,5151
P,1553539565,5151
P,1553539594,5150
P,1553539623,5150
P,1553539653,5151
P,1553539682,5148
P,1553539711,5150
P,1553539741,5151
P,1553539770,5150
P,1553539800,5149
P,1553539829,5150
P,1553539859,5150
P,1553539888,5150
P,1553539917,5149
P,1553539947,5150
P,1553539976,5151
P,1553540005,5148
P,1553540034,5150
P,1553540064,5150
D,1553540065,384768
D,1553540068,404736
D,1553540070,397568
D,1553540072,396032
D,1553540074,396032
D,1553540075,397056
D,1553540078,395776
D,1553540080,395264
D,1553540082,417280
D,1553540084,397824
D,1553540086,396032
D,1553540089,397056
D,1553540091,396032
D,1553540093,397824
P,1553540094,5150
D,1553540095,397824
D,1553540097,398336
D,1553540100,398336
D,1553540102,397824
D,1553540104,397824
D,1553540106,398080
D,1553540108,398080
D,1553540111,398336
D,1553540113,398080
R,1553540113,000000000
X,1553540115,603415,3564
X,1553540115,603614,2280
X,1553540115,603655,1902
X,1553540115,603856,1135
X,1553540116,603998,1535
X,1553540116,603517,1367
X,1553540117,603619,1352
X,1553540118,603557,2054
X,1553540118,603393,14473
X,1553540119,603393,2274
X,1553540119,603641,1919
X,1553540120,603615,1447
X,1553540120,603435,1366
X,1553540121,603504,1199
X,1553540122,603371,929
X,1553540122,603411,994
X,1553540123,603155,1192
P,1553540123,5142
X,1553540123,603266,1257
X,1553540124,603025,706
X,1553540124,603309,1247
X,1553540125,603504,1217
X,1553540125,603515,883
X,1553540126,603410,1282
X,1553540127,603683,1532
X,1553540127,603844,1183
X,1553540128,603679,1032
X,1553540128,603469,1413
X,1553540129,603254,1493
X,1553540129,603195,1254
X,1553540130,603112,13198
X,1553540131,603418,1910
X,1553540131,603562,887
X,1553540132,603558,912
X,1553540132,603525,1540
X,1553540133,603703,707
X,1553540133,603792,1265
X,1553540134,603596,779
X,1553540135,603769,1765
X,1553540135,604734,4515
X,1553540136,603428,8869
X,1553540136,603873,1774
X,1553540137,604116,788
X,1553540137,604053,1293
X,1553540138,603767,1196
X,1553540139,603652,1261
X,1553540139,603462,1582
X,1553540140,603567,1094
X,1553540140,603502,1601
X,1553540141,603674,971
X,1553540141,603701,1593
X,1553540142,604291,5501
X,1553540142,603580,6993
X,1553540143,603947,3043
X,1553540144,603850,1191
X,1553540144,603472,1089
X,1553540145,603712,1195
X,1553540145,603613,1964
X,1553540146,603568,1245
X,1553540146,603820,991
X,1553540147,603939,1378
X,1553540148,603983,1805
X,1553540148,603998,1096
X,1553540149,603392,12349
X,1553540149,603953,3592
X,1553540150,603970,4981
X,1553540150,603565,10607
X,1553540151,604417,3120
X,1553540152,604009,2573
X,1553540152,603829,1916
X,1553540153,603802,1081
P,1553540153,5141
X,1553540153,603939,1058
X,1553540154,603759,1291
X,1553540154,604155,5753
X,1553540155,603496,2133
X,1553540155,603781,1381
X,1553540156,603915,1270
X,1553540156,603926,921
X,1553540156,603797,1511
X,1553540157,603677,1508
X,1553540157,603808,1536
X,1553540158,604053,1485
X,1553540158,604164,1638
X,1553540159,604269,1779
X,1553540160,604254,1459
X,1553540160,604150,1404
X,1553540161,604146,1512
X,1553540161,604053,799
X,1553540162,603958,740
X,1553540162,603950,1260
X,1553540163,603895,1243
X,1553540164,603639,2079
X,1553540164,603507,1236
X,1553540165,603449,1382
X,1553540165,603686,910
X,1553540166,603842,1310
X,1553540166,604004,1173
X,1553540167,604108,925
X,1553540168,604067,993
X,1553540168,603813,1358
X,1553540169,603891,1152
X,1553540169,603908,1164
X,1553540170,603753,981
X,1553540170,603651,1118
X,1553540171,603826,1295
X,1553540171,603981,726
X,1553540172,603768,1464
X,1553540173,603861,1132
X,1553540173,604159,1062
X,1553540174,603595,3028
X,1553540174,603692,1388
X,1553540175,603979,804
A,1553540175,603743,1091
T,1553540175,2793
U,1553540175,0
X,1553540177,603729,2195
X,1553540177,603666,2108
X,1553540178,603756,1188
X,1553540179,603864,1827
X,1553540179,604119,3169
X,1553540180,603977,1986
X,1553540180,604025,1189
X,1553540181,603775,1770
X,1553540181,603672,1403
P,1553540182,5141
X,1553540182,603660,646
X,1553540182,603930,9336
X,1553540183,604031,6603
X,1553540184,604162,1472
X,1553540184,604282,1412
X,1553540185,604108,924
X,1553540185,603095,2767
X,1553540186,602728,3635
X,1553540186,600999,8425
X,1553540187,602609,3924
X,1553540188,603408,2520
X,1553540188,604733,3953
X,1553540189,605207,1812
