H,1553538379,299960
D,1553538379,392448
D,1553538382,396800
D,1553538384,392704
D,1553538386,392704
R,1553538386,000000000
X,1553538388,594355,5196
X,1553538388,594096,9264
P,1553538389,5127
X,1553538389,595067,6847
X,1553538389,594638,6203
X,1553538390,595421,4443
X,1553538391,595074,7286
X,1553538391,595134,5566
X,1553538392,595140,1665
X,1553538392,594914,3411
X,1553538392,594190,1550
X,1553538392,594410,8049
X,1553538393,595269,2709
X,1553538394,595521,5062
X,1553538394,595600,3705
X,1553538395,594753,8892
X,1553538395,595136,2781
X,1553538396,595002,5474
X,1553538396,594518,5191
X,1553538397,594606,6668
X,1553538397,595297,5807
X,1553538398,594082,17602
X,1553538399,592618,24427
X,1553538399,594121,23777
X,1553538400,594069,24207
X,1553538400,594125,18995
X,1553538401,593430,14797
X,1553538401,594152,4406
X,1553538402,594666,4318
X,1553538403,593874,14594
X,1553538403,595092,14425
X,1553538404,593742,4862
X,1553538404,593619,16833
X,1553538405,594861,12871
X,1553538405,595899,29277
X,1553538406,594567,43434
X,1553538407,592174,40951
X,1553538407,594244,47318
X,1553538408,593051,41133
X,1553538408,592259,47491
X,1553538409,593601,39533
X,1553538409,592319,34193
X,1553538410,595501,22102
X,1553538411,596724,53104
X,1553538411,593187,58287
X,1553538412,595423,51432
X,1553538412,594233,58963
X,1553538413,594031,43172
X,1553538413,594632,28063
X,1553538414,594863,14592
X,1553538414,594163,31698
X,1553538415,595402,21533
X,1553538416,594811,16803
X,1553538416,594117,14257
X,1553538417,594385,8023
X,1553538417,594731,8625
X,1553538418,594377,11525
P,1553538418,5144
X,1553538418,594668,7452
X,1553538419,594847,6161
X,1553538420,594542,9713
X,1553538420,594225,9620
X,1553538421,595390,4485
X,1553538421,595068,4691
X,1553538422,595130,6682
X,1553538422,595491,2434
X,1553538423,595344,2867
X,1553538424,595097,2580
X,1553538424,595017,3786
X,1553538425,595234,2599
X,1553538425,594971,1919
X,1553538426,594712,3166
X,1553538426,594529,2272
X,1553538427,594831,2143
X,1553538427,594767,2858
X,1553538428,594518,9035
X,1553538429,594947,12264
X,1553538429,594224,10059
X,1553538430,595230,24785
X,1553538430,594179,16980
X,1553538431,595368,23668
X,1553538431,594475,9391
X,1553538432,595158,4371
X,1553538433,595247,17651
X,1553538433,595250,20642
X,1553538433,594606,19040
X,1553538433,592979,38338
X,1553538434,595161,34695
X,1553538434,595765,41365
X,1553538435,594722,37280
X,1553538436,595631,3649
X,1553538436,596066,1677
X,1553538437,595242,3507
X,1553538437,595184,5940
X,1553538438,593687,9613
X,1553538438,593570,8914
X,1553538439,594492,11444
X,1553538440,594083,5104
X,1553538440,594419,10110
X,1553538441,605677,24238
X,1553538441,581615,41750
X,1553538442,592942,58874
X,1553538442,593596,22960
X,1553538443,594248,3551
X,1553538443,596766,36973
X,1553538444,593083,3235
X,1553538445,591486,52999
X,1553538445,588579,53144
X,1553538446,595558,11004
X,1553538446,594093,56457
X,1553538447,595462,8492
P,1553538447,5145
X,1553538447,594178,24391
X,1553538448,593974,9692
X,1553538449,593651,23994
X,1553538449,593352,6449
X,1553538450,594065,32143
X,1553538450,593237,19595
X,1553538451,593425,23689
X,1553538451,594501,11152
X,1553538452,593882,7126
X,1553538453,593641,14064
X,1553538453,593915,12277
X,1553538454,594442,6512
X,1553538454,594121,7328
X,1553538455,594432,6060
X,1553538455,595974,9020
X,1553538456,593256,4549
X,1553538456,593895,27204
X,1553538457,596277,19891
X,1553538458,594475,16406
X,1553538458,593857,3704
X,1553538459,593330,2955
X,1553538459,594195,2811
X,1553538460,593800,4715
X,1553538460,593842,2084
X,1553538461,593650,2426
X,1553538462,592566,4989
X,1553538462,592820,11641
X,1553538463,593478,7741
X,1553538463,592506,8917
X,1553538464,591018,6856
X,1553538464,591969,7285
X,1553538465,593268,3139
X,1553538466,594586,4159
X,1553538466,595806,3269
X,1553538467,596914,3155
X,1553538467,598222,3370
X,1553538468,597618,8762
X,1553538468,598376,7607
X,1553538469,598462,3903
X,1553538470,598950,4857
X,1553538470,598765,6088
X,1553538471,599907,8061
X,1553538471,601441,9341
X,1553538472,600388,5428
X,1553538472,601657,14054
X,1553538473,599651,1894
X,1553538473,602023,5469
X,1553538474,601003,2669
X,1553538474,598990,4667
X,1553538474,597529,2052
X,1553538475,596482,2686
X,1553538475,595162,3449
X,1553538476,594738,4980
P,1553538476,5144
X,1553538476,594743,3171
