H,1549014111,481663
X,1549014111,504705,64439
O,1549014112,1079882,16114
T,1549014112,2796
D,1549014113,824320
X,1549014115,1225444,19905
X,1549014115,1252137,53965
X,1549014115,1269043,6708
X,1549014116,1263996,56394
X,1549014116,1272922,63390
X,1549014117,1280804,32187
X,1549014117,1279772,20891
X,1549014118,1264044,20525
X,1549014118,1261425,25178
X,1549014119,1253034,35359
X,1549014120,1239607,25255
X,1549014120,1263988,7445
X,1549014121,1254508,1977
X,1549014121,1273927,4197
X,1549014122,1269186,4838
X,1549014122,1275165,64457
X,1549014123,1255997,51212
X,1549014124,1269400,48288
X,1549014124,1257929,4306
X,1549014125,1267973,7373
X,1549014125,1283398,54428
X,1549014126,1278466,20210
X,1549014126,1276995,22916
X,1549014127,1277892,11436
X,1549014127,1276966,33082
X,1549014128,1272485,1557
X,1549014129,1264187,57182
X,1549014129,1274334,3692
X,1549014130,1253121,495
P,1549014130,5027
X,1549014130,1271583,847
X,1549014131,1265625,52000
X,1549014131,1273118,553
X,1549014132,1252523,40484
X,1549014133,1280314,43711
X,1549014133,1279623,41687
X,1549014134,1286776,23121
X,1549014134,1295484,15140
X,1549014135,1283190,65333
X,1549014135,1278021,63606
X,1549014136,1271145,1743
X,1549014137,1278009,1536
X,1549014137,1272522,54791
X,1549014138,1274202,56624
X,1549014138,1272594,58401
X,1549014139,1281747,171
X,1549014139,1280349,52813
X,1549014140,1278926,32119
X,1549014140,1281484,25081
X,1549014141,1277678,24917
X,1549014142,1285050,47066
X,1549014142,1282608,32596
X,1549014143,1269085,31716
X,1549014143,1272775,63710
X,1549014144,1263826,58230
X,1549014144,1275223,308
X,1549014145,1277621,1760
X,1549014146,1266716,4072
X,1549014146,1285348,1166
X,1549014147,1278389,63970
X,1549014147,1273518,50752
X,1549014148,1272044,63482
X,1549014148,1284145,896
X,1549014149,1263601,35960
X,1549014150,1271393,61495
X,1549014150,1275939,63099
X,1549014151,1268760,3079
X,1549014151,1279714,55073
X,1549014152,1285527,63251
X,1549014152,1251649,24958
X,1549014153,1276633,62276
X,1549014154,1283249,57899
X,1549014154,1283611,62090
X,1549014155,1276118,58559
X,1549014155,1280728,40866
X,1549014156,1283184,28252
X,1549014156,1273971,52710
X,1549014156,1266566,22507
X,1549014156,1274983,42490
X,1549014157,1285445,40028
X,1549014158,1268739,64277
X,1549014158,1277281,62131
X,1549014159,1267113,61826
P,1549014159,4858
X,1549014159,1277503,1765
X,1549014160,1260950,17975
X,1549014160,1255778,18580
X,1549014161,1267388,6053
X,1549014162,1260592,11837
X,1549014162,1288315,11996
X,1549014163,1275490,4543
X,1549014163,1280298,4185
X,1549014164,1275236,4345
X,1549014164,1265246,50538
X,1549014165,1264367,51505
X,1549014166,1255785,38012
X,1549014166,1277465,2155
X,1549014167,1287015,55840
X,1549014167,1275396,56653
X,1549014168,1286951,57482
X,1549014168,1273067,2901
X,1549014169,1267999,2552
X,1549014170,1268699,53448
X,1549014170,1287259,37972
X,1549014171,1278292,39539
X,1549014171,1280910,20883
X,1549014172,1272532,26758
X,1549014172,1271382,34777
X,1549014173,1272354,23100
X,1549014173,1274042,23577
X,1549014174,1269366,12390
X,1549014175,1262720,13283
X,1549014175,1264157,18583
X,1549014176,1280692,9641
X,1549014176,1280154,61674
X,1549014177,1298151,28222
X,1549014177,1290357,51955
X,1549014178,1273655,2833
X,1549014179,1285849,2519
X,1549014179,1276549,58965
X,1549014180,1283514,63083
X,1549014180,1289334,16659
X,1549014181,1293291,18807
X,1549014181,1297161,36678
X,1549014182,1288414,57329
X,1549014183,1295548,27873
X,1549014183,1290575,22529
X,1549014184,1283831,13882
X,1549014184,1291440,44997
X,1549014185,1295908,40301
X,1549014185,1290245,54865
X,1549014186,1275366,48471
X,1549014187,1292482,23568
X,1549014187,1284160,21929
X,1549014188,1286618,50559
X,1549014188,1297065,26023
X,1549014189,1291000,27719
P,1549014189,5023
X,1549014189,1298264,25845
X,1549014190,1291580,12759
X,1549014190,1283207,29997
X,1549014191,1279059,28359
X,1549014192,1298463,41335
X,1549014192,1298838,25872
X,1549014193,1305270,32413
X,1549014193,1295461,43561
X,1549014194,1275842,43767
X,1549014194,1286970,62414
X,1549014195,1278737,53005
X,1549014196,1274046,21739
X,1549014196,1268104,28265
X,1549014197,1291874,34
X,1549014197,1271019,6202
X,1549014197,1250852,60376
X,1549014197,1271256,396
X,1549014198,1249181,62804
X,1549014199,1282636,46251
X,1549014199,1266115,5484
X,1549014200,1277844,8874
X,1549014200,1296416,3596
X,1549014201,1286313,58333
X,1549014201,1307916,15705
X,1549014202,1300734,62786
X,1549014203,1293309,11407
X,1549014203,1295726,10287
X,1549014204,1297759,5624
X,1549014204,1288396,7852
X,1549014205,1286519,64755
