H,1553459627,324570
U,1553459627,0
X,1553459629,691034,1499
X,1553459630,691021,1661
X,1553459630,691030,2012
X,1553459631,691455,1287
P,1553459631,5164
X,1553459631,691458,1637
X,1553459632,690691,2470
X,1553459632,690456,2143
X,1553459633,690703,1545
X,1553459634,690981,2242
X,1553459634,691480,1430
X,1553459635,690816,1120
X,1553459635,690530,1851
X,1553459636,691027,1572
X,1553459636,691466,950
X,1553459637,690591,2406
X,1553459637,691193,3294
X,1553459638,690808,1615
X,1553459639,690607,2446
X,1553459639,691820,3733
X,1553459640,690632,2994
X,1553459640,691276,3875
X,1553459641,690698,3188
X,1553459641,690288,5297
X,1553459642,691010,5024
X,1553459643,690883,1721
X,1553459643,690564,1306
X,1553459644,690303,983
X,1553459644,690110,1640
X,1553459645,690403,4728
X,1553459645,690332,6793
X,1553459646,690211,5123
X,1553459647,690791,3954
X,1553459647,689610,2081
X,1553459648,690500,3906
X,1553459648,689534,2791
X,1553459649,689171,3358
X,1553459649,690069,3211
X,1553459650,690209,3243
X,1553459651,690392,2107
X,1553459651,690643,1857
X,1553459652,690133,4175
X,1553459652,690389,2150
X,1553459653,689926,4105
X,1553459653,689604,14788
X,1553459654,689862,7878
X,1553459654,689267,5749
X,1553459654,689987,6578
X,1553459655,690338,3071
X,1553459655,688442,4390
X,1553459656,691485,3094
X,1553459656,690302,3140
X,1553459657,689037,5559
X,1553459658,689695,6480
X,1553459658,689187,6128
X,1553459659,688229,5830
X,1553459659,687312,7127
X,1553459660,688814,3588
P,1553459660,5162
X,1553459660,688699,6129
X,1553459661,686428,7131
X,1553459661,688365,8186
X,1553459662,688222,6430
X,1553459663,688357,3997
X,1553459663,688773,6169
X,1553459664,689401,5023
X,1553459664,688664,1933
X,1553459665,688140,1963
X,1553459665,688330,2355
X,1553459666,688619,7721
X,1553459667,687632,3542
X,1553459667,688425,3120
X,1553459668,688236,3965
X,1553459668,687998,4552
X,1553459669,688524,5032
X,1553459669,688735,2881
X,1553459670,688796,2589
X,1553459671,689340,2163
X,1553459671,688330,3155
X,1553459672,688942,2251
X,1553459672,688489,2309
X,1553459673,688846,5874
X,1553459673,689967,4421
X,1553459674,688698,6019
X,1553459675,690272,10573
X,1553459675,688428,4105
X,1553459676,690100,3491
X,1553459676,689499,1522
X,1553459677,689399,3291
X,1553459677,690894,1785
X,1553459678,687419,5262
X,1553459679,685474,13491
X,1553459679,685364,9344
X,1553459680,684351,19049
X,1553459680,684784,10729
X,1553459681,685248,14160
X,1553459681,686332,10171
X,1553459682,684622,13976
X,1553459683,684807,9563
X,1553459683,684981,13782
X,1553459684,686682,12336
X,1553459684,682375,12241
X,1553459685,686907,10998
X,1553459685,682443,9414
X,1553459686,682164,12742
X,1553459686,683255,8408
X,1553459687,683395,5486
X,1553459688,683850,9275
X,1553459688,684735,9843
X,1553459689,684878,7684
X,1553459689,684369,5419
X,1553459690,684454,12638
P,1553459690,5164
X,1553459690,683654,7886
X,1553459691,684633,8962
X,1553459692,685416,9078
X,1553459692,686367,7055
X,1553459693,685605,9258
X,1553459693,686825,11318
X,1553459694,687630,9272
X,1553459694,686588,8771
X,1553459695,687347,6332
X,1553459695,686702,4284
X,1553459695,687398,4660
X,1553459696,686276,7250
X,1553459696,686736,5349
X,1553459697,687520,4871
X,1553459697,686247,4431
X,1553459698,685315,5650
X,1553459699,684614,5117
X,1553459699,684610,10045
X,1553459700,684979,17287
X,1553459700,685010,15048
X,1553459701,686593,8943
X,1553459701,686970,8682
X,1553459702,685667,7659
X,1553459703,687464,7957
X,1553459703,686992,3938
X,1553459704,685595,5759
X,1553459704,686029,7894
X,1553459705,686843,4763
X,1553459705,686697,5306
X,1553459706,686638,9162
X,1553459707,688462,7281
X,1553459707,686745,10699
X,1553459708,687762,4718
X,1553459708,688706,5029
X,1553459709,687935,5511
X,1553459709,687958,3546
X,1553459710,687002,5847
X,1553459710,687844,3895
X,1553459711,688602,1706
X,1553459712,685822,4075
X,1553459712,687366,6325
X,1553459713,687055,6821
X,1553459713,685905,3420
X,1553459714,686806,4214
X,1553459714,688582,3269
X,1553459715,689774,4196
X,1553459716,689506,3874
X,1553459716,689577,2782
X,1553459717,691570,2504
X,1553459717,691669,3020
X,1553459718,691707,2159
X,1553459718,691174,1928
X,1553459719,690136,3131
P,1553459720,5161
X,1553459720,689600,2532
X,1553459720,689116,2476
X,1553459721,690239,2313
X,1553459721,689312,2633
