H,1557006331,242526
X,1557006331,577054,872
X,1557006332,576948,779
X,1557006332,576884,1131
X,1557006333,576799,1107
X,1557006334,576843,631
X,1557006334,577033,587
X,1557006335,577202,830
A,1557006335,576904,649
T,1557006335,2759
U,1557006335,36740
X,1557006337,577129,871
X,1557006337,577034,548
X,1557006338,577078,859
X,1557006338,577171,799
X,1557006339,577361,1073
X,1557006339,577328,781
X,1557006340,577184,739
X,1557006341,577000,914
X,1557006341,577118,1027
X,1557006342,577187,923
X,1557006342,577217,1047
X,1557006343,577096,739
X,1557006343,577073,589
X,1557006344,577046,1127
X,1557006345,576828,733
X,1557006345,576677,542
X,1557006346,576814,560
X,1557006346,576875,830
X,1557006347,576896,884
X,1557006347,576824,2456
X,1557006348,576803,792
X,1557006349,576500,774
X,1557006349,576256,458
X,1557006350,576469,1209
X,1557006350,576719,868
X,1557006351,576775,907
A,1557006351,576921,1072
T,1557006351,2759
U,1557006351,36740
P,1557006353,5265
X,1557006353,576910,858
X,1557006353,577001,552
X,1557006354,576915,441
X,1557006354,577061,950
X,1557006355,577304,1126
X,1557006356,577318,918
X,1557006356,577321,387
X,1557006357,577475,626
X,1557006357,577586,927
X,1557006357,577546,715
X,1557006357,577538,1068
X,1557006358,577495,625
X,1557006359,577465,613
X,1557006359,577505,450
X,1557006360,577592,490
X,1557006360,577437,1218
X,1557006361,577341,516
X,1557006361,577393,687
X,1557006362,577387,527
X,1557006363,577395,1201
X,1557006363,577399,727
X,1557006364,577240,521
X,1557006364,577296,908
X,1557006365,577340,737
A,1557006365,577329,682
T,1557006365,2759
U,1557006365,36740
X,1557006367,576830,1126
X,1557006367,577086,1047
X,1557006368,577388,1006
X,1557006368,577395,1086
X,1557006369,577164,906
X,1557006370,577479,1286
X,1557006370,577777,751
X,1557006371,577626,640
X,1557006371,577447,721
X,1557006372,577225,845
X,1557006372,577210,505
X,1557006373,577402,662
X,1557006374,577366,1140
X,1557006374,577314,876
X,1557006375,577392,1280
X,1557006375,577467,546
X,1557006376,577723,549
X,1557006376,578061,907
X,1557006377,578011,835
X,1557006378,577678,454
X,1557006378,577694,656
X,1557006379,577883,553
X,1557006379,578080,548
X,1557006380,578163,912
X,1557006380,578072,544
X,1557006381,578365,897
X,1557006382,578152,1155
P,1557006382,5265
X,1557006382,578243,904
A,1557006382,577730,1201
T,1557006382,2759
U,1557006383,36740
X,1557006384,579331,970
X,1557006385,579203,1240
X,1557006385,579311,1114
X,1557006386,579270,696
X,1557006386,579444,1150
X,1557006387,580105,1629
X,1557006387,579883,621
X,1557006388,579800,1103
X,1557006389,579584,1245
X,1557006389,580160,1823
X,1557006390,581176,906
X,1557006390,581134,1567
X,1557006391,580737,1650
X,1557006391,580197,1147
X,1557006392,580789,1025
X,1557006393,579341,1720
X,1557006393,578094,1264
X,1557006394,577913,1146
X,1557006394,578373,1397
X,1557006395,578556,1347
X,1557006395,578294,1368
X,1557006396,579254,783
X,1557006397,579732,796
X,1557006397,579298,979
X,1557006398,579231,710
X,1557006398,578513,772
X,1557006398,578446,705
X,1557006398,578292,652
X,1557006399,578329,701
X,1557006400,578558,501
X,1557006400,578231,1055
X,1557006401,577898,915
X,1557006401,577344,641
X,1557006402,577238,723
X,1557006402,576949,908
X,1557006403,577321,680
X,1557006403,577606,590
X,1557006404,577382,723
A,1557006404,578552,4227
T,1557006404,2759
U,1557006405,36740
X,1557006406,577352,1015
X,1557006407,577261,818
X,1557006407,577307,572
X,1557006408,577340,739
X,1557006408,577335,1195
X,1557006409,577096,1292
X,1557006409,577159,1141
X,1557006410,577058,774
X,1557006411,577082,1167
P,1557006411,5264
X,1557006411,577139,689
X,1557006412,577093,712
X,1557006412,577212,864
X,1557006413,577308,630
X,1557006413,577147,819
X,1557006414,577222,924
X,1557006415,577317,648
X,1557006415,577353,964
X,1557006416,577253,775
X,1557006416,577220,681
X,1557006417,577254,743
X,1557006417,577284,759
X,1557006418,577479,1029
X,1557006418,577636,387
X,1557006419,577662,1067
X,1557006420,577615,629
X,1557006420,577717,275
X,1557006421,578082,777
A,1557006421,577340,1024
T,1557006421,2759
U,1557006421,36740
X,1557006423,578013,400
X,1557006423,578055,511
X,1557006424,578150,939
