H,1561514065,272815
D,1561514065,191232
D,1561514066,191232
D,1561514069,190976
D,1561514071,191744
D,1561514073,191232
D,1561514075,191488
D,1561514077,191232
D,1561514080,191488
D,1561514082,191232
D,1561514084,190976
P,1561514084,4510
D,1561514086,191488
D,1561514088,463104
R,1561514089,5C00DDFC90
R,1561514089,5C00DDFC90
R,1561514089,5C00DDFC90
X,1561514090,710245,28438
X,1561514091,708174,32645
X,1561514091,710123,30628
X,1561514092,708874,17844
X,1561514093,709728,6179
X,1561514093,710035,7862
X,1561514094,710000,10233
X,1561514094,709669,15054
X,1561514095,709193,22644
X,1561514095,709587,5580
X,1561514096,710091,8495
X,1561514097,709723,6431
X,1561514097,709964,4510
X,1561514098,709558,4467
X,1561514098,710358,7051
X,1561514099,708300,41651
X,1561514099,709923,10198
X,1561514100,709790,6349
X,1561514101,709773,5731
X,1561514101,710134,3556
X,1561514102,709965,3515
X,1561514102,709969,3927
X,1561514103,709678,6222
X,1561514103,709930,2618
X,1561514104,709773,5704
X,1561514104,710457,11792
X,1561514105,709961,3575
X,1561514106,709750,24186
X,1561514106,708907,41222
X,1561514107,709650,5300
X,1561514107,710282,26608
X,1561514108,709765,3306
X,1561514108,710110,4482
X,1561514109,711001,55515
X,1561514110,710258,53117
X,1561514110,707484,54436
X,1561514111,712943,2707
X,1561514111,709908,54624
X,1561514112,714273,38309
X,1561514112,706524,36378
X,1561514113,710413,11934
X,1561514114,709156,10217
X,1561514114,709985,8342
P,1561514114,4637
X,1561514115,709554,9940
X,1561514115,710227,6749
X,1561514116,710417,4322
X,1561514116,710083,5828
X,1561514117,710305,2443
X,1561514118,709818,4791
X,1561514118,710100,4919
X,1561514119,710163,3405
X,1561514119,709903,4952
X,1561514120,710395,8594
X,1561514120,709708,4670
X,1561514121,710114,4918
X,1561514122,710123,3376
X,1561514122,710325,3618
X,1561514123,710074,12327
X,1561514123,709765,65178
X,1561514124,710018,6781
X,1561514124,709925,9812
X,1561514125,710158,8913
X,1561514126,710042,1401
X,1561514126,710299,5765
X,1561514127,710078,8870
X,1561514127,710115,5889
X,1561514128,710021,3527
X,1561514128,710113,3774
X,1561514129,710159,3590
X,1561514129,710114,2982
X,1561514130,710234,2920
X,1561514131,710121,1766
X,1561514131,710141,2329
X,1561514132,709940,3025
X,1561514132,710214,5110
X,1561514133,709943,8384
X,1561514133,709990,9814
X,1561514134,710227,6094
X,1561514135,710177,7092
X,1561514135,710109,3351
X,1561514136,710137,4369
X,1561514136,710206,7319
X,1561514137,709896,5229
X,1561514137,710438,7319
X,1561514138,709908,5952
X,1561514139,710227,6338
X,1561514139,709850,2950
X,1561514140,710424,3446
X,1561514140,710259,4953
X,1561514141,710063,3477
X,1561514141,710187,3960
X,1561514142,710064,4148
X,1561514143,710036,3149
X,1561514143,710116,4273
X,1561514144,710117,2916
X,1561514144,710224,2319
P,1561514144,4637
X,1561514145,710106,3363
X,1561514145,710034,3955
X,1561514146,710216,2782
X,1561514147,710511,4805
X,1561514147,709901,5285
X,1561514148,710402,3739
X,1561514148,710237,3551
X,1561514149,710114,2756
X,1561514149,710081,1687
X,1561514149,709901,3167
X,1561514150,710063,3849
X,1561514150,709900,2760
X,1561514151,710282,2865
X,1561514151,710072,2347
X,1561514152,710060,2326
X,1561514152,709871,4283
X,1561514153,710207,2376
X,1561514153,710266,3410
X,1561514154,710116,3956
X,1561514155,710465,5003
X,1561514155,709616,11827
X,1561514156,709972,5350
X,1561514156,709877,8305
X,1561514157,710024,3358
X,1561514157,710450,4348
X,1561514158,709882,2844
X,1561514159,710224,3247
X,1561514159,709263,10627
X,1561514160,710718,5305
X,1561514160,710600,8933
X,1561514161,710802,10071
X,1561514161,710306,1738
X,1561514162,705613,16075
X,1561514163,712875,57877
X,1561514163,710527,13083
X,1561514164,711638,31493
X,1561514164,716074,63849
X,1561514165,711455,33134
X,1561514165,706389,22391
X,1561514166,709019,54154
X,1561514167,710415,30562
X,1561514167,701337,3839
X,1561514168,532777,41099
X,1561514168,290851,13561
X,1561514169,288908,4518
X,1561514169,289007,2086
X,1561514170,289044,974
X,1561514171,288933,516
X,1561514171,288807,208
X,1561514172,288685,211
X,1561514172,288679,150
X,1561514173,288630,120
X,1561514173,288601,151
P,1561514174,4636
X,1561514174,288564,122
O,1561514175,288571,94
O,1561514175,288532,163
O,1561514176,288526,148
O,1561514176,288494,124
O,1561514177,288490,120
O,1561514177,288487,152
