H,1559689268,272815
X,1559689268,641704,2383
X,1559689269,641881,1189
X,1559689270,641793,1746
X,1559689270,641891,1542
X,1559689271,641203,7143
X,1559689271,643809,19605
X,1559689272,641785,35188
X,1559689272,642590,13517
X,1559689273,641542,14371
X,1559689274,642539,16421
X,1559689274,641485,15357
X,1559689275,642036,1695
X,1559689275,642129,5412
X,1559689276,642046,6853
X,1559689276,641444,14339
X,1559689277,642196,18690
X,1559689278,641144,15107
X,1559689278,642379,6854
X,1559689279,642267,12173
X,1559689279,642302,2756
X,1559689280,642361,2646
P,1559689280,5058
X,1559689280,642374,11764
X,1559689281,641300,15234
X,1559689281,641588,12813
X,1559689282,642020,4415
X,1559689283,642146,1723
X,1559689283,642058,4715
X,1559689284,642733,10846
X,1559689284,641096,18963
X,1559689285,642426,12602
X,1559689285,640829,16548
X,1559689286,646078,46526
X,1559689287,642715,20991
X,1559689287,642737,8459
X,1559689288,642766,4618
X,1559689288,643256,16143
X,1559689289,643452,18407
X,1559689289,642975,15982
X,1559689289,642950,8775
X,1559689290,642867,11860
X,1559689290,643040,3656
X,1559689291,642772,7379
X,1559689291,642823,9051
X,1559689292,643425,18564
X,1559689292,642395,7047
X,1559689293,642492,10866
X,1559689294,643126,19498
X,1559689294,643032,6877
X,1559689295,643430,6184
X,1559689295,641039,25380
X,1559689296,641558,10978
X,1559689296,642510,3899
X,1559689297,642315,4789
X,1559689298,642832,2284
X,1559689298,642125,5207
X,1559689299,642703,2942
X,1559689299,643013,3464
X,1559689300,642028,8472
X,1559689300,642357,2664
X,1559689301,642543,2122
X,1559689302,642509,3021
X,1559689302,642496,2213
X,1559689303,642702,1552
X,1559689303,643583,6705
X,1559689304,641625,9676
X,1559689304,643140,8634
X,1559689305,642822,3060
X,1559689305,642787,1835
X,1559689306,642728,2094
X,1559689307,642896,1990
X,1559689307,642773,1856
X,1559689308,642799,2179
X,1559689308,642763,2024
X,1559689309,642676,2598
P,1559689309,5081
X,1559689309,642918,2045
X,1559689310,642773,2038
X,1559689311,642934,1876
X,1559689311,643017,1995
X,1559689312,641796,13156
X,1559689312,641582,50869
X,1559689313,638945,21124
X,1559689313,640922,19901
X,1559689314,641477,13483
X,1559689315,639655,17340
X,1559689315,636697,18139
X,1559689316,637969,17696
X,1559689316,641312,18600
X,1559689317,645955,11797
X,1559689317,643285,5396
X,1559689318,640924,64534
X,1559689319,645434,44532
X,1559689319,641551,54173
X,1559689320,641902,48459
X,1559689320,644452,51954
X,1559689321,644501,10391
X,1559689321,643900,4053
X,1559689322,644388,4647
X,1559689323,642373,8664
X,1559689323,643722,11201
X,1559689324,643828,2705
X,1559689324,643623,2058
X,1559689325,643755,2791
X,1559689325,643770,3951
X,1559689326,643719,11881
X,1559689327,644419,11558
X,1559689327,643596,11179
X,1559689328,643626,17041
X,1559689328,643531,14373
X,1559689329,643980,7759
X,1559689329,643933,5594
X,1559689330,643677,4724
X,1559689330,643763,8588
X,1559689330,643874,1874
X,1559689331,643837,1716
X,1559689331,643869,3073
X,1559689332,643475,6903
X,1559689332,643804,2588
X,1559689333,643658,3202
X,1559689333,643752,5920
X,1559689334,643591,4583
X,1559689335,643676,3256
X,1559689335,643793,2896
X,1559689336,644128,16632
X,1559689336,644060,11827
X,1559689337,643920,11825
X,1559689337,643771,1949
X,1559689338,643463,8272
P,1559689338,5077
X,1559689339,643957,19007
X,1559689339,643885,3069
X,1559689340,643722,9589
X,1559689340,643344,3348
X,1559689341,643808,1572
X,1559689341,643590,4388
X,1559689342,644268,27583
X,1559689343,643613,6613
X,1559689343,643699,1262
X,1559689344,643649,1226
X,1559689344,643867,1725
X,1559689345,643769,1735
X,1559689345,643315,7824
X,1559689346,645226,26549
X,1559689347,643812,10698
X,1559689347,643923,14227
X,1559689348,643708,13197
X,1559689348,644124,7110
X,1559689349,643740,14243
X,1559689349,643552,21017
X,1559689350,644419,13602
X,1559689350,642236,17240
X,1559689351,643891,2957
X,1559689352,643851,1267
X,1559689352,643791,1127
X,1559689353,643513,9564
X,1559689353,643583,12542
X,1559689354,643303,22890
X,1559689354,643250,22117
X,1559689355,644298,5532
X,1559689356,642939,16871
X,1559689356,644981,47531
X,1559689357,644525,16886
X,1559689357,643545,12263
X,1559689358,642756,35724
X,1559689358,643195,29154
X,1559689359,643720,18526
X,1559689360,642370,8108
X,1559689360,643906,3739
X,1559689361,643660,1769
X,1559689361,643733,1723
