,1558922451,170240
D,1558922453,170752
D,1558922456,170496
D,1558922458,170752
D,1558922460,170240
D,1558922462,170496
D,1558922464,170240
D,1558922467,170496
P,1558922467,5170
D,1558922468,170752
D,1558922470,170752
D,1558922472,171008
D,1558922474,171008
D,1558922477,171008
D,1558922479,170752
D,1558922481,170752
D,1558922483,171008
D,1558922485,170752
D,1558922488,171008
D,1558922490,171520
D,1558922492,171008
D,1558922494,170752
D,1558922496,170752
P,1558922496,5171
D,1558922499,171008
D,1558922501,171264
D,1558922503,171008
D,1558922505,170752
D,1558922507,171008
D,1558922509,171008
D,1558922511,170752
D,1558922513,170752
D,1558922515,171008
D,1558922517,170752
D,1558922520,171008
D,1558922522,171520
D,1558922524,171264
P,1558922526,5171
D,1558922526,171264
D,1558922528,171520
D,1558922531,171264
D,1558922533,171264
D,1558922535,171008
D,1558922537,171008
D,1558922539,171520
D,1558922542,171264
D,1558922544,171264
D,1558922546,171264
D,1558922548,171264
D,1558922550,170752
D,1558922552,171520
D,1558922554,170496
P,1558922555,5171
D,1558922556,170752
D,1558922558,171264
D,1558922560,171520
D,1558922563,171008
D,1558922565,170752
D,1558922567,170752
D,1558922569,171264
D,1558922571,170752
D,1558922574,171008
D,1558922576,171264
D,1558922578,171008
D,1558922580,171008
D,1558922582,171520
D,1558922585,171264
P,1558922585,5171
D,1558922587,171008
D,1558922589,171520
D,1558922591,171008
D,1558922593,170752
D,1558922595,171264
D,1558922597,171264
D,1558922599,171008
D,1558922601,171008
D,1558922604,171520
D,1558922606,171520
D,1558922608,171520
D,1558922610,171264
D,1558922612,170752
P,1558922614,5170
D,1558922615,171008
D,1558922617,170752
D,1558922619,171008
D,1558922621,171264
D,1558922623,171008
D,1558922626,170752
D,1558922628,171008
D,1558922630,170752
D,1558922632,171520
D,1558922633,170752
D,1558922636,170752
D,1558922638,171264
D,1558922640,171008
D,1558922642,171520
P,1558922643,5172
D,1558922644,171008
D,1558922647,170496
D,1558922649,170752
D,1558922651,170752
D,1558922653,170752
D,1558922655,170496
D,1558922658,171008
D,1558922660,171520
D,1558922662,171264
D,1558922664,171008
D,1558922666,171008
D,1558922669,170752
D,1558922671,170752
D,1558922673,170752
P,1558922673,5170
D,1558922674,171264
D,1558922676,170752
D,1558922679,171008
D,1558922681,170752
D,1558922683,171008
D,1558922685,170496
D,1558922687,170496
D,1558922690,170752
D,1558922692,170496
D,1558922694,170240
D,1558922696,170496
D,1558922698,170752
D,1558922701,170240
P,1558922702,5171
D,1558922703,169984
D,1558922705,170496
D,1558922707,169728
D,1558922709,170240
D,1558922712,170240
D,1558922714,169984
D,1558922715,169984
D,1558922717,169984
D,1558922719,169216
D,1558922722,169728
D,1558922724,169728
D,1558922726,169984
D,1558922728,169728
D,1558922730,169984
P,1558922731,5170
D,1558922733,169728
D,1558922735,169472
D,1558922737,169984
D,1558922739,169984
D,1558922741,169728
D,1558922744,169472
D,1558922746,169728
D,1558922748,169984
D,1558922750,169472
D,1558922752,169728
D,1558922755,169984
D,1558922756,169216
D,1558922758,169728
D,1558922760,169728
P,1558922760,5171
D,1558922762,168448
D,1558922765,169472
D,1558922767,169216
D,1558922769,169728
D,1558922771,168704
D,1558922773,168960
D,1558922776,169216
D,1558922778,169216
D,1558922780,168960
D,1558922782,168448
D,1558922784,169216
D,1558922787,169216
D,1558922789,168704
P,1558922790,5170
D,1558922791,168704
D,1558922793,168448
D,1558922795,168704
D,1558922797,168448
D,1558922799,168448
D,1558922801,168448
D,1558922803,168448
D,1558922805,168448
D,1558922808,167936
D,1558922810,168448
D,1558922812,168448
D,1558922814,168192
D,1558922817,168448
D,1558922819,168448
P,1558922820,5169
D,1558922821,168448
D,1558922823,167680
D,1558922825,167936
D,1558922828,167424
D,1558922830,167680
D,1558922832,167424
D,1558922834,167424
D,1558922836,167680
D,1558922838,166912
D,1558922840,166400
D,1558922842,166400
D,1558922844,165376
D,1558922846,165376
D,1558922849,164608
P,1558922849,5072
D,1558922851,165376
D,1558922853,165888
D,1558922855,165632
D,1558922857,165632
D,1558922860,165632
D,1558922862,166400
D,1558922864,166400
D,1558922866,166656
D,1558922868,166400
D,1558922871,166656
D,1558922873,167168
D,1558922875,167168
D,1558922877,166400
