,1559253888,589350,1504
X,1559253889,589477,969
X,1559253889,589653,1210
X,1559253890,589593,1362
X,1559253890,590337,1506
X,1559253891,590920,2319
X,1559253891,591353,1695
X,1559253892,591540,1310
X,1559253892,591492,1234
X,1559253893,591931,1047
X,1559253894,592055,1519
X,1559253894,592049,2025
X,1559253895,592525,1200
X,1559253895,592220,1206
X,1559253896,592004,1449
X,1559253896,592225,1656
X,1559253897,592073,1122
X,1559253898,592341,1491
X,1559253898,592383,4020
X,1559253899,592331,1495
P,1559253899,5130
X,1559253899,592579,1765
X,1559253899,592806,1741
X,1559253899,593241,1772
X,1559253900,593415,1273
X,1559253901,592879,29789
X,1559253901,593433,1266
X,1559253902,593007,2040
X,1559253902,592766,882
X,1559253903,593133,1283
X,1559253903,593253,1011
X,1559253904,593305,1334
X,1559253905,593668,2650
X,1559253905,593050,2634
X,1559253906,593495,1690
X,1559253906,593697,1181
X,1559253907,593415,1129
X,1559253907,593510,886
X,1559253908,593251,966
X,1559253909,593330,1088
X,1559253909,593617,1165
X,1559253910,593434,1602
X,1559253910,593280,1087
X,1559253911,593258,1148
X,1559253911,593345,1270
X,1559253912,593430,1213
X,1559253913,593478,1077
X,1559253913,593555,1236
X,1559253914,593747,1169
X,1559253914,593790,1827
X,1559253915,593811,1407
X,1559253915,593769,1104
X,1559253916,593710,1016
X,1559253916,593899,1214
X,1559253917,593839,1814
X,1559253918,594028,1661
X,1559253918,594077,1667
X,1559253919,594081,1902
X,1559253919,593991,1119
X,1559253920,593937,994
A,1559253920,583057,22462
T,1559253920,2856
U,1559253920,64656
X,1559253922,602515,1518
X,1559253922,602596,1256
X,1559253923,602744,1766
X,1559253924,602634,1586
X,1559253924,602643,1438
X,1559253925,602786,1212
X,1559253925,602728,1695
X,1559253926,602896,1236
X,1559253926,602818,1137
X,1559253927,602763,1319
X,1559253928,602721,1742
X,1559253928,602854,1380
P,1559253928,5136
X,1559253929,602612,9623
X,1559253929,603368,5061
X,1559253930,603185,820
X,1559253930,603319,2407
X,1559253931,603032,2431
X,1559253932,603268,1856
X,1559253932,602899,2519
X,1559253933,603028,1512
X,1559253933,603394,2118
X,1559253934,603367,1716
X,1559253934,602692,1269
X,1559253935,602944,1386
X,1559253935,603075,1225
X,1559253936,603104,1570
X,1559253937,603347,1870
X,1559253937,603139,1654
X,1559253938,603288,2147
X,1559253938,603309,4964
X,1559253939,603176,2207
X,1559253939,603266,1446
X,1559253940,603472,1122
X,1559253941,603676,1730
X,1559253941,603515,1246
X,1559253942,603374,1422
X,1559253942,603148,1027
X,1559253943,603245,1143
X,1559253943,603488,1207
X,1559253944,604097,1509
X,1559253945,603806,1689
X,1559253945,603821,1590
X,1559253946,603617,1464
X,1559253946,603906,1150
X,1559253947,603986,1803
X,1559253947,604015,1243
X,1559253948,603814,1180
X,1559253949,603928,1143
X,1559253949,604071,1589
X,1559253950,603819,1691
X,1559253950,603935,1509
X,1559253951,603894,1687
X,1559253951,603864,1308
X,1559253952,603933,1019
X,1559253953,603938,1271
X,1559253953,603846,2110
X,1559253954,603988,1021
X,1559253954,604028,2626
X,1559253955,603905,1337
X,1559253955,603776,1490
X,1559253956,603913,1263
X,1559253957,603947,1195
X,1559253957,603838,2044
X,1559253958,604009,1588
X,1559253958,603851,1573
P,1559253958,5136
X,1559253959,603795,1296
X,1559253959,604084,1303
X,1559253960,604173,1365
