H,1558664569,272815
D,1558664569,169216
D,1558664571,169472
D,1558664573,169216
D,1558664576,168704
D,1558664578,169472
D,1558664580,168960
D,1558664582,169728
D,1558664584,168960
D,1558664587,169216
D,1558664589,169216
P,1558664591,5239
D,1558664591,168960
D,1558664593,168704
D,1558664595,169216
D,1558664598,168192
D,1558664600,168960
D,1558664602,168448
D,1558664604,168448
R,1558664604,5C00DDFC90
X,1558664606,630262,605
X,1558664607,631481,4036
X,1558664607,631816,6411
X,1558664607,631667,6395
X,1558664607,632204,7206
X,1558664608,631886,3922
X,1558664608,631658,24525
X,1558664609,630461,45344
X,1558664610,637896,24152
X,1558664610,630325,1278
X,1558664611,632448,7566
X,1558664611,632553,4881
X,1558664612,632295,28288
X,1558664612,632329,7596
X,1558664613,632631,3381
X,1558664614,632459,31923
X,1558664614,632546,5546
X,1558664615,632812,11512
X,1558664615,633351,17619
X,1558664616,632814,12035
X,1558664616,633595,10956
X,1558664617,632960,33162
X,1558664618,632369,52349
X,1558664618,636918,44449
X,1558664619,633091,20899
X,1558664619,632217,7372
X,1558664620,632501,10606
P,1558664620,5234
X,1558664620,631509,13317
X,1558664621,632970,5375
X,1558664622,632460,14724
X,1558664622,634582,16093
X,1558664623,634507,8107
X,1558664623,634110,19478
X,1558664624,633925,13859
X,1558664624,633445,12461
X,1558664625,634004,4018
X,1558664626,634056,7528
X,1558664626,634096,4532
X,1558664627,634167,3042
X,1558664627,633539,20626
X,1558664628,634308,2540
X,1558664628,634343,3687
X,1558664629,634291,4024
X,1558664629,634573,2641
X,1558664630,634539,9230
X,1558664631,634641,3696
X,1558664631,634344,7739
X,1558664632,634395,3106
X,1558664632,634296,2911
X,1558664633,634714,25987
X,1558664633,634597,8356
X,1558664634,634609,2784
X,1558664635,634603,2818
X,1558664635,634579,3404
X,1558664636,634710,2947
X,1558664636,634474,2433
X,1558664637,634479,2716
X,1558664637,634650,6090
X,1558664638,634372,8663
X,1558664639,634809,2706
X,1558664639,634865,2734
X,1558664640,635065,2094
X,1558664640,635101,1226
X,1558664641,634961,1748
X,1558664641,634983,2462
X,1558664642,635092,1864
X,1558664643,635132,3309
X,1558664643,635217,2006
X,1558664644,635002,14598
X,1558664644,633904,7326
X,1558664645,635604,12002
X,1558664645,634714,10012
X,1558664646,635079,5289
X,1558664647,635439,7760
X,1558664647,634531,14547
X,1558664648,634783,6281
X,1558664648,635172,4409
X,1558664648,635128,1685
X,1558664648,635090,2476
X,1558664649,634994,1369
P,1558664649,5232
X,1558664650,635243,2239
X,1558664650,635263,2044
X,1558664651,635453,1534
X,1558664651,635697,4187
X,1558664652,634933,3194
X,1558664652,635180,1915
X,1558664653,635202,2311
X,1558664653,635443,2032
X,1558664654,635333,2271
X,1558664655,635336,2339
X,1558664655,635351,2327
X,1558664656,635417,2657
X,1558664656,635506,1851
X,1558664657,635600,1586
X,1558664657,635508,3873
X,1558664658,635606,2823
X,1558664659,635654,7909
X,1558664659,635568,2819
X,1558664660,635682,3707
X,1558664660,635694,3315
X,1558664661,635729,2062
X,1558664661,635670,3188
X,1558664662,635745,1944
X,1558664663,635617,3339
X,1558664663,635724,1777
X,1558664664,635835,1790
X,1558664664,635545,2669
X,1558664665,635956,13344
X,1558664665,635699,3195
X,1558664666,635857,2073
X,1558664667,635658,2397
X,1558664667,635686,1875
X,1558664668,635805,2006
X,1558664668,635786,1950
X,1558664669,635798,1726
X,1558664669,635322,10085
X,1558664670,635864,2297
X,1558664671,635726,2028
X,1558664671,635737,1983
X,1558664672,635853,3306
X,1558664672,635828,2214
X,1558664673,635800,2822
X,1558664673,635908,2528
X,1558664674,635978,23628
X,1558664674,635705,4035
X,1558664675,636152,2072
X,1558664676,636147,2723
X,1558664676,636080,2030
X,1558664677,636142,3465
X,1558664677,636013,1877
X,1558664678,636167,1733
X,1558664678,636002,1840
X,1558664679,636110,1542
P,1558664679,5233
X,1558664680,635989,2030
X,1558664680,636197,1921
X,1558664681,635996,6286
X,1558664681,635719,4730
X,1558664682,636091,2952
X,1558664682,636083,2037
X,1558664683,636160,3031
X,1558664684,635691,10995
X,1558664684,636184,4178
X,1558664685,636109,3028
X,1558664685,635839,4177
X,1558664686,636283,2049
X,1558664686,635962,12181
X,1558664687,636076,1616
X,1558664688,636263,2448
X,1558664688,636099,1630
X,1558664689,636056,2528
X,1558664689,635258,16917
X,1558664689,636144,2841
X,1558664689,634794,9675
X,1558664690,637428,20659
X,1558664691,636390,19139
