,1558469718,168704
D,1558469720,168192
D,1558469723,167936
D,1558469725,167936
D,1558469727,167168
D,1558469729,167680
D,1558469731,167424
D,1558469734,166912
D,1558469736,166656
D,1558469738,166400
D,1558469740,166656
D,1558469742,166656
D,1558469745,165888
P,1558469745,5451
D,1558469747,165376
D,1558469749,165376
D,1558469751,165888
D,1558469753,165120
D,1558469756,164864
D,1558469757,164608
D,1558469759,164352
D,1558469761,163840
D,1558469763,164352
D,1558469766,164352
D,1558469768,164352
D,1558469770,164096
D,1558469772,163840
P,1558469774,5452
D,1558469774,163584
D,1558469777,163584
D,1558469779,163584
D,1558469781,163328
D,1558469783,163840
D,1558469785,163584
D,1558469788,163840
D,1558469790,163328
D,1558469792,163584
D,1558469794,162816
D,1558469796,163328
D,1558469798,163584
D,1558469800,163072
D,1558469802,163328
P,1558469803,5453
D,1558469804,163072
D,1558469806,163072
D,1558469809,163072
D,1558469811,162816
D,1558469813,163328
D,1558469815,163584
D,1558469817,163328
D,1558469820,163584
D,1558469822,163584
D,1558469824,163328
D,1558469826,162560
D,1558469828,163072
D,1558469831,162560
D,1558469833,163072
P,1558469833,5453
D,1558469835,163328
D,1558469837,162816
D,1558469838,163328
D,1558469841,163072
D,1558469843,163072
D,1558469845,163328
D,1558469847,162560
D,1558469850,163072
D,1558469852,163328
D,1558469854,162816
D,1558469856,162560
D,1558469858,162304
D,1558469861,163072
P,1558469862,5454
D,1558469863,162304
D,1558469865,162816
D,1558469867,162816
D,1558469869,162816
D,1558469872,162304
D,1558469874,162304
D,1558469876,163328
D,1558469878,163072
D,1558469879,163072
D,1558469882,162560
D,1558469884,162816
D,1558469886,163072
D,1558469888,162560
D,1558469890,163072
P,1558469891,5453
D,1558469893,163072
D,1558469895,163072
D,1558469897,165888
D,1558469899,165632
D,1558469901,166144
D,1558469904,166656
D,1558469906,166400
D,1558469908,165888
D,1558469910,165888
D,1558469912,166144
D,1558469915,166144
D,1558469917,166656
D,1558469919,165632
D,1558469920,165888
P,1558469920,5451
D,1558469922,165888
D,1558469925,166144
D,1558469927,165376
D,1558469929,166144
D,1558469931,165120
D,1558469933,165632
D,1558469936,165376
D,1558469938,165120
D,1558469940,165376
D,1558469942,165120
D,1558469944,165376
D,1558469947,165120
D,1558469949,164864
P,1558469950,5452
D,1558469951,165376
D,1558469953,165376
D,1558469955,165120
D,1558469958,165376
D,1558469960,164864
D,1558469961,164864
D,1558469963,165632
D,1558469965,164608
D,1558469968,165120
D,1558469970,165376
D,1558469972,165120
D,1558469974,165376
D,1558469976,165632
D,1558469979,165120
P,1558469979,5452
D,1558469981,165632
D,1558469983,165376
D,1558469985,165120
D,1558469987,164864
D,1558469990,165632
D,1558469992,165632
D,1558469994,165376
D,1558469996,165632
D,1558469998,165376
D,1558470001,165632
D,1558470002,165376
D,1558470004,165120
D,1558470006,165120
D,1558470008,165888
P,1558470009,5354
D,1558470011,165632
D,1558470013,165376
D,1558470015,165632
D,1558470017,165888
D,1558470019,165632
D,1558470022,165376
D,1558470024,165632
D,1558470026,165632
D,1558470028,165632
D,1558470030,165376
D,1558470033,164864
D,1558470035,165120
D,1558470037,165120
P,1558470039,5452
D,1558470039,165632
D,1558470041,165632
D,1558470043,165120
D,1558470045,165376
D,1558470047,165120
D,1558470049,164864
D,1558470051,165376
D,1558470054,165120
D,1558470056,165120
D,1558470058,164864
D,1558470060,165376
D,1558470063,165376
D,1558470065,164864
D,1558470067,164864
P,1558470068,5452
D,1558470069,164864
D,1558470071,164608
D,1558470074,164608
D,1558470076,164608
D,1558470078,165120
D,1558470080,164864
D,1558470082,164608
D,1558470084,164608
D,1558470086,164864
D,1558470088,164352
D,1558470090,164864
D,1558470092,165120
D,1558470095,164864
D,1558470097,164608
P,1558470097,5352
D,1558470099,164608
D,1558470101,164096
D,1558470103,164608
D,1558470106,164352
D,1558470108,164352
D,1558470110,164352
D,1558470112,164352
D,1558470114,164096
D,1558470117,164352
D,1558470119,163584
D,1558470121,164096
D,1558470123,163584
D,1558470125,164096
P,1558470126,5453
D,1558470127,164352
D,1558470129,163840
D,1558470131,163840
D,1558470133,164352
D,1558470135,164352
D,1558470138,164352
D,1558470140,164608
D,1558470142,164352
D,1558470144,164096
D,1558470146,164352
D,1558470149,164096
D,1558470151,164608
D,1558470153,164096
D,1558470155,163328
P,1558470156,5451
D,1558470157,164096
D,1558470160,164352
D,1558470162,164096
D,1558470164,163584
