,1560039403,610078,1835
X,1560039403,609968,1375
X,1560039404,610076,1584
X,1560039404,610245,2801
X,1560039405,610241,1515
X,1560039406,610141,12103
P,1560039406,5006
X,1560039406,610212,1828
X,1560039407,610058,2058
X,1560039407,610141,1533
X,1560039408,610329,1849
X,1560039408,610428,1893
X,1560039409,610984,2512
X,1560039410,611467,1724
X,1560039410,612003,1482
X,1560039411,612690,1790
X,1560039411,613505,2225
X,1560039412,613576,1252
X,1560039412,613704,1609
X,1560039413,613670,1070
X,1560039413,613689,1549
X,1560039414,613702,1822
X,1560039415,612804,29150
X,1560039415,614971,5410
X,1560039416,613959,2388
X,1560039416,614010,1337
X,1560039417,614151,1136
X,1560039417,614220,1131
X,1560039418,614408,1165
X,1560039419,614240,1525
X,1560039419,614282,975
X,1560039420,614342,1266
X,1560039420,614402,1252
X,1560039421,614154,839
X,1560039421,614378,1121
X,1560039422,614469,1154
X,1560039423,613965,4713
X,1560039423,614717,1951
X,1560039424,614383,9180
X,1560039424,614304,2875
X,1560039425,614331,1982
X,1560039425,614084,1527
X,1560039426,614052,1444
X,1560039427,614129,1120
X,1560039427,614306,1761
X,1560039428,614280,884
X,1560039428,614420,1544
X,1560039429,614325,1535
X,1560039429,614272,1353
X,1560039430,614341,2040
X,1560039431,614606,1671
X,1560039431,614438,1615
X,1560039432,614410,5366
X,1560039432,614312,3181
X,1560039433,614533,1834
X,1560039433,614134,1560
X,1560039433,614349,1044
X,1560039434,614580,2897
X,1560039434,613974,3598
X,1560039435,614561,2383
P,1560039435,5013
X,1560039435,614299,1437
X,1560039436,614437,1303
X,1560039436,614773,6041
X,1560039437,613888,7046
X,1560039437,614164,9450
X,1560039438,614565,3750
X,1560039439,613931,11531
X,1560039439,615115,15536
X,1560039440,614381,29374
X,1560039440,614041,2327
X,1560039441,614338,19217
X,1560039441,616420,21201
X,1560039442,614596,18526
X,1560039443,614282,14736
X,1560039443,614650,10276
X,1560039444,614370,3349
X,1560039444,615288,14041
X,1560039445,613070,5930
X,1560039445,614301,22321
X,1560039446,614581,13137
X,1560039447,614710,1501
X,1560039447,614775,1451
X,1560039448,614691,1337
X,1560039448,614478,1721
X,1560039449,614558,1568
X,1560039449,614568,2097
X,1560039450,614350,1994
X,1560039451,614401,2061
X,1560039451,614380,2200
X,1560039452,614101,1664
X,1560039452,613905,15476
X,1560039453,614277,20324
X,1560039453,614425,12506
X,1560039454,614977,19247
X,1560039455,613987,14080
X,1560039455,614339,11379
X,1560039456,615174,15105
X,1560039456,614782,9734
X,1560039457,614555,12907
X,1560039457,615177,5500
X,1560039458,614472,4650
X,1560039459,614018,12875
X,1560039459,614764,15419
X,1560039460,614575,10056
X,1560039460,614164,3188
X,1560039461,614262,5490
X,1560039461,613764,3676
X,1560039462,614175,16312
X,1560039462,614141,9619
X,1560039463,614491,8870
X,1560039464,613588,18990
X,1560039464,613008,25126
X,1560039465,613822,34868
P,1560039465,5011
X,1560039465,614507,34739
X,1560039466,614742,19423
