H,1561146566,272815
D,1561146566,195840
D,1561146569,196608
D,1561146571,196608
D,1561146573,196608
D,1561146575,196352
D,1561146577,196352
D,1561146580,195840
D,1561146582,195584
D,1561146584,195328
D,1561146585,196096
P,1561146585,4927
D,1561146587,197120
D,1561146590,196352
D,1561146592,196608
D,1561146594,195840
D,1561146596,196096
D,1561146598,195840
D,1561146601,195840
D,1561146603,195328
D,1561146605,196096
D,1561146607,196096
D,1561146609,195328
D,1561146612,196096
D,1561146614,195840
P,1561146615,4929
D,1561146616,196096
D,1561146618,196096
D,1561146620,195584
D,1561146623,196096
D,1561146625,195584
D,1561146626,195840
D,1561146628,195328
D,1561146630,196352
D,1561146633,195840
D,1561146635,195328
D,1561146637,196096
D,1561146639,195584
D,1561146641,195840
D,1561146644,196352
P,1561146644,4928
D,1561146646,195328
D,1561146648,195584
D,1561146650,195328
D,1561146652,195328
D,1561146655,195584
D,1561146657,195584
D,1561146659,195584
D,1561146661,195328
D,1561146664,195072
D,1561146666,195328
D,1561146667,195072
D,1561146669,195584
D,1561146671,195328
D,1561146674,196096
P,1561146674,4929
D,1561146676,195584
D,1561146678,195840
D,1561146680,194816
D,1561146682,195584
D,1561146685,194560
D,1561146687,196608
D,1561146689,195584
D,1561146691,195072
D,1561146693,195328
D,1561146696,195328
D,1561146698,195584
D,1561146700,195072
D,1561146702,195328
P,1561146704,4928
D,1561146704,194816
D,1561146707,195072
D,1561146708,195840
D,1561146710,195840
D,1561146712,195584
D,1561146714,195328
D,1561146717,195584
D,1561146719,195328
D,1561146721,195072
D,1561146723,196096
D,1561146725,194304
D,1561146728,195072
D,1561146730,195072
D,1561146732,195840
P,1561146733,4927
D,1561146734,195328
D,1561146736,194816
D,1561146739,194816
D,1561146741,195584
D,1561146743,195072
D,1561146745,195328
D,1561146747,195584
D,1561146749,195840
D,1561146751,195328
D,1561146753,196352
D,1561146755,195584
D,1561146757,195072
D,1561146760,195584
D,1561146762,195840
P,1561146762,4927
D,1561146764,195840
D,1561146766,195328
D,1561146768,195328
D,1561146771,195584
D,1561146773,195584
D,1561146775,195840
D,1561146777,196096
D,1561146779,195840
D,1561146782,195584
D,1561146784,195840
D,1561146786,196096
D,1561146788,195328
D,1561146789,195328
P,1561146791,4928
D,1561146792,195840
D,1561146794,195072
D,1561146796,195840
D,1561146798,195840
D,1561146800,195584
D,1561146803,195584
D,1561146805,195584
D,1561146807,196096
D,1561146809,195328
D,1561146811,195328
D,1561146814,195840
D,1561146816,195328
D,1561146818,195584
D,1561146820,194560
P,1561146821,4927
D,1561146822,195840
D,1561146825,195840
D,1561146827,195584
D,1561146829,195072
D,1561146830,195584
D,1561146832,195072
D,1561146835,195840
D,1561146837,195584
D,1561146839,195584
D,1561146841,195328
D,1561146843,195328
D,1561146846,195328
D,1561146848,195584
D,1561146850,195584
P,1561146850,4928
D,1561146852,195584
D,1561146854,196096
D,1561146857,195072
D,1561146859,195072
D,1561146861,195840
D,1561146863,195584
D,1561146865,195328
D,1561146868,196096
D,1561146870,195072
D,1561146871,195584
D,1561146873,196096
D,1561146876,195840
D,1561146878,195840
P,1561146879,4927
D,1561146880,195584
D,1561146882,195840
D,1561146884,195840
D,1561146887,195584
D,1561146889,195584
D,1561146891,195840
D,1561146893,195840
D,1561146895,195840
D,1561146898,195584
D,1561146900,195328
D,1561146902,195584
D,1561146904,195328
D,1561146906,195328
D,1561146909,195840
P,1561146909,4927
D,1561146911,196096
D,1561146912,196864
D,1561146914,195328
D,1561146916,196352
D,1561146919,195328
D,1561146921,196096
D,1561146923,195840
D,1561146925,194816
D,1561146927,195584
D,1561146930,196096
D,1561146932,195840
D,1561146934,195072
D,1561146936,194560
D,1561146938,195328
P,1561146938,4774
D,1561146941,195584
D,1561146943,195328
D,1561146945,195328
D,1561146947,195328
D,1561146949,195072
D,1561146952,195072
D,1561146953,195072
D,1561146955,195328
D,1561146957,195328
D,1561146959,195072
D,1561146962,194560
D,1561146964,195328
D,1561146966,195328
P,1561146968,4928
D,1561146968,195328
D,1561146970,195584
D,1561146973,195328
D,1561146975,195328
D,1561146977,195072
D,1561146979,195072
D,1561146981,195584
D,1561146984,195584
D,1561146986,194816
D,1561146988,195072
D,1561146990,195072
D,1561146992,194816
D,1561146995,195328
D,1561146997,195072
P,1561146998,4927
D,1561146999,195072
D,1561147001,195584
D,1561147003,195328
D,1561147006,195072
D,1561147008,194816
D,1561147010,195072
D,1561147012,195584
D,1561147014,195328
D,1561147017,195840
D,1561147019,195840
D,1561147021,194816
D,1561147023,194816
D,1561147025,195840
D,1561147028,195072
P,1561147028,4862
D,1561147030,195072
D,1561147032,195584
D,1561147034,195328
D,1561147036,195072
D,1561147038,194560
D,1561147040,195328
D,1561147042,195072
D,1561147044,195328
D,1561147046,194816
D,1561147049,195072
D,1561147051,194816
D,1561147053,194560
D,1561147055,195328
P,1561147057,4926
D,1561147057,194816
D,1561147060,195072
D,1561147062,195584
D,1561147064,195328
D,1561147066,195840
D,1561147068,195840
D,1561147071,195328
D,1561147073,195328
D,1561147075,196096
