371,160512
D,1559788373,161024
D,1559788375,160768
P,1559788377,5041
D,1559788377,160000
D,1559788379,160768
D,1559788382,160256
D,1559788384,160512
D,1559788386,160000
D,1559788388,160512
D,1559788390,160512
D,1559788393,159744
D,1559788395,160512
D,1559788397,160512
D,1559788399,160512
D,1559788401,160512
D,1559788404,160768
D,1559788406,160768
P,1559788406,5041
D,1559788407,160512
D,1559788409,160256
D,1559788411,160512
D,1559788414,160512
D,1559788416,160256
D,1559788418,160768
D,1559788420,160256
D,1559788422,160512
D,1559788425,159744
D,1559788427,160256
D,1559788429,160512
D,1559788431,160256
D,1559788433,160000
D,1559788436,160256
P,1559788436,5041
D,1559788438,160256
D,1559788440,160000
D,1559788442,160000
D,1559788444,159744
D,1559788447,160256
D,1559788448,159744
D,1559788450,159744
D,1559788452,160000
D,1559788454,160512
D,1559788457,160256
D,1559788459,160512
D,1559788461,160000
D,1559788463,160768
P,1559788465,5041
D,1559788465,160256
D,1559788468,160256
D,1559788470,160768
D,1559788472,160256
D,1559788474,159488
D,1559788476,160256
D,1559788479,159232
D,1559788481,160256
D,1559788483,159488
D,1559788485,160000
D,1559788487,160512
D,1559788489,160256
D,1559788491,159744
D,1559788493,160256
P,1559788494,5040
D,1559788495,159232
D,1559788497,160256
D,1559788500,159488
D,1559788502,160000
D,1559788504,160256
D,1559788506,160256
D,1559788508,158976
D,1559788511,160256
D,1559788513,160512
D,1559788515,160000
D,1559788517,160256
D,1559788519,159744
D,1559788522,159744
D,1559788524,159744
P,1559788524,5040
D,1559788526,160000
D,1559788528,159488
D,1559788529,159744
D,1559788532,160000
D,1559788534,160000
D,1559788536,160256
D,1559788538,159744
D,1559788540,160000
D,1559788543,160000
D,1559788545,160000
D,1559788547,159744
D,1559788549,159744
D,1559788551,160000
P,1559788553,5042
D,1559788554,160000
D,1559788556,160000
D,1559788558,159488
D,1559788560,159744
D,1559788562,159488
D,1559788565,159744
D,1559788567,159744
D,1559788569,159488
D,1559788570,159488
D,1559788572,159488
D,1559788575,159488
D,1559788577,160000
D,1559788579,159488
D,1559788581,159488
P,1559788583,5041
D,1559788583,159744
D,1559788586,159744
D,1559788588,159744
D,1559788590,159488
D,1559788592,159744
D,1559788595,160000
D,1559788597,159744
D,1559788599,159488
D,1559788601,160256
D,1559788603,159744
D,1559788606,159232
D,1559788608,159744
D,1559788610,159488
D,1559788611,159744
P,1559788612,5041
D,1559788613,159488
D,1559788616,160000
D,1559788618,159744
D,1559788620,159232
D,1559788622,159744
D,1559788624,159744
D,1559788627,159488
D,1559788629,159744
D,1559788631,159744
D,1559788633,159232
D,1559788635,160000
D,1559788638,160256
D,1559788640,160000
P,1559788642,5041
D,1559788642,159744
D,1559788644,160000
D,1559788646,160000
D,1559788649,159488
D,1559788651,159744
D,1559788652,160000
D,1559788654,160000
D,1559788656,159744
D,1559788659,160256
D,1559788661,160000
D,1559788663,159488
D,1559788665,159744
D,1559788667,160000
D,1559788670,160000
P,1559788671,5041
D,1559788672,160512
D,1559788674,159488
D,1559788676,159488
D,1559788678,159488
D,1559788681,159488
D,1559788683,159232
D,1559788685,160512
D,1559788687,158720
D,1559788689,158976
D,1559788692,159488
D,1559788693,158976
D,1559788695,159232
D,1559788697,159232
D,1559788699,159744
P,1559788700,5041
D,1559788702,159488
D,1559788704,159744
D,1559788706,158976
D,1559788708,159232
D,1559788710,159232
D,1559788713,158976
D,1559788715,158720
D,1559788717,159232
D,1559788719,158976
D,1559788721,158720
D,1559788724,159488
D,1559788726,159232
D,1559788728,159744
P,1559788730,5041
D,1559788730,159744
D,1559788732,159488
D,1559788734,158720
D,1559788736,159232
D,1559788738,159232
D,1559788740,158976
D,1559788742,159232
D,1559788745,159232
D,1559788747,159232
D,1559788749,159232
D,1559788751,158976
D,1559788753,159488
D,1559788756,159232
