H,1558403654,272815
D,1558403654,164096
R,1558403654,5C00DDFC90
X,1558403656,614482,11883
X,1558403656,615490,4947
X,1558403657,615472,1342
X,1558403657,615385,13285
X,1558403658,615323,5258
X,1558403659,615524,2036
X,1558403659,615590,5144
X,1558403660,615616,20054
X,1558403660,615715,3322
X,1558403661,615985,3254
X,1558403661,616115,20330
X,1558403662,616219,5388
X,1558403663,616577,1924
X,1558403663,616467,1081
X,1558403664,617755,18093
X,1558403664,616054,20618
X,1558403665,616749,4437
X,1558403665,616407,1505
X,1558403666,616410,2406
X,1558403667,616425,4639
X,1558403667,616463,3130
X,1558403668,616407,6553
X,1558403668,616647,13303
X,1558403669,616683,4047
X,1558403669,616817,2040
X,1558403670,616685,1891
X,1558403670,616893,1344
X,1558403671,616888,3249
X,1558403672,617801,11935
X,1558403672,617727,11501
X,1558403673,616830,6990
X,1558403673,616601,7394
X,1558403674,615183,7657
X,1558403674,615355,5812
X,1558403675,615558,11931
X,1558403676,615953,3174
X,1558403676,615420,5277
X,1558403677,615695,1622
X,1558403677,615826,2889
X,1558403678,615892,1068
X,1558403678,615659,9088
X,1558403679,615518,9282
P,1558403679,5518
X,1558403680,615944,3021
X,1558403680,615902,27288
X,1558403681,615722,2324
X,1558403681,615759,2081
X,1558403682,615977,1321
X,1558403682,615853,1409
X,1558403683,615801,2265
X,1558403684,615902,2635
X,1558403684,616122,3784
X,1558403685,615549,2979
X,1558403685,615851,3265
X,1558403686,615562,2838
X,1558403686,616098,11790
X,1558403687,615801,3118
X,1558403688,615760,3827
X,1558403688,615750,1938
X,1558403688,615967,1319
X,1558403688,615823,3895
X,1558403689,615791,2268
X,1558403689,615833,1649
X,1558403690,615501,4448
X,1558403690,615793,1504
X,1558403691,615919,2339
X,1558403692,615747,2738
X,1558403692,616101,7552
X,1558403693,616128,1969
X,1558403693,616057,6812
X,1558403694,615765,1455
X,1558403694,616078,1813
X,1558403695,616159,9551
X,1558403696,616010,2426
X,1558403696,616086,2147
X,1558403697,616273,6473
X,1558403697,616258,2019
X,1558403698,616104,4928
X,1558403698,616150,8006
X,1558403699,616361,1186
X,1558403700,616408,2053
X,1558403700,616055,3252
X,1558403701,616155,3932
X,1558403701,616442,5466
X,1558403702,616234,2275
X,1558403702,616303,1676
X,1558403703,616387,1695
X,1558403704,616674,1904
X,1558403704,616478,822
X,1558403705,616280,2014
X,1558403705,616479,2036
X,1558403706,616460,2381
X,1558403706,616433,1370
X,1558403707,616050,2289
X,1558403708,616607,2782
X,1558403708,616608,2932
P,1558403709,5519
X,1558403709,616863,1793
X,1558403709,617099,1178
X,1558403710,617169,3573
X,1558403710,616997,2266
X,1558403711,617347,2180
X,1558403712,617210,886
X,1558403712,617138,3156
X,1558403713,617179,1972
X,1558403713,617280,3328
X,1558403714,617313,1379
X,1558403714,617241,1389
X,1558403715,617329,2912
X,1558403715,617189,2679
X,1558403716,617295,3602
X,1558403717,617170,1303
X,1558403717,617261,2055
X,1558403718,617423,1632
X,1558403718,617347,2828
X,1558403719,617440,1438
X,1558403719,617245,1502
X,1558403720,617347,1948
X,1558403721,617281,4483
X,1558403721,617292,2410
X,1558403722,617373,1226
X,1558403722,617147,2210
X,1558403723,617507,4601
X,1558403723,617648,45852
X,1558403724,617380,4922
X,1558403725,616451,9917
X,1558403725,617669,1998
X,1558403726,617509,1114
X,1558403726,617440,1676
X,1558403727,616967,7788
X,1558403727,617345,2759
X,1558403728,617366,1647
X,1558403729,617377,857
X,1558403729,617227,2827
X,1558403729,617376,1473
X,1558403729,617390,3254
X,1558403730,617298,1098
X,1558403730,617240,3166
X,1558403731,617450,2439
X,1558403732,617292,3404
X,1558403732,617443,1858
X,1558403733,617421,1259
X,1558403733,617304,3337
X,1558403734,617421,1841
X,1558403734,617359,3299
X,1558403735,617476,1486
X,1558403736,617329,1258
X,1558403736,617384,2062
X,1558403737,617375,1928
X,1558403737,617396,1935
P,1558403738,5517
X,1558403738,617355,1375
X,1558403738,617007,4364
X,1558403739,617742,2454
X,1558403739,617918,7385
X,1558403740,617019,5277
X,1558403741,617272,6452
X,1558403741,617088,27333
X,1558403742,619003,13869
X,1558403742,617117,20155
X,1558403743,618983,9822
X,1558403743,611588,6144
X,1558403744,618708,16511
X,1558403745,616355,8608
X,1558403745,618660,19596
X,1558403746,618829,19611
X,1558403746,614198,12640
X,1558403747,616808,6669
X,1558403747,615941,10215
