H,1561149769,272815
D,1561149769,196864
D,1561149771,197632
D,1561149774,197120
D,1561149776,196864
D,1561149778,197120
D,1561149780,196608
D,1561149782,196864
D,1561149784,197376
D,1561149786,196352
R,1561149786,5C00DDFC90
R,1561149786,5C00DDFC90
X,1561149788,699547,9751
X,1561149788,698663,14852
X,1561149789,700546,11037
X,1561149789,700060,3741
X,1561149790,699692,3629
P,1561149790,4913
X,1561149790,699141,4677
X,1561149791,699593,8988
X,1561149792,698758,41409
X,1561149792,701021,25520
X,1561149793,698084,8755
X,1561149793,696986,3139
X,1561149794,696363,5101
X,1561149794,696770,3363
X,1561149795,699101,9781
X,1561149796,696828,17170
X,1561149796,699855,12923
X,1561149797,698708,2432
X,1561149797,699122,2114
X,1561149798,698295,2125
X,1561149798,697940,3163
X,1561149799,696752,3063
X,1561149800,697292,10307
X,1561149800,696269,15667
X,1561149801,696608,3220
X,1561149801,696903,2848
X,1561149802,697532,2481
X,1561149802,697482,1902
X,1561149803,697648,6756
X,1561149804,697895,6081
X,1561149804,698664,4733
X,1561149805,699945,16822
X,1561149805,696008,36294
X,1561149806,697543,9317
X,1561149806,698059,6048
X,1561149807,697151,3033
X,1561149807,696867,1654
X,1561149808,696978,2773
X,1561149809,697003,6295
X,1561149809,697926,9362
X,1561149810,697997,17808
X,1561149810,695757,48280
X,1561149811,704902,41462
X,1561149811,699924,7452
X,1561149812,697363,39293
X,1561149813,701130,57267
X,1561149813,700463,15802
X,1561149814,698240,33253
X,1561149814,697346,21005
X,1561149815,698215,11720
X,1561149815,699323,10895
X,1561149816,698662,2812
X,1561149817,698591,4803
X,1561149817,698443,2602
X,1561149818,698080,3743
X,1561149818,698346,13113
X,1561149819,697539,6075
X,1561149819,697929,2019
X,1561149820,697896,1754
P,1561149820,4913
X,1561149821,698341,3153
X,1561149821,698716,1815
X,1561149822,698896,11753
X,1561149822,698471,6068
X,1561149823,698422,1674
X,1561149823,697884,3059
X,1561149824,697573,2723
X,1561149825,697849,2065
X,1561149825,698673,27310
X,1561149825,697916,5022
X,1561149825,692618,61705
X,1561149826,697679,46491
X,1561149826,696216,20494
X,1561149827,700942,28430
X,1561149828,700657,4840
X,1561149828,700333,4045
X,1561149829,700119,4437
X,1561149829,699987,3630
X,1561149830,699888,4684
X,1561149830,699583,23865
X,1561149831,699756,4176
X,1561149831,699572,4247
X,1561149832,699842,1621
X,1561149833,699720,2622
X,1561149833,699733,3390
X,1561149834,699560,2879
X,1561149834,699817,2252
X,1561149835,699842,1627
X,1561149835,699869,1651
X,1561149836,699822,42050
X,1561149837,700036,2301
X,1561149837,699974,1627
X,1561149838,699870,2292
X,1561149838,699991,1415
X,1561149839,699746,1679
X,1561149839,699711,2360
X,1561149840,699531,2152
X,1561149841,699445,15106
X,1561149841,699566,2793
X,1561149842,699537,4521
X,1561149842,699490,2335
X,1561149843,698306,15120
X,1561149843,699681,27265
X,1561149844,700603,58655
X,1561149845,692513,61305
X,1561149845,698747,58215
X,1561149846,697156,47609
X,1561149846,697043,9604
X,1561149847,694862,43110
X,1561149847,697712,5283
X,1561149848,698324,12028
X,1561149849,700831,28316
X,1561149849,694512,64668
P,1561149849,4912
X,1561149850,691640,29780
X,1561149850,705532,2762
X,1561149851,491720,4571
X,1561149851,292951,11014
X,1561149852,293660,3229
X,1561149852,293500,1308
X,1561149853,293627,641
X,1561149854,293700,430
X,1561149854,293693,261
X,1561149855,293652,278
X,1561149855,293595,203
X,1561149856,293563,107
X,1561149856,293530,121
X,1561149857,293483,116
O,1561149858,293489,139
O,1561149858,293512,163
O,1561149859,293495,143
O,1561149859,293580,188
O,1561149860,293588,146
O,1561149860,293496,211
O,1561149861,293479,159
O,1561149862,293260,238
O,1561149862,293404,124
O,1561149863,293444,230
O,1561149863,293329,135
O,1561149864,293415,214
O,1561149864,293366,145
O,1561149865,293363,303
O,1561149866,293282,505
O,1561149866,293289,178
O,1561149866,293198,88
O,1561149866,293187,132
O,1561149867,293303,168
O,1561149867,293355,97
O,1561149868,293315,121
O,1561149869,293351,173
O,1561149869,293308,124
O,1561149870,293370,127
O,1561149870,293406,169
O,1561149871,293378,197
O,1561149871,293399,121
O,1561149872,293349,245
O,1561149873,293137,1020
O,1561149873,419886,8128
T,1561149873,2908
D,1561149874,432640
R,1561149875,5C00DDFC90
X,1561149876,642072,62260
X,1561149877,648293,62452
X,1561149877,646909,23096
