H,1551935361,304245
P,1551935361,5251
P,1551935390,5253
P,1551935419,5250
P,1551935449,5251
P,1551935478,5251
P,1551935507,5252
P,1551935536,5251
P,1551935566,5252
P,1551935595,5252
P,1551935625,5249
P,1551935655,5251
P,1551935684,5252
P,1551935713,5253
P,1551935742,5253
P,1551935772,5252
P,1551935801,5248
P,1551935830,5253
P,1551935860,5253
P,1551935889,5250
P,1551935919,5252
P,1551935948,5252
P,1551935978,5253
P,1551936007,5252
P,1551936036,5252
P,1551936066,5253
P,1551936095,5252
P,1551936124,5253
P,1551936153,5253
P,1551936183,5252
P,1551936213,5250
P,1551936242,5252
P,1551936272,5250
P,1551936301,5253
P,1551936330,5253
P,1551936359,5253
P,1551936389,5251
P,1551936418,5252
P,1551936447,5252
P,1551936477,5251
P,1551936507,5252
P,1551936536,5249
P,1551936565,5249
P,1551936595,5253
P,1551936624,5253
P,1551936654,5252
P,1551936684,5251
P,1551936713,5251
P,1551936742,5253
P,1551936771,5253
P,1551936802,5253
O,1551936822,302556,2304
O,1551936823,302622,254
O,1551936823,302425,165
O,1551936824,302294,161
O,1551936824,302372,290
O,1551936825,302593,117
O,1551936826,302611,201
O,1551936826,302175,686
O,1551936827,302106,396
O,1551936827,302124,190
O,1551936828,302090,315
O,1551936828,302058,484
O,1551936829,302115,429
O,1551936829,302466,243
O,1551936830,302515,110
O,1551936831,302445,316
P,1551936831,5244
O,1551936831,302454,187
O,1551936832,302680,170
O,1551936832,302848,278
O,1551936833,302727,252
O,1551936833,303014,275
O,1551936834,303261,403
O,1551936835,303437,126
O,1551936835,303386,229
O,1551936836,303489,145
O,1551936836,303532,160
O,1551936837,303363,200
O,1551936837,303115,410
O,1551936838,302740,172
O,1551936839,302515,223
O,1551936839,302399,203
O,1551936840,302300,269
O,1551936840,302265,216
O,1551936841,302905,427
O,1551936841,303271,555
O,1551936842,302813,747
O,1551936843,303017,811
O,1551936843,304660,1439
O,1551936844,303776,564
O,1551936844,303601,397
O,1551936845,303931,464
O,1551936845,303928,531
O,1551936846,303458,167
O,1551936846,303184,301
O,1551936847,302843,298
O,1551936848,302621,72
O,1551936848,302693,189
O,1551936849,302735,118
O,1551936849,302942,246
O,1551936849,303166,444
O,1551936849,303664,364
O,1551936850,303711,186
O,1551936851,303347,229
O,1551936851,303325,166
O,1551936852,302888,1077
O,1551936852,302289,250
O,1551936853,302245,204
O,1551936853,302327,196
O,1551936854,302219,116
O,1551936855,302292,118
O,1551936855,302201,90
O,1551936856,302206,176
O,1551936856,302293,86
O,1551936857,302488,294
O,1551936857,302753,225
O,1551936858,303003,179
O,1551936858,303040,233
O,1551936859,303097,209
O,1551936860,303353,346
P,1551936860,5244
O,1551936860,303565,282
O,1551936861,303593,220
O,1551936861,303396,212
O,1551936862,303149,257
O,1551936862,302999,181
O,1551936863,302897,110
O,1551936864,302828,177
O,1551936864,302627,213
O,1551936865,302652,303
O,1551936865,302656,132
O,1551936866,302918,375
O,1551936866,302789,235
O,1551936867,302956,370
O,1551936868,302701,440
O,1551936868,303049,558
O,1551936869,303480,188
O,1551936869,303434,476
O,1551936870,303405,217
O,1551936870,303416,362
O,1551936871,303435,227
O,1551936872,303435,399
O,1551936872,303333,268
O,1551936873,303253,495
O,1551936873,303257,388
O,1551936874,303245,137
O,1551936874,303347,206
O,1551936875,303364,424
O,1551936875,303351,187
O,1551936876,303237,166
O,1551936877,303281,108
O,1551936877,303411,265
O,1551936878,303389,119
T,1551936878,2795
P,1551936890,5251
P,1551936919,5252
P,1551936948,5253
P,1551936977,5253
P,1551937007,5252
P,1551937036,5252
P,1551937065,5252
P,1551937095,5249
P,1551937125,5252
P,1551937154,5249
P,1551937183,5253
P,1551937213,5253
P,1551937242,5252
P,1551937271,5252
P,1551937300,5251
P,1551937330,5251
P,1551937359,5251
P,1551937389,5252
P,1551937419,5252
P,1551937448,5252
P,1551937477,5252
P,1551937506,5252
P,1551937536,5252
P,1551937565,5251
P,1551937594,5252
P,1551937624,5250
P,1551937653,5252
P,1551937683,5253
P,1551937712,5251
P,1551937742,5250
P,1551937771,5251
P,1551937800,5250
P,1551937830,5253
P,1551937859,5252
P,1551937888,5251
P,1551937917,5249
P,1551937947,5250
P,1551937977,5250
P,1551938006,5252
P,1551938036,5252
P,1551938065,5252
P,1551938094,5252
P,1551938123,5249
P,1551938153,5252
P,1551938182,5252
P,1551938211,5252
P,1551938241,5248
P,1551938271,5252
P,1551938300,5249
P,1551938329,5252
P,1551938359,5253
