H,1559346767,295524
P,1559346767,5378
P,1559346796,5380
P,1559346825,5378
P,1559346855,5380
P,1559346884,5378
P,1559346913,5380
P,1559346942,5380
P,1559346972,5380
P,1559347001,5381
P,1559347031,5381
P,1559347061,5380
P,1559347090,5377
P,1559347119,5380
P,1559347148,5380
P,1559347178,5380
P,1559347207,5378
P,1559347236,5380
P,1559347266,5381
P,1559347295,5379
P,1559347325,5379
P,1559347354,5378
P,1559347384,5378
P,1559347414,5379
P,1559347443,5381
P,1559347473,5379
P,1559347502,5378
P,1559347531,5380
P,1559347560,5380
P,1559347590,5380
P,1559347620,5379
P,1559347649,5379
P,1559347679,5376
P,1559347708,5380
P,1559347737,5380
P,1559347766,5380
P,1559347796,5380
P,1559347825,5380
P,1559347854,5380
P,1559347884,5380
P,1559347914,5378
P,1559347943,5378
P,1559347972,5378
P,1559348002,5380
P,1559348031,5378
P,1559348060,5378
P,1559348089,5380
P,1559348119,5378
O,1559348143,309066,2226
O,1559348144,309308,97
O,1559348144,309276,171
O,1559348145,309242,205
O,1559348145,309322,181
O,1559348146,309301,145
O,1559348147,309419,165
O,1559348147,309404,56
O,1559348148,309365,73
O,1559348148,309410,160
P,1559348148,5373
O,1559348149,309442,179
O,1559348149,309455,114
O,1559348150,309467,107
O,1559348150,309482,67
O,1559348151,309470,82
O,1559348152,309422,112
O,1559348152,309338,84
O,1559348153,309379,155
O,1559348153,309236,233
O,1559348154,309203,177
O,1559348154,309312,352
O,1559348155,309437,145
O,1559348156,309307,183
O,1559348156,309175,110
O,1559348157,309202,146
O,1559348157,309238,145
O,1559348158,309330,130
O,1559348158,309348,91
O,1559348159,309337,102
O,1559348160,309374,171
O,1559348160,309354,100
O,1559348161,309406,122
O,1559348161,309325,183
O,1559348162,309370,86
O,1559348162,309450,113
O,1559348163,309500,109
O,1559348164,309424,85
O,1559348164,309420,95
O,1559348165,309420,86
O,1559348165,309375,180
O,1559348166,309420,95
O,1559348166,309399,79
O,1559348167,309465,94
O,1559348167,309480,72
O,1559348168,309510,63
O,1559348169,309525,96
O,1559348169,309491,101
O,1559348170,309470,150
O,1559348170,309316,128
O,1559348171,309262,162
O,1559348171,309192,226
O,1559348171,309054,186
O,1559348172,309038,265
O,1559348172,308829,281
O,1559348173,309202,289
O,1559348173,309353,117
O,1559348174,309412,61
O,1559348174,309288,176
O,1559348175,309287,76
O,1559348176,309292,156
O,1559348176,309333,159
O,1559348177,309420,179
O,1559348177,309519,129
P,1559348177,5372
O,1559348178,309409,137
O,1559348178,309458,139
O,1559348179,309407,154
O,1559348179,309383,81
O,1559348180,309386,122
O,1559348181,309534,269
O,1559348181,309470,257
O,1559348182,309456,93
O,1559348182,309494,145
O,1559348183,309592,105
O,1559348183,309588,101
O,1559348184,309547,134
O,1559348185,309536,94
O,1559348185,309580,86
O,1559348186,309605,106
O,1559348186,309637,64
O,1559348187,309605,92
O,1559348187,309604,146
O,1559348188,309593,161
O,1559348189,309626,133
O,1559348189,309609,113
O,1559348190,309617,71
O,1559348190,309606,66
O,1559348191,309603,110
O,1559348191,309596,79
O,1559348192,309581,119
O,1559348193,309567,93
O,1559348193,309500,52
O,1559348194,309517,133
O,1559348194,309526,124
O,1559348195,309499,175
O,1559348195,309507,147
O,1559348196,309441,115
O,1559348196,309486,130
O,1559348197,309472,97
O,1559348198,309477,141
O,1559348198,309496,124
O,1559348199,309535,55
T,1559348199,2875
P,1559348208,5380
P,1559348237,5379
P,1559348266,5379
P,1559348295,5379
P,1559348325,5380
P,1559348354,5378
P,1559348383,5381
P,1559348413,5379
P,1559348442,5379
P,1559348471,5380
P,1559348501,5378
P,1559348531,5379
P,1559348560,5380
P,1559348589,5380
P,1559348619,5380
P,1559348648,5380
P,1559348677,5380
P,1559348706,5380
P,1559348736,5380
P,1559348765,5380
P,1559348795,5379
P,1559348825,5380
P,1559348854,5379
P,1559348883,5378
P,1559348912,5377
P,1559348942,5379
P,1559348971,5380
P,1559349000,5378
P,1559349030,5379
P,1559349059,5377
P,1559349089,5379
P,1559349118,5377
P,1559349148,5374
P,1559349177,5380
P,1559349206,5379
P,1559349236,5379
P,1559349265,5375
P,1559349294,5378
P,1559349323,5379
P,1559349353,5378
P,1559349383,5379
P,1559349412,5379
P,1559349442,5377
P,1559349471,5378
P,1559349500,5378
P,1559349529,5378
P,1559349559,5380
P,1559349588,5377
P,1559349617,5379
P,1559349647,5378
P,1559349677,5379
P,1559349706,5379
P,1559349735,5377
P,1559349765,5380
