H,1552168600,306256
T,1552168600,2823
U,1552168601,64508
X,1552168602,711192,1649
X,1552168603,710909,1885
X,1552168603,711667,2959
X,1552168604,710792,9412
X,1552168604,711191,2236
X,1552168605,710046,7301
X,1552168606,710942,39636
X,1552168606,710943,13396
X,1552168607,710366,21186
X,1552168607,711417,19568
X,1552168608,712030,15109
X,1552168608,710210,39829
X,1552168609,712531,57000
X,1552168610,710156,60079
X,1552168610,711284,41286
X,1552168611,712554,40989
X,1552168611,711746,42145
X,1552168612,710422,21072
X,1552168612,710850,18341
X,1552168613,711362,21219
X,1552168613,711156,15743
X,1552168614,710941,8940
X,1552168615,711198,3625
X,1552168615,711198,1620
X,1552168616,711464,1114
X,1552168616,711464,1676
X,1552168617,711269,1894
X,1552168617,712084,16084
X,1552168618,710469,10495
X,1552168619,711007,1434
X,1552168619,710721,2099
X,1552168620,710055,4910
X,1552168620,712266,16873
X,1552168621,710711,14435
X,1552168621,710892,5704
X,1552168622,710866,9784
X,1552168623,710313,12894
X,1552168623,710131,7727
X,1552168624,710554,9105
X,1552168624,710792,7301
X,1552168625,711296,7537
X,1552168625,711109,6265
X,1552168626,711440,13820
X,1552168627,710390,17755
X,1552168627,710918,10561
X,1552168628,711180,11944
X,1552168628,710745,10475
X,1552168629,710927,1323
X,1552168629,711249,7077
X,1552168630,711306,7696
P,1552168630,5158
X,1552168630,710752,7582
X,1552168631,710648,10869
X,1552168632,710961,2367
X,1552168632,710816,1405
X,1552168633,711250,7638
X,1552168633,710642,12653
X,1552168634,711365,18870
X,1552168634,711647,16485
X,1552168635,711663,15054
X,1552168636,710753,23279
X,1552168636,711090,4199
X,1552168637,710548,10659
X,1552168637,711298,12868
X,1552168638,709895,12089
X,1552168638,710938,1987
X,1552168639,710865,1969
X,1552168640,710536,1403
X,1552168640,710254,1491
X,1552168640,710525,1089
X,1552168640,709490,7903
X,1552168641,710758,13658
X,1552168641,710117,13608
X,1552168642,710008,19074
X,1552168643,709443,6575
X,1552168643,709271,10401
X,1552168644,710375,26511
X,1552168644,709008,7608
X,1552168645,710398,5871
X,1552168645,709022,24278
X,1552168646,709538,30465
X,1552168647,709872,10186
X,1552168647,710282,15064
X,1552168648,710392,1692
X,1552168648,711527,14068
X,1552168649,710195,6653
X,1552168649,710639,1854
X,1552168650,710667,852
X,1552168650,711162,4719
X,1552168651,710767,9615
X,1552168652,711893,49679
X,1552168652,710319,32040
X,1552168653,711668,41881
X,1552168653,710921,12765
X,1552168654,712567,12016
X,1552168654,711615,13729
X,1552168655,712001,30412
X,1552168656,711691,17021
X,1552168656,711556,10102
X,1552168657,711086,6887
X,1552168657,710331,7492
X,1552168658,710115,12148
X,1552168658,709907,12398
X,1552168659,710596,4246
P,1552168659,5158
X,1552168660,712086,11066
X,1552168660,711652,12406
X,1552168661,709216,22483
X,1552168661,710821,11142
X,1552168662,710547,39363
X,1552168662,711442,11901
X,1552168663,709150,27037
X,1552168664,708897,17099
X,1552168664,711645,18918
X,1552168665,711333,12262
X,1552168665,710505,20076
X,1552168666,710346,29790
X,1552168666,710611,4037
X,1552168667,710515,833
X,1552168667,710347,1370
X,1552168668,710694,50484
X,1552168669,711096,1611
X,1552168669,711695,5010
X,1552168670,710828,5574
X,1552168670,711545,2152
X,1552168671,711497,2306
X,1552168671,711332,1382
X,1552168672,711100,2195
X,1552168673,711283,1359
X,1552168673,711296,1774
X,1552168674,711413,2001
X,1552168674,711211,1358
X,1552168675,711414,1567
X,1552168675,711327,2151
X,1552168676,711183,1892
X,1552168677,711242,2336
X,1552168677,711511,13073
X,1552168678,711244,4316
X,1552168678,711209,3197
X,1552168679,710988,1409
X,1552168679,710946,1664
X,1552168680,711083,1580
X,1552168681,710651,1463
X,1552168681,710654,1303
X,1552168681,711100,1720
X,1552168681,710974,1771
X,1552168682,710763,1293
X,1552168682,710557,1092
X,1552168683,710633,8945
X,1552168684,710908,4574
X,1552168684,711245,2887
X,1552168685,711193,3446
X,1552168685,711073,6139
X,1552168686,710731,4719
X,1552168686,710810,17559
X,1552168687,712703,18794
X,1552168687,711323,2425
X,1552168688,711513,2291
P,1552168688,5157
X,1552168689,711236,1293
X,1552168689,711136,883
X,1552168690,710847,1363
X,1552168690,711161,966
X,1552168691,711383,2933
X,1552168691,711562,1243
X,1552168692,711416,1368
X,1552168693,711589,1052
X,1552168693,711365,1855
X,1552168694,711620,2284
