H,1552168043,306256
X,1552168043,710819,1467
X,1552168044,710889,2179
X,1552168044,710730,2774
X,1552168045,710368,1261
X,1552168045,710187,2338
X,1552168046,710206,1746
X,1552168047,710187,1391
X,1552168047,710391,1496
X,1552168048,710656,1835
X,1552168048,710752,2183
X,1552168049,711062,1513
X,1552168049,710915,1172
X,1552168050,711112,1010
X,1552168051,711014,1559
X,1552168051,711061,1583
X,1552168052,710973,1504
X,1552168052,711305,2421
X,1552168053,711034,1828
X,1552168053,710951,1064
X,1552168054,710844,1183
X,1552168055,710900,1476
X,1552168055,710934,1509
X,1552168056,710915,1176
X,1552168056,710971,1700
X,1552168057,710997,1366
X,1552168057,711074,1704
X,1552168058,710923,1203
X,1552168058,710761,1410
X,1552168059,710713,1243
X,1552168060,710968,3114
X,1552168060,710883,10544
X,1552168061,710566,1216
X,1552168061,710358,1069
X,1552168062,710543,1219
X,1552168062,710483,1087
X,1552168063,710864,1283
X,1552168064,710665,2059
X,1552168064,710626,1390
X,1552168065,710529,861
X,1552168065,710366,1394
X,1552168065,710080,2159
X,1552168065,710527,979
X,1552168066,709904,1727
X,1552168067,709830,1693
X,1552168067,710104,1794
X,1552168068,710042,1465
X,1552168068,709708,33372
X,1552168069,710306,3019
X,1552168069,710316,1283
X,1552168070,710121,1319
P,1552168070,5158
X,1552168071,709757,2447
X,1552168071,709690,1886
X,1552168072,709585,1699
X,1552168072,709472,1618
X,1552168073,709607,1632
X,1552168073,709513,1999
X,1552168074,709958,1025
X,1552168074,709778,1381
X,1552168075,709912,1333
X,1552168076,709141,2153
X,1552168076,708338,2066
X,1552168077,709604,1029
X,1552168077,710321,1341
X,1552168078,710696,1792
X,1552168078,710709,967
X,1552168079,710733,974
X,1552168080,710824,2210
X,1552168080,710861,2458
X,1552168081,710791,1488
X,1552168081,710448,779
X,1552168082,710539,1304
X,1552168082,710693,2461
X,1552168083,710458,1296
X,1552168084,710409,1565
X,1552168084,709917,2681
X,1552168085,709493,1467
X,1552168085,709085,1796
X,1552168086,709543,1575
X,1552168086,710222,1318
X,1552168087,710402,1523
X,1552168088,710558,1392
X,1552168088,710507,981
X,1552168089,710615,2636
X,1552168089,710372,1191
X,1552168090,710376,1132
X,1552168090,710596,1668
X,1552168091,710360,2463
X,1552168091,710578,1085
X,1552168092,710433,1141
X,1552168093,710727,992
X,1552168093,710660,1952
X,1552168094,710834,1345
X,1552168094,710655,1151
X,1552168095,710588,1275
X,1552168095,710548,1910
X,1552168096,710736,1505
X,1552168097,710626,1325
X,1552168097,710487,2034
X,1552168098,710474,3108
X,1552168098,710334,1288
X,1552168099,709776,1632
X,1552168099,710092,1753
X,1552168100,710238,1989
P,1552168100,5159
X,1552168101,710310,1418
X,1552168101,710541,1266
X,1552168102,710642,890
A,1552168102,710659,636
T,1552168102,2823
U,1552168102,64508
X,1552168104,710757,930
X,1552168104,710817,1222
X,1552168105,710622,1485
X,1552168106,710565,894
X,1552168106,710541,950
X,1552168106,710895,1354
X,1552168106,710882,2325
X,1552168107,710685,1367
X,1552168107,710640,1127
X,1552168108,710776,1205
X,1552168109,710763,2325
X,1552168109,710666,941
X,1552168110,710629,1300
X,1552168110,710635,1600
X,1552168111,710786,2054
X,1552168111,710847,1667
X,1552168112,710760,1152
X,1552168113,710757,1271
X,1552168113,710115,1613
X,1552168114,709812,1671
X,1552168114,709579,1692
X,1552168115,709617,1444
X,1552168115,709698,1514
X,1552168116,710344,1412
X,1552168116,709569,1544
X,1552168117,710303,1985
X,1552168118,710479,1708
X,1552168118,710574,1308
X,1552168119,710587,1979
X,1552168119,710984,1400
X,1552168120,710937,1572
X,1552168120,710954,1418
X,1552168121,710844,1531
X,1552168122,710800,792
X,1552168122,710688,1183
X,1552168123,710157,2058
X,1552168123,710102,1484
X,1552168124,710288,2197
X,1552168124,709188,1990
X,1552168125,709547,2513
X,1552168126,710208,1521
X,1552168126,710578,1908
X,1552168127,710459,832
X,1552168127,710477,1731
X,1552168128,710818,2185
X,1552168128,711053,1309
X,1552168129,710948,878
X,1552168130,710857,1451
P,1552168130,5160
X,1552168130,710765,2504
X,1552168131,710728,1143
X,1552168131,710835,1201
X,1552168132,710838,2350
X,1552168132,710341,2877
X,1552168133,710273,1444
X,1552168133,710454,1016
X,1552168134,710710,1193
X,1552168135,710819,2379
X,1552168135,710995,2156
X,1552168136,710934,1248
