H,1555012267,337272
X,1555012267,802347,7426
X,1555012267,802202,3804
X,1555012268,801587,4414
X,1555012268,800810,5742
X,1555012269,800553,17238
X,1555012270,799605,4801
X,1555012270,798091,6571
X,1555012271,798104,2969
X,1555012271,799101,4238
X,1555012272,803260,3327
X,1555012272,803876,2366
X,1555012273,803961,3338
X,1555012273,802898,4711
X,1555012274,803210,3800
P,1555012274,5065
X,1555012275,803084,5500
X,1555012275,801087,6945
X,1555012276,801344,2199
X,1555012276,799771,3691
X,1555012277,802078,2638
X,1555012277,796588,5966
X,1555012278,803318,5346
X,1555012278,799743,4221
X,1555012278,801467,2655
X,1555012279,802035,2208
X,1555012279,800472,3854
X,1555012280,799130,7877
X,1555012280,796410,15516
X,1555012281,799457,6877
X,1555012282,803209,3086
X,1555012282,802124,5618
X,1555012283,798743,7438
X,1555012283,799602,7788
X,1555012284,801735,5063
X,1555012284,798051,2256
X,1555012285,798826,3677
X,1555012286,802778,1788
X,1555012286,802848,3765
X,1555012287,803473,2336
X,1555012287,803267,2349
X,1555012288,804624,1439
X,1555012288,805822,1564
X,1555012289,806011,2346
X,1555012290,803603,2661
X,1555012290,804925,1163
X,1555012291,804582,3271
X,1555012291,803866,1816
X,1555012292,802581,1551
X,1555012292,803673,823
X,1555012293,803959,1919
X,1555012293,803807,1967
X,1555012294,804112,1720
X,1555012295,804030,1158
X,1555012295,803281,2794
X,1555012296,802651,4704
X,1555012296,803320,1464
X,1555012297,802501,3442
X,1555012297,805142,4879
X,1555012298,801257,9627
X,1555012299,803420,6369
X,1555012299,803578,2665
X,1555012300,800433,4755
X,1555012300,799618,3923
X,1555012301,802381,1833
X,1555012301,801092,1365
X,1555012302,801268,2654
X,1555012303,801401,3473
X,1555012303,798374,7929
P,1555012304,5074
X,1555012304,800983,4817
X,1555012304,803424,1875
X,1555012305,804030,2476
X,1555012305,803777,962
X,1555012306,803678,2392
X,1555012307,800284,4148
X,1555012307,798162,6264
X,1555012308,802431,4155
X,1555012308,800542,3563
X,1555012309,795355,7712
X,1555012309,794879,10801
X,1555012310,795692,14075
X,1555012310,798491,11085
X,1555012311,798690,6021
X,1555012312,799513,6173
X,1555012312,799430,8434
X,1555012313,804046,7669
X,1555012313,802635,12583
X,1555012314,800509,12665
X,1555012314,806118,8881
X,1555012315,800508,7916
X,1555012316,800702,6204
X,1555012316,798097,14259
X,1555012317,798066,5206
X,1555012317,797691,7591
X,1555012318,801909,4359
X,1555012318,799397,3928
X,1555012319,801932,3719
X,1555012320,798807,8120
X,1555012320,798349,14687
X,1555012321,802239,14147
X,1555012321,790769,19184
X,1555012322,796880,13232
X,1555012322,798151,4864
X,1555012323,797548,5210
X,1555012324,799647,11112
X,1555012324,794590,29527
X,1555012325,793535,11609
X,1555012325,798137,8945
X,1555012326,803058,1218
X,1555012326,802661,4878
X,1555012327,802418,2835
X,1555012328,803556,5024
X,1555012328,803984,2828
X,1555012329,804170,901
X,1555012329,803839,1587
X,1555012330,803782,22087
X,1555012330,803387,1389
X,1555012331,803295,1537
X,1555012331,803630,1275
X,1555012332,803754,1222
X,1555012333,803799,864
A,1555012333,804218,2976
T,1555012333,2828
R,1555012333,700D98F55
R,1555012333,700D98F55
R,1555012333,700D98F55
P,1555012334,5073
X,1555012335,803590,1284
X,1555012335,803428,1064
X,1555012336,803837,929
X,1555012336,804462,3040
X,1555012337,804484,1639
X,1555012337,801469,9021
X,1555012338,797287,10609
X,1555012339,797648,9888
X,1555012339,799082,13074
X,1555012340,798417,8580
X,1555012340,797756,19125
X,1555012341,798691,17090
X,1555012341,798662,25399
X,1555012342,804636,10332
X,1555012343,804245,6505
X,1555012343,803043,3915
X,1555012344,796848,19926
X,1555012344,800501,9247
X,1555012345,807471,13564
X,1555012345,805749,6035
X,1555012346,807896,4287
X,1555012346,804302,2225
X,1555012347,803154,10271
X,1555012348,802308,5929
X,1555012348,806029,3973
X,1555012349,804311,5684
X,1555012349,799819,6721
X,1555012350,796766,12846
X,1555012350,797879,9603
X,1555012351,800132,12173
X,1555012352,799761,14092
X,1555012352,798150,36762
X,1555012353,807761,16179
X,1555012353,814145,18247
X,1555012354,815555,33756
X,1555012354,808959,25080
X,1555012355,802222,17513
X,1555012356,810701,16790
X,1555012356,813453,16292
X,1555012357,809496,21519
X,1555012357,794995,28113
X,1555012358,799392,12516
X,1555012358,801108,4777
X,1555012359,800051,7805
X,1555012360,803635,21688
