H,1554244393,337272
D,1554244393,430080
D,1554244395,428800
D,1554244397,429568
D,1554244400,429568
D,1554244402,429568
P,1554244403,5077
D,1554244404,428544
D,1554244406,428544
D,1554244408,428032
D,1554244411,429568
D,1554244413,429568
D,1554244415,430080
D,1554244417,452864
D,1554244419,419584
D,1554244422,428288
D,1554244424,428800
D,1554244426,410624
D,1554244428,426496
D,1554244430,427776
P,1554244432,5104
P,1554244462,5104
P,1554244492,5105
P,1554244521,5105
D,1554244529,521728
R,1554244529,700D98F55
R,1554244529,700D98F55
R,1554244529,700D98F55
X,1554244531,757959,7330
X,1554244531,757884,9448
X,1554244532,755687,39573
X,1554244532,756399,27028
X,1554244533,757614,43226
X,1554244534,759427,5501
X,1554244534,758641,3002
X,1554244535,758913,1878
X,1554244535,758896,1945
X,1554244536,758898,2113
X,1554244536,758984,31172
X,1554244537,758076,9833
X,1554244537,758260,4869
X,1554244538,758307,5495
X,1554244539,758342,4186
X,1554244539,758383,4657
X,1554244540,757916,5325
X,1554244540,758440,2955
X,1554244541,757980,5404
X,1554244541,758162,3437
X,1554244542,757869,1436
X,1554244543,757989,1075
X,1554244543,757808,1574
X,1554244544,758007,4049
X,1554244544,758549,1501
X,1554244545,758148,1387
X,1554244545,758151,1695
X,1554244546,758123,4992
X,1554244547,758212,6799
X,1554244547,757891,6788
X,1554244548,757538,1955
X,1554244548,757907,3211
X,1554244549,756971,3601
X,1554244549,756509,2975
X,1554244550,754113,6781
X,1554244551,756928,6125
P,1554244551,5098
X,1554244551,758496,1604
X,1554244552,759616,4553
X,1554244552,760289,2152
X,1554244553,761210,2799
X,1554244553,760951,4088
X,1554244553,758661,5885
X,1554244554,758495,3957
X,1554244554,759309,3175
X,1554244555,758584,1525
X,1554244555,758466,11689
X,1554244556,757934,2936
X,1554244556,757790,3279
X,1554244557,758067,3622
X,1554244557,757650,3043
X,1554244558,756997,1226
X,1554244559,758028,6270
X,1554244559,757579,2279
X,1554244560,759361,2388
X,1554244560,759611,3579
X,1554244561,759927,2015
X,1554244561,759784,2288
X,1554244562,758733,3612
X,1554244563,758685,2204
X,1554244563,758795,2011
X,1554244564,759448,2737
X,1554244564,757717,3539
X,1554244565,757983,4723
X,1554244565,758899,1768
X,1554244566,759138,2416
X,1554244567,758173,7892
X,1554244567,758259,3637
X,1554244568,757678,7950
X,1554244568,756145,6769
X,1554244569,756716,7363
X,1554244569,756525,2927
X,1554244570,757361,8553
X,1554244571,756703,5996
X,1554244571,757528,1713
X,1554244572,756425,2219
X,1554244572,755529,8047
X,1554244573,757929,5190
X,1554244573,758432,3958
X,1554244574,759207,4953
X,1554244574,758806,5603
X,1554244575,759588,7201
X,1554244576,760107,1299
X,1554244576,760277,3043
X,1554244577,759813,6560
X,1554244577,759234,4988
X,1554244578,755220,5152
X,1554244578,755194,5875
X,1554244579,756922,4812
X,1554244580,757933,4765
P,1554244580,5095
X,1554244580,757012,9645
X,1554244581,755197,5472
X,1554244581,756112,7653
X,1554244582,756875,3414
X,1554244582,757504,4811
X,1554244583,757771,5817
X,1554244584,757121,4884
X,1554244584,756966,4712
X,1554244585,757760,5935
X,1554244585,757663,880
X,1554244586,757984,5750
X,1554244586,758156,3532
X,1554244587,757151,1391
X,1554244588,757065,4160
X,1554244588,757508,2632
X,1554244589,758390,1827
X,1554244589,758217,2646
X,1554244590,758300,8347
X,1554244590,757811,4315
X,1554244591,758641,2818
X,1554244592,758493,2851
X,1554244592,758584,1734
X,1554244593,758455,1497
X,1554244593,758248,2119
X,1554244594,758462,3944
X,1554244594,758471,1663
X,1554244594,758805,1174
X,1554244594,758689,1437
X,1554244595,758345,1567
X,1554244596,758574,1401
X,1554244596,758383,1668
X,1554244597,758684,1804
X,1554244597,758538,1483
X,1554244598,758470,2123
X,1554244598,758305,1522
X,1554244599,758028,2620
X,1554244600,758391,1637
X,1554244600,758010,1980
X,1554244601,758442,1561
X,1554244601,758475,1277
X,1554244602,758235,1657
X,1554244602,758318,1834
X,1554244603,757780,16760
X,1554244604,757665,4934
X,1554244604,757562,2306
X,1554244605,757335,3132
X,1554244605,758101,1259
X,1554244606,757999,2716
X,1554244606,757946,2712
X,1554244607,757994,2510
X,1554244608,757793,1295
X,1554244608,757612,1457
X,1554244609,757006,1423
P,1554244609,5096
X,1554244609,757733,2905
X,1554244610,757422,3501
X,1554244610,757497,2712
X,1554244611,757989,1724
X,1554244611,757666,1618
X,1554244612,758378,2677
X,1554244613,758153,2192
