H,1552798490,337272
T,1552798490,2810
R,1552798490,700D98F55
X,1552798492,753809,1145
X,1552798493,753934,7961
X,1552798493,754671,1956
X,1552798494,753908,5862
X,1552798494,754278,1144
X,1552798495,754135,1568
X,1552798496,754041,1230
X,1552798496,754001,1017
X,1552798497,754097,1592
X,1552798497,754218,795
X,1552798498,754037,1382
X,1552798498,753814,617
X,1552798499,753641,5711
X,1552798499,754145,6593
X,1552798500,753874,1174
X,1552798501,753841,1865
X,1552798501,754307,1090
X,1552798502,754126,881
X,1552798502,754080,1807
X,1552798502,754070,12816
P,1552798502,5144
X,1552798502,754091,1772
X,1552798503,754023,764
X,1552798504,754052,790
X,1552798504,753553,10133
X,1552798505,754113,2779
X,1552798505,753803,1187
X,1552798506,753618,914
X,1552798506,753846,2004
X,1552798507,753658,1889
X,1552798508,753635,1312
X,1552798508,753753,1545
X,1552798509,753833,911
X,1552798509,753760,1007
X,1552798510,754930,9577
X,1552798510,754075,2315
X,1552798511,754167,967
X,1552798512,754402,1662
X,1552798512,754616,2440
X,1552798513,754410,3476
X,1552798513,754438,1619
X,1552798514,754495,987
X,1552798514,754425,4568
X,1552798515,754306,1072
X,1552798516,754326,956
X,1552798516,754258,815
X,1552798517,754184,1443
X,1552798517,754122,666
X,1552798518,753959,999
X,1552798518,753449,9063
X,1552798519,753800,1439
X,1552798519,753925,6915
X,1552798520,754167,1140
X,1552798521,753449,2094
X,1552798521,752838,7930
X,1552798522,754018,1860
X,1552798522,752664,8061
X,1552798523,753714,3941
X,1552798523,753993,6766
X,1552798524,753318,28193
X,1552798525,753847,1424
X,1552798525,753372,1327
X,1552798526,753477,1125
X,1552798526,753237,1615
X,1552798527,753092,2960
X,1552798527,752529,1822
X,1552798528,752707,1693
X,1552798529,752458,6207
X,1552798529,753183,805
X,1552798530,753977,1200
X,1552798530,754380,1513
X,1552798531,753939,1904
X,1552798531,753265,869
X,1552798532,754368,1542
P,1552798533,5146
X,1552798533,753571,1442
X,1552798533,753822,1038
X,1552798534,754028,18666
X,1552798534,754681,997
X,1552798535,754089,8919
X,1552798535,754405,1440
X,1552798536,754256,1323
X,1552798536,754363,1759
X,1552798537,754231,1104
X,1552798538,754291,1185
X,1552798538,754732,2698
X,1552798539,755259,8910
X,1552798539,754441,862
X,1552798540,754387,919
X,1552798540,754389,585
X,1552798541,753961,6200
X,1552798542,754180,1459
X,1552798542,753974,5613
X,1552798543,754866,5164
X,1552798543,754053,915
A,1552798543,754070,1498
T,1552798543,2810
R,1552798543,700D98F55
X,1552798544,754490,6783
X,1552798545,753845,872
X,1552798545,753620,1920
X,1552798546,753581,1509
X,1552798547,753421,690
X,1552798547,753439,6085
X,1552798548,752923,1370
X,1552798548,753175,4563
X,1552798549,753819,1243
X,1552798549,754190,2218
X,1552798550,753773,1244
X,1552798551,754090,1082
X,1552798551,753616,1691
X,1552798552,753850,1554
X,1552798552,754297,1703
X,1552798553,753747,15696
X,1552798553,754248,1142
X,1552798554,754239,1037
X,1552798554,753909,18479
X,1552798555,754263,2237
X,1552798556,753931,1157
X,1552798556,754206,8423
X,1552798557,753050,4833
X,1552798557,753398,2572
X,1552798558,753388,1146
X,1552798558,753607,1076
X,1552798559,753645,1116
X,1552798560,753394,1618
X,1552798560,752739,1428
X,1552798561,753126,910
X,1552798561,753325,1058
P,1552798562,5147
X,1552798562,752981,944
X,1552798562,752621,1283
X,1552798563,752825,5536
X,1552798564,752636,1267
X,1552798564,752363,1709
X,1552798565,751813,1707
X,1552798565,752212,1080
X,1552798566,752284,1533
X,1552798566,751893,9489
X,1552798567,752294,506
X,1552798568,752143,1254
X,1552798568,752336,1167
X,1552798569,752195,1398
X,1552798569,752442,968
X,1552798570,753048,1192
X,1552798570,753530,1006
X,1552798571,753410,559
X,1552798571,753478,990
X,1552798572,753675,1282
X,1552798573,753952,2253
X,1552798573,753920,2730
X,1552798574,753604,1511
X,1552798574,753264,1856
X,1552798575,753576,1043
X,1552798575,754040,541
X,1552798576,753864,860
X,1552798577,753703,694
X,1552798577,753599,1076
X,1552798578,753565,1167
X,1552798578,752906,1925
X,1552798579,751765,1975
X,1552798579,752657,1261
X,1552798580,752587,1310
X,1552798581,752840,1355
X,1552798581,752761,657
X,1552798582,753297,3025
X,1552798582,753937,11522
X,1552798583,747983,46325
X,1552798583,754524,23391
