H,1554234552,337272
D,1554234552,415744
D,1554234554,398080
P,1554234556,5123
P,1554234586,5123
P,1554234615,5123
P,1554234644,5124
P,1554234673,5123
P,1554234703,5123
P,1554234732,5124
P,1554234761,5124
P,1554234791,5122
P,1554234821,5124
P,1554234850,5124
P,1554234879,5124
P,1554234909,5122
P,1554234938,5123
P,1554234967,5124
D,1554234987,493824
R,1554234987,700D98F55
R,1554234987,700D98F55
R,1554234987,700D98F55
X,1554234989,762866,7563
X,1554234990,763158,5240
X,1554234990,762171,5394
X,1554234991,760868,15300
X,1554234991,762296,2309
X,1554234992,763389,2987
X,1554234992,763695,2687
X,1554234993,763556,1458
X,1554234994,763565,3398
X,1554234994,763622,3049
X,1554234995,763528,1149
X,1554234995,763943,2654
X,1554234996,763746,2358
X,1554234996,763623,1391
X,1554234996,763925,3454
P,1554234996,5116
X,1554234996,763843,2174
X,1554234997,764067,3220
X,1554234998,763910,1551
X,1554234998,763823,2555
X,1554234999,764056,1746
X,1554234999,763936,2113
X,1554235000,763959,2553
X,1554235000,764000,2862
X,1554235001,763653,1905
X,1554235002,764010,952
X,1554235002,763976,1578
X,1554235003,764011,1378
X,1554235003,763962,1683
X,1554235004,764298,4006
X,1554235004,763215,15022
X,1554235005,763189,3407
X,1554235006,763495,14700
X,1554235006,764149,6981
X,1554235007,763731,4929
X,1554235007,763941,2333
X,1554235008,763814,2816
X,1554235008,763955,1794
X,1554235009,764289,1634
X,1554235010,764282,11220
X,1554235010,763168,2798
X,1554235011,763518,4428
X,1554235011,763582,4670
X,1554235012,763555,4134
X,1554235012,763248,4600
X,1554235013,763084,3502
X,1554235014,763476,2996
X,1554235014,763898,2141
X,1554235015,764197,1441
X,1554235015,763975,1916
X,1554235016,764115,4092
X,1554235016,763517,3424
X,1554235017,763264,6800
X,1554235017,761673,7663
X,1554235018,760033,23058
X,1554235019,762554,4665
X,1554235019,763154,3125
X,1554235020,763160,2779
X,1554235020,763033,10713
X,1554235021,763371,2118
X,1554235021,763010,2998
X,1554235022,763039,3751
X,1554235023,763352,2105
X,1554235023,763429,1366
X,1554235024,763788,1693
X,1554235024,763648,1615
X,1554235025,763134,3913
X,1554235025,763300,2426
X,1554235026,763525,2613
P,1554235026,5118
X,1554235027,763295,2002
X,1554235027,763365,2848
X,1554235028,763385,3738
X,1554235028,763383,1338
X,1554235029,763333,2574
X,1554235029,763510,1386
X,1554235030,763566,1745
X,1554235031,763434,1791
X,1554235031,763571,1298
X,1554235032,763775,1488
X,1554235032,763710,1418
X,1554235033,763724,1647
X,1554235033,763507,19827
X,1554235034,763648,1014
X,1554235034,763540,2710
X,1554235035,763475,2621
X,1554235036,763521,3931
X,1554235036,763628,2888
X,1554235037,763592,2114
X,1554235037,763362,6428
X,1554235037,763562,3310
X,1554235037,763591,1983
X,1554235038,763497,12488
X,1554235039,763594,3484
X,1554235039,763225,5504
X,1554235040,763242,1584
X,1554235040,763379,1183
X,1554235041,763282,5558
X,1554235041,763663,3801
X,1554235042,763634,4511
X,1554235043,763912,2628
X,1554235043,763628,3653
X,1554235044,763573,8511
X,1554235044,763157,7041
X,1554235045,763638,5448
X,1554235045,763214,3048
X,1554235046,763304,3520
X,1554235047,763292,2215
X,1554235047,762982,2510
X,1554235048,763036,1399
X,1554235048,762848,2907
X,1554235049,763343,1566
X,1554235049,763399,2116
X,1554235050,763259,3411
X,1554235051,763005,3722
X,1554235051,763422,3493
X,1554235052,763139,3082
X,1554235052,763179,4706
X,1554235053,762594,1559
X,1554235053,762389,3551
X,1554235054,761464,2599
X,1554235054,761679,2107
X,1554235055,762233,3687
P,1554235055,5113
X,1554235056,762923,2896
X,1554235056,762872,2480
X,1554235057,762509,4033
X,1554235057,762569,2026
X,1554235058,762308,1884
X,1554235058,762630,4191
X,1554235059,763232,2826
X,1554235060,762757,46785
X,1554235060,763113,6480
X,1554235061,763818,1544
X,1554235061,763830,3739
X,1554235062,763602,2276
X,1554235062,763882,2207
X,1554235063,764144,2301
X,1554235064,763913,2221
X,1554235064,763749,10611
X,1554235065,764712,4610
X,1554235065,764425,2906
X,1554235066,764718,1564
X,1554235066,764308,1509
X,1554235067,764557,1320
X,1554235068,764086,4205
X,1554235068,764008,2214
X,1554235069,763816,1629
X,1554235069,764065,1495
X,1554235070,763898,1410
X,1554235070,763582,3411
X,1554235071,763876,2259
X,1554235071,763569,1713
X,1554235072,763697,1111
X,1554235073,764088,1335
X,1554235073,763621,1442
