H,1554602704,337272
D,1554602704,437248
D,1554602707,436736
D,1554602709,436480
D,1554602711,435968
D,1554602713,434432
D,1554602715,436224
D,1554602718,436736
D,1554602720,437504
D,1554602722,444928
D,1554602724,438528
D,1554602726,438528
D,1554602729,440064
D,1554602730,427776
P,1554602731,5085
D,1554602732,436992
D,1554602734,486400
D,1554602736,428800
P,1554602761,5085
D,1554602771,436224
D,1554602773,437760
D,1554602775,436480
D,1554602777,363776
P,1554602790,5086
D,1554602807,438016
D,1554602809,434944
D,1554602811,634112
D,1554602812,678144
R,1554602812,700D98F55
R,1554602812,700D98F55
R,1554602812,700D98F55
X,1554602814,1075690,50293
X,1554602815,1087700,65491
X,1554602815,1105819,43047
X,1554602816,1113488,1978
X,1554602816,1109847,6847
X,1554602817,1099409,44568
X,1554602817,1099203,29248
X,1554602818,1102946,35190
X,1554602819,1121747,18642
X,1554602819,781268,4478
P,1554602820,5077
X,1554602820,788381,15126
X,1554602820,788215,12083
X,1554602821,788206,62810
X,1554602821,787652,26001
X,1554602822,782203,37582
X,1554602822,778364,21273
X,1554602823,698858,56789
X,1554602824,342694,44172
X,1554602824,346431,19072
X,1554602825,337700,59672
X,1554602825,339668,64271
X,1554602826,344287,58926
X,1554602826,342590,26619
X,1554602827,339720,54869
X,1554602828,339926,32563
X,1554602828,340494,22608
X,1554602829,340507,13214
X,1554602829,340078,8714
O,1554602830,340101,6136
O,1554602830,339986,4724
O,1554602831,339733,4057
O,1554602832,340108,2556
O,1554602832,339910,1734
O,1554602833,339672,1414
O,1554602833,339788,1198
O,1554602834,339639,962
O,1554602834,339747,725
O,1554602835,340070,637
O,1554602836,340136,704
O,1554602836,339995,344
O,1554602837,340057,740
O,1554602837,339857,432
O,1554602838,339907,479
O,1554602838,339848,168
O,1554602839,339787,265
O,1554602840,339720,534
O,1554602840,340004,225
O,1554602841,339489,652
O,1554602841,339535,645
O,1554602842,339299,630
O,1554602842,339252,1192
O,1554602843,339336,372
O,1554602843,338903,1267
O,1554602844,339019,509
O,1554602845,339281,491
O,1554602845,339662,315
O,1554602846,339674,255
O,1554602846,339584,198
O,1554602847,339564,192
O,1554602847,339603,133
O,1554602848,339592,166
O,1554602849,339588,104
O,1554602849,339640,97
P,1554602850,5078
O,1554602850,339463,380
O,1554602850,339374,206
O,1554602851,339314,233
O,1554602851,339400,133
O,1554602852,339505,284
O,1554602853,339463,236
O,1554602853,339298,309
O,1554602853,339260,276
O,1554602853,339437,270
O,1554602854,339513,181
O,1554602854,339615,186
O,1554602855,339595,181
O,1554602856,339457,308
O,1554602856,339495,287
O,1554602857,339612,156
O,1554602857,339581,216
O,1554602858,339620,172
O,1554602858,339733,94
O,1554602859,339610,251
O,1554602859,339631,346
O,1554602860,339674,182
O,1554602861,339775,138
O,1554602861,339703,101
O,1554602862,339786,120
O,1554602862,339717,86
O,1554602863,339754,133
O,1554602863,339734,79
O,1554602864,339688,169
O,1554602865,339732,108
O,1554602865,339731,80
O,1554602866,339631,156
O,1554602866,339643,160
O,1554602867,339609,96
O,1554602867,339626,129
O,1554602868,339617,97
O,1554602869,339651,118
O,1554602869,339655,193
O,1554602870,339699,86
O,1554602870,339734,116
O,1554602871,339716,76
O,1554602871,339753,134
O,1554602872,339786,82
O,1554602873,339781,118
O,1554602873,339849,184
O,1554602874,339923,129
O,1554602874,339923,110
O,1554602875,339906,174
O,1554602875,339799,107
O,1554602876,339709,133
O,1554602877,339704,116
O,1554602877,339633,212
O,1554602878,339664,202
O,1554602878,339625,82
O,1554602879,339699,155
P,1554602879,5080
O,1554602879,339704,64
T,1554602879,2813
P,1554602908,5086
P,1554602937,5084
P,1554602967,5085
P,1554602996,5085
P,1554603025,5086
P,1554603055,5086
P,1554603084,5085
P,1554603114,5087
P,1554603143,5085
P,1554603173,5084
P,1554603202,5086
P,1554603231,5086
P,1554603261,5085
D,1554603280,423168
D,1554603282,447744
D,1554603284,436480
D,1554603286,428032
D,1554603288,435200
P,1554603290,5085
D,1554603291,435456
D,1554603293,436480
D,1554603295,434688
D,1554603297,434432
D,1554603299,436224
D,1554603302,424192
D,1554603304,440064
D,1554603306,431104
D,1554603308,416512
D,1554603310,433664
D,1554603313,445440
D,1554603315,422912
D,1554603317,437760
D,1554603319,435968
P,1554603320,5085
D,1554603321,425728
D,1554603324,435968
D,1554603326,431360
D,1554603328,437760
D,1554603330,436992
D,1554603332,435456
D,1554603335,433920
D,1554603337,436224
D,1554603339,434432
