H,1554332092,337272
U,1554332092,36693
X,1554332094,788703,1274
X,1554332094,788673,471
X,1554332095,788653,344
X,1554332095,788651,2448
X,1554332096,788741,923
X,1554332096,788635,852
X,1554332097,789178,33327
P,1554332097,5037
X,1554332097,788469,7543
X,1554332098,788829,1068
X,1554332099,788919,2454
X,1554332099,788668,786
X,1554332100,788423,2787
X,1554332100,788745,1216
X,1554332101,788613,714
X,1554332101,788706,1520
X,1554332102,788521,1737
X,1554332103,788295,4913
X,1554332103,789237,3012
X,1554332104,788936,1097
X,1554332104,788769,2181
X,1554332105,788823,805
X,1554332105,788704,1728
X,1554332106,788804,1169
X,1554332107,788811,3130
X,1554332107,788611,1209
X,1554332108,788512,1425
X,1554332108,788518,502
X,1554332108,788377,2519
X,1554332108,788470,952
X,1554332109,788392,693
X,1554332110,788421,504
X,1554332110,788260,1080
X,1554332111,788500,1063
X,1554332111,788408,1459
X,1554332112,788441,621
X,1554332112,788602,520
X,1554332113,788847,2872
X,1554332114,788653,1293
X,1554332114,788591,996
X,1554332115,788546,715
X,1554332115,788569,1557
X,1554332116,788689,1450
X,1554332116,788526,1914
X,1554332117,788628,597
X,1554332117,788458,709
X,1554332118,788487,3407
X,1554332119,788788,3610
X,1554332119,787818,9058
X,1554332120,788198,1347
X,1554332120,788278,6238
X,1554332121,788537,3277
X,1554332121,788802,2278
X,1554332122,788284,2572
X,1554332123,788631,2387
X,1554332123,788647,2140
X,1554332124,788784,720
X,1554332124,788651,1053
X,1554332125,789016,1342
X,1554332125,788933,1802
X,1554332126,788826,1561
P,1554332126,5065
X,1554332127,788876,472
X,1554332127,788596,2705
X,1554332128,789269,6631
X,1554332128,788760,1514
X,1554332129,789323,3648
X,1554332129,787730,11837
X,1554332130,788379,5149
X,1554332131,788716,976
A,1554332131,788612,484
T,1554332131,2756
U,1554332131,36693
X,1554332132,788592,1524
X,1554332133,788862,633
X,1554332134,788730,3675
X,1554332134,788825,1090
X,1554332135,788609,2072
X,1554332135,788939,567
X,1554332136,788880,3515
X,1554332136,789285,6084
X,1554332137,788874,1107
X,1554332138,789062,2936
X,1554332138,789277,3698
X,1554332139,788999,3037
X,1554332139,788946,1775
X,1554332140,789365,3846
X,1554332140,789102,2452
X,1554332141,789193,908
X,1554332142,789052,2721
X,1554332142,789106,1101
X,1554332143,789008,1150
X,1554332143,789022,703
X,1554332144,788858,4545
X,1554332144,789116,1415
X,1554332145,788839,2125
X,1554332146,788863,483
X,1554332146,788790,3928
X,1554332147,788944,2315
X,1554332147,788831,1434
X,1554332148,788870,448
X,1554332148,788887,3392
X,1554332149,789011,1281
X,1554332149,788747,2601
X,1554332149,788891,581
X,1554332150,788798,3941
X,1554332150,788882,698
X,1554332151,788844,2013
X,1554332151,788848,618
X,1554332152,788895,2652
X,1554332152,788909,617
X,1554332153,788720,1119
X,1554332154,788888,275
X,1554332154,788720,2590
X,1554332155,788879,816
P,1554332155,5065
X,1554332155,788754,1889
X,1554332156,788677,390
X,1554332156,788583,3405
X,1554332157,788729,1241
X,1554332158,788521,1630
X,1554332158,788764,753
X,1554332159,788599,2256
X,1554332159,788808,811
X,1554332160,788605,2294
X,1554332160,788638,637
X,1554332161,788748,1088
X,1554332162,788841,1923
X,1554332162,788613,1143
X,1554332163,788661,755
X,1554332163,788853,733
X,1554332164,788814,2141
X,1554332164,788848,877
X,1554332165,788551,1183
X,1554332166,788713,831
A,1554332166,788850,555
T,1554332166,2756
U,1554332166,36693
X,1554332167,788502,1551
X,1554332168,788648,2964
X,1554332169,788504,1764
X,1554332169,788669,977
X,1554332170,788509,2269
X,1554332170,788724,666
X,1554332171,788557,2472
X,1554332171,788740,1509
X,1554332172,788592,1425
X,1554332173,788601,1149
X,1554332173,788518,875
X,1554332174,788723,2522
X,1554332174,788465,2061
X,1554332175,788544,724
X,1554332175,788560,870
X,1554332176,788618,1856
X,1554332177,788576,1390
X,1554332177,788526,1024
X,1554332178,788613,613
X,1554332178,788645,1989
X,1554332179,788584,1174
X,1554332179,788560,934
X,1554332180,788490,668
X,1554332181,788505,1894
X,1554332181,788617,994
X,1554332182,788340,2010
X,1554332182,788487,556
X,1554332183,788360,695
X,1554332183,788714,1435
X,1554332184,788406,1842
X,1554332184,788381,1007
X,1554332185,788276,1873
P,1554332185,5063
