H,1553463805,337272
P,1553463805,5156
P,1553463835,5156
P,1553463865,5156
P,1553463894,5156
P,1553463923,5155
P,1553463953,5156
P,1553463982,5156
P,1553464011,5156
P,1553464040,5155
D,1553464045,499200
R,1553464045,700D98F55
R,1553464045,700D98F55
R,1553464045,700D98F55
X,1553464047,755981,15483
X,1553464047,752585,14243
X,1553464048,754158,5388
X,1553464048,753701,9278
X,1553464049,754533,3879
X,1553464049,754129,1720
X,1553464050,754748,7744
X,1553464051,755051,2648
X,1553464051,754423,2988
X,1553464052,754784,3733
X,1553464052,754803,2705
X,1553464053,754517,21572
X,1553464053,754788,2488
X,1553464054,754816,8437
X,1553464055,754967,8622
X,1553464055,755096,5986
X,1553464056,756483,8508
X,1553464056,755210,6490
X,1553464057,754437,28409
X,1553464057,756620,17681
X,1553464058,756525,9821
X,1553464059,754175,6163
X,1553464059,756594,14231
X,1553464060,755272,14594
X,1553464060,755395,18481
X,1553464061,755182,1837
X,1553464061,755631,1605
X,1553464062,755249,6195
X,1553464063,755640,1980
X,1553464063,755873,2062
X,1553464064,755454,1790
X,1553464064,755108,11445
X,1553464065,754224,14662
X,1553464065,754511,39156
X,1553464066,751843,34773
X,1553464067,755454,27387
X,1553464067,754698,16358
X,1553464068,755549,4793
X,1553464068,754415,7219
X,1553464069,755464,49705
X,1553464069,755391,28276
X,1553464070,754502,28173
P,1553464070,5148
X,1553464070,755586,2145
X,1553464071,755492,3078
X,1553464072,755400,3615
X,1553464072,754941,2027
X,1553464073,754778,2015
X,1553464073,754693,3578
X,1553464074,754756,1925
X,1553464074,754649,5240
X,1553464075,755235,2156
X,1553464076,754908,1931
X,1553464076,755225,1742
X,1553464077,755130,4102
X,1553464077,755055,2525
X,1553464077,755243,2628
X,1553464077,754989,5540
X,1553464078,754946,1928
X,1553464079,754864,1356
X,1553464079,754710,2409
X,1553464080,754481,14980
X,1553464080,754974,3436
X,1553464081,755111,3434
X,1553464081,755881,7372
X,1553464082,754693,11614
X,1553464083,754904,1771
X,1553464083,754974,3984
X,1553464084,754731,1584
X,1553464084,754868,1468
X,1553464085,754509,2004
X,1553464085,755088,1345
X,1553464086,755145,2198
X,1553464086,755240,3319
X,1553464087,755062,2113
X,1553464088,755118,1268
X,1553464088,755326,1082
X,1553464089,755287,2091
X,1553464089,756056,6885
X,1553464090,755698,1849
X,1553464090,755746,1096
X,1553464091,755792,3985
X,1553464092,755780,1614
X,1553464092,755981,1854
X,1553464093,755756,1473
X,1553464093,756179,3606
X,1553464094,755339,2260
X,1553464094,756071,1934
X,1553464095,755663,10542
X,1553464096,755439,3858
X,1553464096,755755,2239
X,1553464097,755593,1050
X,1553464097,756102,4395
X,1553464098,756037,1938
X,1553464098,755906,909
X,1553464099,755830,3222
P,1553464099,5147
X,1553464100,756057,9306
X,1553464100,755974,4260
X,1553464101,756249,1036
X,1553464101,755953,2933
X,1553464102,755966,2051
X,1553464102,755934,2063
X,1553464103,756155,1296
X,1553464104,756671,2016
X,1553464104,756318,2163
X,1553464105,756338,16548
X,1553464105,756046,2061
X,1553464106,756417,2246
X,1553464106,756032,3405
X,1553464107,756231,2589
X,1553464107,755630,2780
X,1553464108,755930,1629
X,1553464109,755985,1494
X,1553464109,755817,2888
X,1553464110,756371,2345
X,1553464110,756161,1594
X,1553464111,756241,3654
X,1553464111,756225,2861
X,1553464112,756086,1964
X,1553464113,756455,2782
X,1553464113,756278,1139
X,1553464114,756567,2971
X,1553464114,756418,3418
X,1553464115,756424,1222
X,1553464115,756305,4557
X,1553464116,756703,2557
X,1553464117,756593,1345
X,1553464117,756304,1494
X,1553464118,755958,3742
X,1553464118,756075,1346
X,1553464118,756517,1531
X,1553464118,756277,3377
X,1553464119,757194,5242
X,1553464120,756604,1763
X,1553464120,756682,9492
X,1553464121,756719,4122
X,1553464121,756701,2174
X,1553464122,756492,1504
X,1553464122,756210,3810
X,1553464123,756564,3716
X,1553464123,756557,2274
X,1553464124,756571,2297
X,1553464125,756560,5093
X,1553464125,756540,2091
X,1553464126,756694,1254
X,1553464126,756743,1387
X,1553464127,756836,17693
X,1553464127,756174,2973
X,1553464128,756697,2715
P,1553464129,5145
X,1553464129,756745,5008
X,1553464129,757002,2749
X,1553464130,756616,2778
X,1553464130,756258,2185
X,1553464131,756308,5728
X,1553464131,756617,3045
X,1553464132,756506,1687
X,1553464133,756447,755
X,1553464133,757114,3437
X,1553464134,756663,1515
X,1553464134,756002,42775
