H,1553994690,337272
D,1553994690,432128
D,1553994692,431360
D,1553994694,537344
P,1553994697,5084
D,1553994714,474880
R,1553994714,700D98F55
R,1553994715,700D98F55
R,1553994715,700D98F55
X,1553994716,745988,5109
X,1553994717,747353,38455
X,1553994717,745263,24361
X,1553994718,745587,5725
X,1553994718,745737,8565
X,1553994719,745267,11793
X,1553994720,746453,6604
X,1553994720,744714,16186
X,1553994721,745737,12899
X,1553994721,746063,5137
X,1553994722,745512,2855
X,1553994722,746645,14261
X,1553994723,745978,3003
X,1553994724,746114,2397
X,1553994724,746210,2651
X,1553994725,745989,3574
X,1553994725,746047,451
X,1553994726,745944,952
X,1553994726,745752,3888
X,1553994726,745720,8332
P,1553994726,5109
X,1553994727,746341,4470
X,1553994727,746599,2294
X,1553994728,746210,1249
X,1553994728,745997,2792
X,1553994729,745996,2599
X,1553994729,746237,1059
X,1553994730,746247,623
X,1553994731,746249,1044
X,1553994731,746113,608
X,1553994732,746056,3329
X,1553994732,746208,819
X,1553994733,746150,1315
X,1553994733,746228,893
X,1553994734,746026,793
X,1553994735,746019,833
X,1553994735,746736,4154
X,1553994736,745413,6171
X,1553994736,746790,3243
X,1553994737,746546,1644
X,1553994737,746456,888
X,1553994738,746327,1517
X,1553994738,745826,17532
X,1553994739,746416,3756
X,1553994740,746429,2996
X,1553994740,746528,2073
X,1553994741,746447,636
X,1553994741,746359,3315
X,1553994742,746404,983
X,1553994742,746353,1226
X,1553994743,746531,1070
X,1553994744,746351,1182
X,1553994744,746359,554
X,1553994745,746467,3121
X,1553994745,746448,1005
X,1553994746,746735,2835
X,1553994746,746552,5698
X,1553994747,746744,17065
X,1553994748,746309,3724
X,1553994748,746584,3549
X,1553994749,746877,1958
X,1553994749,746686,2242
X,1553994750,746635,1725
X,1553994750,746823,1263
X,1553994751,746782,5607
X,1553994752,746274,6671
X,1553994752,746889,2260
X,1553994753,746680,1507
X,1553994753,746742,3950
X,1553994754,746643,2385
X,1553994754,746281,2850
X,1553994755,746559,2750
X,1553994755,746527,4219
X,1553994756,746691,2535
P,1553994757,5107
X,1553994757,746909,1899
X,1553994757,746616,1881
X,1553994758,746543,1561
X,1553994758,747037,2347
X,1553994759,746727,807
X,1553994759,746775,2247
X,1553994760,747106,2322
X,1553994761,747026,1309
X,1553994761,746936,3794
X,1553994762,746917,2981
X,1553994762,746553,2077
X,1553994763,746747,2076
X,1553994763,746187,18061
X,1553994764,746325,4128
X,1553994765,746649,2379
X,1553994765,746906,1591
X,1553994766,746664,715
X,1553994766,746719,1582
X,1553994767,746702,896
X,1553994767,746732,1977
X,1553994767,746891,1208
X,1553994768,747400,4400
X,1553994768,746782,5300
X,1553994769,747015,1933
X,1553994769,746896,5310
X,1553994770,746595,17026
X,1553994770,746695,1648
X,1553994771,746699,1237
X,1553994772,746621,1643
X,1553994772,746741,1481
X,1553994773,746573,4106
X,1553994773,746646,613
X,1553994774,746610,1525
X,1553994774,746707,6101
X,1553994775,747041,2138
X,1553994775,746564,4739
X,1553994776,746672,2478
X,1553994777,746589,3138
X,1553994777,746832,2193
X,1553994778,746667,1445
X,1553994778,746455,5511
X,1553994779,746675,1987
X,1553994779,746784,1488
X,1553994780,746616,817
X,1553994781,746567,1570
X,1553994781,746533,3384
X,1553994782,746641,1934
X,1553994782,746546,2239
X,1553994783,746623,1890
X,1553994783,746725,1266
X,1553994784,746604,4069
X,1553994785,746613,2776
X,1553994785,746694,1368
P,1553994786,5106
X,1553994786,746519,869
X,1553994786,746570,692
X,1553994787,746441,3617
X,1553994787,746990,2101
X,1553994788,746651,3737
X,1553994789,745750,1990
X,1553994789,746604,1540
X,1553994790,746389,1530
X,1553994790,746989,4579
X,1553994791,746988,1130
X,1553994791,746558,1346
X,1553994792,746633,2027
X,1553994792,746583,3607
X,1553994793,746493,3245
X,1553994794,746731,2077
X,1553994794,746635,824
A,1553994794,746378,783
T,1553994795,2782
U,1553994795,36693
X,1553994796,746522,2771
X,1553994797,746888,2939
X,1553994797,746704,17869
X,1553994798,747614,5667
X,1553994799,747603,1686
X,1553994799,745841,26748
X,1553994800,746001,4289
X,1553994800,746177,674
X,1553994801,746289,2458
X,1553994801,746221,705
X,1553994802,746271,867
X,1553994803,746099,764
X,1553994803,746283,759
X,1553994804,746266,4163
X,1553994804,746217,1310
X,1553994805,746158,1145
X,1553994805,746284,635
