H,1552760516,337272
D,1552760516,432896
D,1552760518,433664
D,1552760521,432896
D,1552760522,432896
D,1552760524,432640
P,1552760525,5146
D,1552760526,433408
D,1552760528,433152
D,1552760531,433152
D,1552760533,433920
D,1552760535,432384
D,1552760537,432384
D,1552760539,432384
D,1552760542,433152
D,1552760544,433408
D,1552760546,433664
D,1552760548,434432
D,1552760550,432640
D,1552760553,432896
D,1552760555,432896
P,1552760555,5171
D,1552760557,433152
D,1552760559,433408
D,1552760561,433664
D,1552760563,434176
D,1552760565,433408
D,1552760567,434432
D,1552760569,433664
D,1552760571,433664
D,1552760574,433664
D,1552760576,434176
D,1552760578,433920
D,1552760580,431616
D,1552760582,426496
P,1552760584,5172
D,1552760585,435200
D,1552760587,434176
D,1552760589,433920
D,1552760591,432896
D,1552760593,433408
D,1552760596,432896
D,1552760598,433664
D,1552760600,433152
D,1552760602,433152
D,1552760604,433664
D,1552760606,433408
D,1552760608,433152
D,1552760610,410880
P,1552760614,5171
P,1552760644,5171
P,1552760673,5172
P,1552760702,5172
P,1552760731,5172
P,1552760761,5172
P,1552760790,5173
P,1552760819,5172
D,1552760834,387328
R,1552760834,700D98F55
R,1552760834,700D98F55
R,1552760834,700D98F55
X,1552760836,736550,14868
X,1552760836,726529,60393
X,1552760837,1060801,20918
X,1552760837,1055437,35549
X,1552760838,1057756,20972
X,1552760838,1058898,8856
X,1552760839,1058478,9621
X,1552760839,1057474,6056
X,1552760840,1057856,5315
X,1552760841,1058253,2684
X,1552760841,1058297,13699
X,1552760842,1057527,13381
X,1552760842,1058795,6707
X,1552760843,1058252,13193
X,1552760843,1058779,10019
X,1552760844,1059202,7290
X,1552760845,1059361,34169
X,1552760845,1060524,18207
X,1552760846,1059576,4533
X,1552760846,1060161,6598
X,1552760847,1060019,3722
X,1552760847,1060473,4925
X,1552760848,1060596,6670
X,1552760849,1060615,137
X,1552760849,1058760,31568
P,1552760849,5164
X,1552760850,1058910,5524
X,1552760850,1060125,23891
X,1552760850,1059272,7641
X,1552760850,1059819,6046
X,1552760851,1059954,6736
X,1552760852,1058503,18114
X,1552760852,1058932,14966
X,1552760853,1059639,12253
X,1552760853,1059525,22554
X,1552760854,1059893,12299
X,1552760854,1059044,8734
X,1552760855,1059828,4664
X,1552760855,1059915,5110
X,1552760856,1060148,3348
X,1552760857,1060180,2209
X,1552760857,1060460,4661
X,1552760858,1059646,7129
X,1552760858,1059664,9906
X,1552760859,1059375,7607
X,1552760859,1059345,6141
X,1552760860,1059476,7288
X,1552760861,1059859,9041
X,1552760861,1060138,5554
X,1552760862,1057579,22881
X,1552760862,1060318,10428
X,1552760863,1058996,8134
X,1552760863,1059282,3436
X,1552760864,1060279,1936
X,1552760865,1059618,11012
X,1552760865,1060456,1754
X,1552760866,1059396,7414
X,1552760866,1061773,5614
X,1552760867,1061837,8524
X,1552760867,1058910,25502
X,1552760868,1060008,3394
X,1552760869,1060315,2864
X,1552760869,1060732,1992
X,1552760870,1060946,1947
X,1552760870,1060764,3668
X,1552760871,1060904,1812
X,1552760871,1060245,1606
X,1552760872,1060342,3744
X,1552760873,1061009,1630
X,1552760873,1061304,4305
X,1552760874,1060931,2194
X,1552760874,1061197,1247
X,1552760875,1061082,9115
X,1552760875,1061438,4929
X,1552760876,1061487,1836
X,1552760876,1061499,3276
X,1552760877,1060993,7776
X,1552760878,1060898,3624
X,1552760878,1061299,1504
P,1552760878,5162
X,1552760879,1061001,2790
X,1552760879,1061327,2435
X,1552760880,1061133,4457
X,1552760880,1060488,8162
X,1552760881,1060380,6270
X,1552760882,1059795,26810
X,1552760882,1059121,20255
X,1552760883,1060917,3457
X,1552760883,1061522,6811
X,1552760884,1060207,11794
X,1552760884,1061182,5654
X,1552760885,1060465,4489
X,1552760886,1061154,4376
X,1552760886,1060951,3935
X,1552760887,1061033,3415
X,1552760887,1061090,1449
X,1552760888,1061054,2311
X,1552760888,1061081,10336
X,1552760889,1062278,27565
X,1552760890,1060404,23778
X,1552760890,1060791,29518
X,1552760891,1062966,19043
X,1552760891,1063611,38724
X,1552760891,1061383,23175
X,1552760891,1061470,26062
X,1552760892,1062358,31646
X,1552760892,1059501,23021
X,1552760893,1060245,18616
X,1552760894,1061351,22600
X,1552760894,1062322,27245
X,1552760895,1061720,10248
X,1552760895,1059486,57929
X,1552760896,1061039,63204
X,1552760896,1061500,55842
X,1552760897,1062935,51080
X,1552760898,1059723,5038
X,1552760898,1059726,13870
X,1552760899,1059337,4753
X,1552760899,1059487,1713
X,1552760900,1059730,902
X,1552760900,1059551,1761
X,1552760901,1060084,2145
X,1552760902,1060114,40771
X,1552760902,1061415,5226
X,1552760903,1061154,5990
X,1552760903,1060967,15676
X,1552760904,1061219,4117
X,1552760904,1061202,13059
X,1552760905,1061881,6950
