H,1554319056,337272
T,1554319056,2785
R,1554319056,700D98F55
X,1554319058,779424,2466
X,1554319058,779378,1525
X,1554319059,779439,678
X,1554319059,779361,700
X,1554319060,779405,2450
X,1554319060,779443,1624
X,1554319061,779383,1710
X,1554319062,779370,1128
X,1554319062,779319,1244
X,1554319063,779221,810
X,1554319063,779365,2297
X,1554319064,779407,1079
X,1554319064,779490,3170
X,1554319065,779367,1186
X,1554319065,779462,4744
X,1554319065,778986,5771
X,1554319066,779324,2164
X,1554319066,779241,1064
X,1554319067,779080,1364
X,1554319067,779163,1430
X,1554319068,779137,6089
X,1554319069,779248,1195
X,1554319069,779254,9352
X,1554319070,779256,3202
X,1554319070,779140,707
X,1554319071,779187,3099
X,1554319071,779294,1529
X,1554319072,779339,2383
X,1554319072,779201,1987
X,1554319073,779266,960
X,1554319074,779345,937
X,1554319074,779153,1806
P,1554319075,5081
X,1554319075,779441,1135
X,1554319075,779256,1184
X,1554319076,779056,1201
X,1554319076,779134,887
X,1554319077,779082,616
X,1554319078,779141,2145
X,1554319078,779314,866
X,1554319079,779226,2681
X,1554319079,779277,1093
X,1554319080,779379,743
X,1554319080,779332,865
X,1554319081,779410,2363
X,1554319082,779444,992
X,1554319082,779289,2668
X,1554319083,779136,1061
X,1554319083,779143,982
X,1554319084,779185,1208
X,1554319084,779140,3935
X,1554319085,779190,1036
X,1554319086,779307,1654
X,1554319086,779294,1280
X,1554319087,779296,975
X,1554319087,779125,2373
X,1554319088,779433,2844
X,1554319088,779426,1785
X,1554319089,779446,1544
X,1554319089,779402,1026
X,1554319090,779397,889
X,1554319091,779218,1805
X,1554319091,779377,787
X,1554319092,779364,1741
X,1554319092,779358,986
X,1554319093,779356,873
X,1554319093,779320,1002
X,1554319094,779083,2426
X,1554319095,779269,1373
X,1554319095,779285,2437
X,1554319096,779294,1418
X,1554319096,779335,656
X,1554319097,779348,1231
X,1554319097,779427,3070
X,1554319098,779425,1297
X,1554319099,779460,1741
X,1554319099,779463,1031
X,1554319100,779372,761
A,1554319100,779304,362
T,1554319100,2785
R,1554319100,700D98F55
X,1554319102,779540,1306
X,1554319102,779476,832
X,1554319103,779468,653
X,1554319103,779322,1253
X,1554319104,779496,1459
X,1554319105,779638,1234
P,1554319105,5079
X,1554319105,779492,955
X,1554319106,779484,954
X,1554319106,779489,972
X,1554319106,779417,1098
X,1554319106,779511,677
X,1554319107,779523,696
X,1554319107,779510,1115
X,1554319108,779427,806
X,1554319109,779160,2265
X,1554319109,779576,1579
X,1554319110,779550,1901
X,1554319110,779339,803
X,1554319111,779340,739
X,1554319111,779334,1538
X,1554319112,779441,1540
X,1554319113,779392,1427
X,1554319113,779295,1363
X,1554319114,779375,1006
X,1554319114,779292,1052
X,1554319115,779198,1021
X,1554319115,779442,1829
X,1554319116,779324,1102
X,1554319117,779191,1861
X,1554319117,779208,710
X,1554319118,779267,612
X,1554319118,779205,1575
X,1554319119,779353,1291
X,1554319119,779505,2288
X,1554319120,779399,1375
X,1554319121,779367,706
X,1554319121,779335,880
X,1554319122,779133,1175
X,1554319122,779299,992
X,1554319123,779348,1092
X,1554319123,779203,1256
X,1554319124,779111,748
X,1554319124,779196,932
X,1554319125,779159,1350
X,1554319126,779285,1924
X,1554319126,779280,2354
X,1554319127,779234,1241
X,1554319127,779253,865
X,1554319128,779045,781
X,1554319128,779139,1839
X,1554319129,779078,953
A,1554319129,779335,478
T,1554319129,2784
R,1554319129,700D98F55
X,1554319131,779105,1085
X,1554319132,779018,1297
X,1554319132,779196,970
X,1554319133,779211,1464
X,1554319133,779160,1191
X,1554319134,779155,869
P,1554319134,5081
X,1554319134,779035,890
X,1554319135,779257,1106
X,1554319136,779104,1314
X,1554319136,779172,1389
X,1554319137,779187,852
X,1554319137,779205,1229
X,1554319138,779005,1788
X,1554319138,779203,1645
X,1554319139,779246,2289
X,1554319140,779053,1063
X,1554319140,779076,793
X,1554319141,779015,1926
X,1554319141,779138,1163
X,1554319142,779191,1378
X,1554319142,779088,979
X,1554319143,779153,1158
X,1554319143,779151,779
X,1554319144,779197,3645
X,1554319145,779243,1960
X,1554319145,779251,1426
X,1554319146,779167,951
X,1554319146,779146,846
X,1554319147,779019,1237
X,1554319147,779221,1920
X,1554319147,779377,1509
X,1554319148,779174,1549
