H,1551822970,268731
P,1551822970,5169
P,1551822999,5169
P,1551823028,5169
P,1551823057,5169
P,1551823087,5169
P,1551823117,5169
P,1551823146,5170
P,1551823175,5171
P,1551823205,5168
P,1551823234,5169
P,1551823263,5170
P,1551823293,5170
P,1551823322,5170
P,1551823351,5170
P,1551823380,5170
P,1551823411,5168
P,1551823440,5169
P,1551823469,5169
P,1551823499,5170
P,1551823528,5169
P,1551823557,5167
P,1551823586,5170
P,1551823616,5170
P,1551823645,5167
P,1551823674,5168
P,1551823705,5170
P,1551823734,5169
P,1551823763,5169
P,1551823792,5169
P,1551823822,5170
P,1551823851,5169
P,1551823880,5170
P,1551823910,5170
P,1551823939,5164
P,1551823968,5170
D,1551823997,394240
P,1551823998,5072
D,1551824000,379648
R,1551824000,700D9DFBA
R,1551824000,700D9DFBA
R,1551824000,700D9DFBA
X,1551824001,607332,5471
X,1551824002,607527,2330
X,1551824003,607096,4062
X,1551824003,607344,2665
X,1551824004,607588,2998
X,1551824004,607089,3978
X,1551824005,607480,2925
X,1551824005,607313,2379
X,1551824006,607311,4542
X,1551824006,607199,3279
X,1551824007,605507,18478
X,1551824008,608765,8332
X,1551824008,607168,12776
X,1551824009,607378,2851
X,1551824009,607402,18527
X,1551824010,607339,18823
X,1551824010,607034,63760
X,1551824011,606997,24103
X,1551824012,607590,12482
X,1551824012,606528,25916
X,1551824013,607428,4483
X,1551824013,607195,2029
X,1551824014,607524,1995
X,1551824014,607440,2029
X,1551824015,607152,2588
X,1551824016,607498,2840
X,1551824016,607406,3231
X,1551824017,607176,3208
X,1551824017,607452,2563
X,1551824018,607865,6388
X,1551824018,606637,10436
X,1551824019,607324,3056
X,1551824020,607259,3865
X,1551824020,607495,2500
X,1551824021,607428,4201
X,1551824021,607421,2475
X,1551824022,607485,2117
X,1551824022,607227,2031
X,1551824023,607529,2035
X,1551824023,607556,2854
X,1551824024,607355,18896
X,1551824025,607431,3142
X,1551824025,607387,2558
X,1551824026,607364,1647
X,1551824026,607507,2533
X,1551824027,607271,3556
X,1551824027,607331,2573
P,1551824028,5161
X,1551824028,607289,3895
X,1551824029,607348,2135
X,1551824029,607384,2128
X,1551824030,607278,2828
X,1551824030,607438,2777
X,1551824031,607421,3639
X,1551824031,607333,2232
X,1551824032,607309,2577
X,1551824033,607179,8848
X,1551824033,607604,2938
X,1551824034,607071,4068
X,1551824034,607612,2724
X,1551824035,607492,1828
X,1551824035,607418,2257
X,1551824036,607245,4720
X,1551824036,607161,3616
X,1551824036,607430,2101
X,1551824037,607375,1296
X,1551824037,605723,14010
X,1551824038,607391,2592
X,1551824038,607513,1378
X,1551824039,607303,1568
X,1551824039,607367,10788
X,1551824040,607447,3466
X,1551824041,607500,2841
X,1551824041,607376,2947
X,1551824042,607422,2809
X,1551824042,607543,1892
X,1551824043,607411,1712
X,1551824043,607437,2346
X,1551824044,607368,3099
X,1551824045,607497,1267
X,1551824045,607260,1257
X,1551824046,607449,1463
X,1551824046,607423,2994
X,1551824047,607437,2094
X,1551824047,607351,1199
X,1551824048,607603,2275
X,1551824049,607516,1257
X,1551824049,607464,1285
X,1551824050,607438,2908
X,1551824050,607565,1838
X,1551824051,607553,2855
X,1551824051,607517,1516
X,1551824052,607437,2642
X,1551824052,607535,1920
X,1551824053,607580,2377
X,1551824054,607449,2060
X,1551824054,607332,2883
X,1551824055,607522,2899
X,1551824055,607416,2809
X,1551824056,607401,1640
X,1551824056,607212,1913
P,1551824057,5160
X,1551824057,607353,1665
X,1551824058,607549,1590
X,1551824058,607372,1271
X,1551824059,607305,2312
X,1551824059,607432,1220
X,1551824060,607532,2615
X,1551824060,607407,1326
X,1551824061,607653,5036
X,1551824062,607473,2755
X,1551824062,607627,3460
X,1551824063,607502,1506
X,1551824063,607019,9855
X,1551824064,607584,2332
X,1551824064,607511,1408
X,1551824065,607387,2081
X,1551824066,607414,2896
X,1551824066,607557,1903
X,1551824067,607455,2099
X,1551824067,607481,1995
X,1551824068,607513,1224
X,1551824068,607511,2521
X,1551824069,607417,2448
X,1551824069,607420,1699
X,1551824070,607371,1856
X,1551824071,607018,2410
X,1551824071,607150,1975
X,1551824072,607256,12838
X,1551824072,606685,11713
X,1551824073,607398,2024
X,1551824073,607409,2063
X,1551824074,607413,1593
X,1551824075,607440,1324
X,1551824075,607280,2425
X,1551824076,607408,2389
X,1551824076,607578,2192
X,1551824077,607460,1329
X,1551824077,607287,1762
X,1551824077,607585,2176
X,1551824078,607542,2761
X,1551824078,607482,1584
