H,1556574765,268731
X,1556574765,547932,1205
X,1556574766,548054,1281
X,1556574766,547259,2376
X,1556574767,545143,4823
X,1556574767,545019,2818
X,1556574768,545671,1398
X,1556574769,546370,1736
X,1556574769,545674,3516
X,1556574770,544116,3124
X,1556574770,543150,2163
X,1556574771,543211,1563
X,1556574771,544185,2598
X,1556574772,545318,1580
X,1556574773,545411,1598
X,1556574773,545341,1813
X,1556574774,545293,1819
X,1556574774,544068,2938
X,1556574775,544864,2457
X,1556574775,545421,1259
X,1556574776,545706,1795
X,1556574777,545174,2626
X,1556574777,547273,2303
X,1556574778,547345,1036
X,1556574778,547010,2270
X,1556574778,547280,2382
X,1556574778,546674,1106
X,1556574779,546469,1214
X,1556574780,547070,1924
X,1556574780,547586,1501
X,1556574781,548124,1394
X,1556574781,548050,707
X,1556574782,548477,1272
X,1556574782,548061,1256
X,1556574783,545797,1877
X,1556574783,546498,2644
X,1556574784,546392,2915
X,1556574785,546420,1490
X,1556574785,546534,1601
X,1556574786,546598,1022
X,1556574786,546764,1564
X,1556574787,546752,1850
X,1556574787,546651,1708
X,1556574788,547272,2240
X,1556574789,547726,1980
X,1556574789,548334,1409
X,1556574790,548349,2098
X,1556574790,548594,1562
X,1556574791,548182,1325
X,1556574791,547873,1293
X,1556574792,547447,1111
X,1556574793,547077,913
X,1556574793,546914,865
A,1556574793,547164,4679
T,1556574793,2807
P,1556574793,4910
U,1556574794,57274
X,1556574795,546163,2118
X,1556574796,546141,2051
X,1556574796,544575,5406
X,1556574797,545033,3048
X,1556574797,545672,2305
X,1556574798,545712,2509
X,1556574798,547102,1870
X,1556574799,548005,1204
X,1556574800,548240,1409
X,1556574800,548339,2089
X,1556574801,548720,4414
X,1556574801,546177,7088
X,1556574802,545001,2148
X,1556574802,545303,1376
X,1556574803,545275,2700
X,1556574804,545172,3175
X,1556574804,546058,1825
X,1556574805,547708,2251
X,1556574805,546380,1772
X,1556574806,545980,2551
X,1556574806,546854,2373
X,1556574807,547286,2230
X,1556574807,546919,1636
X,1556574808,547039,1073
X,1556574809,546647,1185
X,1556574809,547421,1682
X,1556574810,547226,1482
X,1556574810,547202,3483
X,1556574811,545273,2263
X,1556574811,543638,3601
X,1556574812,546316,3100
X,1556574813,546258,3100
X,1556574813,545796,5023
X,1556574814,543637,3879
X,1556574814,543208,3627
X,1556574815,543585,5814
X,1556574815,542452,7220
X,1556574816,542952,3230
X,1556574817,542914,2759
X,1556574817,544347,2960
X,1556574818,544578,2280
X,1556574818,545871,3289
X,1556574819,548514,2042
X,1556574819,548226,14103
X,1556574819,548537,3552
X,1556574820,546743,5150
X,1556574820,545319,7425
X,1556574821,546154,2750
X,1556574821,545809,2074
X,1556574822,546415,1728
X,1556574822,546757,2523
P,1556574823,5001
X,1556574823,546272,2135
X,1556574823,545656,3497
X,1556574824,545955,2629
X,1556574825,546584,1585
X,1556574825,546766,1389
X,1556574826,546982,2552
X,1556574826,547330,5527
X,1556574827,546160,2233
X,1556574827,544924,10442
X,1556574828,546130,8034
X,1556574829,546898,8680
X,1556574829,546431,2415
X,1556574830,546719,5408
X,1556574830,547170,9734
X,1556574831,547212,4945
X,1556574831,547241,6530
X,1556574832,546986,2705
X,1556574833,547122,1922
X,1556574833,546778,1424
X,1556574834,546892,1086
X,1556574834,546763,922
X,1556574835,547212,15678
X,1556574835,547178,9369
X,1556574836,547105,1653
X,1556574836,547075,1190
X,1556574837,546351,1616
X,1556574838,545010,2082
X,1556574838,544556,2038
X,1556574839,545009,8003
X,1556574839,545289,4229
X,1556574840,546887,1990
X,1556574840,545696,2767
X,1556574841,545463,4580
X,1556574842,543027,4134
X,1556574842,543889,3527
X,1556574843,544780,9631
X,1556574843,544682,3784
X,1556574844,545758,4903
X,1556574844,547316,2439
X,1556574845,545751,3154
X,1556574846,546187,1303
X,1556574846,543640,3866
X,1556574847,543085,3253
X,1556574847,546105,1580
X,1556574848,546317,1655
X,1556574848,546505,1797
X,1556574849,546501,954
X,1556574850,546944,2110
X,1556574850,546880,1628
X,1556574851,546440,2275
X,1556574851,543979,2532
X,1556574852,545096,1721
X,1556574852,545303,2341
P,1556574853,4999
X,1556574853,544947,2677
X,1556574853,543434,4591
X,1556574854,543060,3117
X,1556574855,546244,2623
X,1556574855,546089,2008
X,1556574856,546155,1378
X,1556574856,546526,2268
X,1556574857,548376,3001
X,1556574857,547957,4575
X,1556574858,547855,2265
