H,1552158404,268731
T,1552158404,2828
U,1552158404,57274
X,1552158406,592793,804
X,1552158406,592757,521
X,1552158407,592771,1077
X,1552158408,592878,1018
X,1552158408,592993,732
X,1552158409,592862,562
X,1552158409,592783,1791
X,1552158410,592720,1176
X,1552158410,592589,1358
X,1552158411,592549,784
X,1552158412,592748,1240
X,1552158412,592762,1100
X,1552158413,592586,1161
X,1552158413,592319,1564
X,1552158414,592391,466
X,1552158414,592407,1522
X,1552158415,592389,1231
X,1552158416,592220,1308
X,1552158416,592631,1155
X,1552158417,592909,700
X,1552158417,592739,783
X,1552158418,592709,938
X,1552158418,592770,1803
X,1552158419,592692,1701
X,1552158419,592598,1112
X,1552158420,592643,900
X,1552158421,592546,1038
X,1552158421,592574,714
X,1552158422,592731,624
X,1552158422,592917,694
X,1552158423,592663,1342
X,1552158423,592598,1267
X,1552158424,592706,1218
X,1552158425,592309,1723
X,1552158425,592434,1237
X,1552158426,592453,1009
X,1552158426,592297,1371
X,1552158427,592699,534
X,1552158427,592611,1046
X,1552158428,592496,1663
X,1552158429,592527,1401
P,1552158429,5156
X,1552158429,592679,702
X,1552158429,592699,623
X,1552158429,592628,1216
X,1552158430,592702,857
X,1552158430,592691,1062
X,1552158431,592836,577
X,1552158432,592718,572
X,1552158432,592856,976
A,1552158432,592737,602
T,1552158432,2828
U,1552158433,57274
X,1552158434,592406,955
X,1552158435,592599,1217
X,1552158435,592287,1061
X,1552158436,592574,772
X,1552158436,592473,874
X,1552158437,592472,1035
X,1552158437,592602,775
X,1552158438,592735,1027
X,1552158439,592743,946
X,1552158439,592882,786
X,1552158440,592929,703
X,1552158440,592938,812
X,1552158441,592874,694
X,1552158441,592789,576
X,1552158442,592947,830
X,1552158443,592841,1064
X,1552158443,592856,705
X,1552158444,592998,1191
X,1552158444,593026,632
X,1552158445,593009,1142
X,1552158445,593023,1152
X,1552158446,592778,1690
X,1552158447,593128,1285
X,1552158447,593075,601
X,1552158448,593087,1108
X,1552158448,593074,996
X,1552158449,593067,1302
X,1552158449,593027,1071
X,1552158450,592982,964
X,1552158450,592938,940
X,1552158451,592987,1297
X,1552158452,592911,689
X,1552158452,592917,714
X,1552158453,592953,1325
X,1552158453,593005,386
A,1552158453,592847,669
T,1552158453,2828
U,1552158454,57274
X,1552158455,592863,1058
X,1552158456,592912,1596
X,1552158456,592935,1382
X,1552158457,592944,543
X,1552158458,592953,1169
X,1552158458,592986,1060
P,1552158458,5155
X,1552158459,592874,1344
X,1552158459,592823,774
X,1552158460,592861,1255
X,1552158460,593046,1625
X,1552158461,593021,633
X,1552158462,592981,737
X,1552158462,592977,1018
X,1552158463,593004,1073
X,1552158463,593111,1258
X,1552158464,593160,1142
X,1552158464,593128,482
X,1552158465,593058,9341
X,1552158465,593036,1462
X,1552158466,593010,946
X,1552158467,592975,662
X,1552158467,592609,2799
X,1552158468,592798,633
X,1552158468,592782,1527
X,1552158469,592929,933
X,1552158469,592839,1490
X,1552158470,592833,724
X,1552158470,592837,569
X,1552158470,592891,1045
X,1552158471,592903,492
X,1552158471,592847,1280
X,1552158472,592886,1501
X,1552158472,592922,1155
X,1552158473,592980,792
X,1552158474,593005,259
X,1552158474,592947,1430
X,1552158475,592997,866
X,1552158475,593002,480
X,1552158476,592979,443
X,1552158476,593007,864
X,1552158477,592919,1208
X,1552158477,592738,842
X,1552158478,592846,3190
X,1552158479,592880,1552
X,1552158479,592917,634
A,1552158479,592940,390
T,1552158479,2828
U,1552158480,57274
X,1552158481,592910,712
X,1552158482,592898,1413
X,1552158482,592980,1933
X,1552158483,592829,842
X,1552158483,592846,775
X,1552158484,592803,852
X,1552158485,592795,1245
X,1552158485,592838,1331
X,1552158486,592937,698
X,1552158486,592799,994
X,1552158487,592812,1009
P,1552158487,5156
X,1552158487,592888,1178
X,1552158488,592757,1394
X,1552158489,592776,1023
X,1552158489,592711,1087
X,1552158490,592948,1266
X,1552158490,592804,841
X,1552158491,592917,1276
X,1552158491,592918,830
X,1552158492,592799,1053
X,1552158492,592860,1044
X,1552158493,592924,937
X,1552158494,592867,1367
X,1552158494,592864,2251
X,1552158495,593192,1578
X,1552158495,592515,1156
X,1552158496,592850,1360
X,1552158496,592862,800
X,1552158497,593011,617
X,1552158498,592841,887
