H,1552539479,268731
P,1552539479,5144
P,1552539508,5145
P,1552539537,5145
P,1552539567,5145
P,1552539596,5146
P,1552539625,5145
P,1552539654,5146
P,1552539684,5145
P,1552539713,5145
P,1552539743,5145
P,1552539773,5145
P,1552539802,5145
P,1552539831,5146
P,1552539860,5145
P,1552539890,5145
P,1552539919,5144
P,1552539948,5145
P,1552539978,5146
P,1552540007,5145
P,1552540037,5145
D,1552540065,363520
P,1552540066,5146
D,1552540067,421888
R,1552540067,700D9CE52
R,1552540067,700D9CE52
R,1552540067,700D9CE52
X,1552540069,629140,10265
X,1552540069,630923,55013
X,1552540070,628932,10768
X,1552540070,631137,4246
X,1552540071,630825,48277
X,1552540071,632520,29832
X,1552540072,632083,10718
X,1552540073,632788,42490
X,1552540073,633556,11283
X,1552540074,634931,10180
X,1552540074,632405,29280
X,1552540075,633916,3678
X,1552540075,633199,10347
X,1552540076,634014,10341
X,1552540077,632361,61823
X,1552540077,629195,51083
X,1552540078,667188,42437
X,1552540078,301330,62749
X,1552540079,269733,1250
X,1552540079,269263,329
X,1552540080,269988,787
X,1552540081,269120,612
X,1552540081,269183,429
X,1552540082,268684,678
X,1552540082,268368,381
X,1552540083,268713,185
X,1552540083,268639,121
X,1552540084,268540,120
O,1552540084,268673,116
O,1552540085,268677,151
O,1552540086,268617,54
O,1552540086,268651,92
O,1552540087,268542,174
O,1552540087,268485,154
O,1552540088,268369,342
O,1552540088,267910,480
O,1552540089,267672,263
O,1552540090,267709,332
O,1552540090,267702,217
O,1552540091,267967,160
O,1552540091,267969,782
O,1552540092,267547,624
O,1552540092,267531,425
O,1552540093,267853,414
O,1552540094,267805,271
O,1552540094,267715,626
O,1552540095,267103,807
O,1552540095,267352,488
P,1552540096,5137
O,1552540096,267640,352
O,1552540096,267312,357
O,1552540097,267260,195
O,1552540097,267353,382
O,1552540098,267343,350
O,1552540099,267695,775
O,1552540099,268163,174
O,1552540100,268184,263
O,1552540100,268260,384
O,1552540101,268321,124
O,1552540101,268275,169
O,1552540102,268342,107
O,1552540103,268311,181
O,1552540103,268200,108
O,1552540103,268133,195
O,1552540103,268026,155
O,1552540104,268090,355
O,1552540104,268245,140
O,1552540105,268351,123
O,1552540106,268408,60
O,1552540106,268435,107
O,1552540107,268447,126
O,1552540107,268665,205
O,1552540108,268752,130
O,1552540108,268689,152
O,1552540109,268553,91
O,1552540110,268464,183
O,1552540110,268417,79
O,1552540111,268421,77
O,1552540111,268399,112
O,1552540112,268290,177
O,1552540112,268171,115
O,1552540113,268263,152
O,1552540113,268385,123
O,1552540114,268448,93
O,1552540115,268466,146
O,1552540115,268435,143
O,1552540116,268422,184
O,1552540116,268368,121
O,1552540117,268365,94
O,1552540117,268387,73
O,1552540118,268371,86
O,1552540119,268440,83
O,1552540119,268419,143
O,1552540120,267964,686
O,1552540120,267959,371
O,1552540121,268185,238
O,1552540121,268015,552
O,1552540122,267862,485
O,1552540123,267927,155
O,1552540123,267870,234
O,1552540124,267852,256
O,1552540124,267982,406
O,1552540125,267899,374
P,1552540125,5135
O,1552540125,267899,410
O,1552540126,267978,355
O,1552540127,267968,578
O,1552540127,268093,225
O,1552540128,267739,536
O,1552540128,267878,594
O,1552540129,267929,181
O,1552540129,268120,269
O,1552540130,268079,368
O,1552540130,268144,207
O,1552540131,268102,123
O,1552540132,268387,423
O,1552540132,268263,93
O,1552540133,268302,183
O,1552540133,268238,289
O,1552540134,268181,75
T,1552540134,2761
P,1552540154,5144
P,1552540184,5145
P,1552540213,5143
P,1552540242,5146
P,1552540271,5144
P,1552540301,5144
P,1552540331,5145
P,1552540360,5145
P,1552540390,5145
P,1552540419,5145
P,1552540448,5145
P,1552540478,5146
P,1552540508,5145
P,1552540537,5145
P,1552540566,5145
P,1552540596,5143
P,1552540626,5146
P,1552540655,5145
P,1552540684,5145
P,1552540714,5144
P,1552540743,5143
P,1552540772,5146
P,1552540801,5145
P,1552540831,5146
P,1552540860,5146
P,1552540889,5144
P,1552540920,5145
P,1552540949,5145
P,1552540978,5144
P,1552541007,5146
P,1552541037,5146
P,1552541066,5143
P,1552541095,5146
P,1552541125,5146
P,1552541154,5144
P,1552541183,5145
P,1552541213,5144
P,1552541243,5146
P,1552541272,5146
P,1552541301,5145
P,1552541331,5144
P,1552541360,5144
P,1552541389,5145
P,1552541418,5144
P,1552541448,5146
P,1552541477,5143
