H,1553484087,268731
P,1553484087,5134
P,1553484117,5134
P,1553484146,5135
P,1553484175,5133
P,1553484205,5133
P,1553484234,5134
P,1553484263,5133
P,1553484293,5132
P,1553484323,5135
P,1553484352,5134
P,1553484381,5133
P,1553484411,5133
P,1553484441,5134
P,1553484470,5133
P,1553484499,5135
P,1553484529,5133
P,1553484558,5133
P,1553484588,5134
P,1553484617,5134
P,1553484647,5135
P,1553484676,5134
P,1553484705,5135
P,1553484735,5133
P,1553484764,5134
P,1553484793,5133
P,1553484822,5134
P,1553484852,5133
P,1553484882,5135
P,1553484911,5134
P,1553484941,5133
P,1553484970,5134
P,1553484999,5133
P,1553485028,5134
P,1553485058,5136
P,1553485087,5135
P,1553485116,5134
P,1553485146,5133
P,1553485176,5135
P,1553485205,5135
P,1553485234,5134
P,1553485264,5133
P,1553485293,5135
P,1553485322,5134
P,1553485352,5134
P,1553485381,5134
P,1553485410,5133
P,1553485439,5133
P,1553485470,5134
P,1553485499,5133
D,1553485519,477696
D,1553485520,446976
R,1553485520,700D9DFBA
X,1553485522,596331,50535
X,1553485522,592633,59176
X,1553485523,592302,32750
X,1553485523,594193,13629
X,1553485524,593526,7952
X,1553485525,593495,4787
X,1553485525,593833,2153
X,1553485526,593377,25698
X,1553485526,593631,31787
X,1553485527,596837,58367
X,1553485527,593775,3568
P,1553485528,5127
X,1553485528,593761,1726
X,1553485529,593722,2287
X,1553485529,593662,3156
X,1553485530,594239,7212
X,1553485530,593624,4614
X,1553485531,593729,14937
X,1553485531,593692,19948
X,1553485532,592065,26941
X,1553485533,592542,22353
X,1553485533,594272,26512
X,1553485534,593586,11815
X,1553485534,593442,4087
X,1553485535,592968,10379
X,1553485535,594767,7426
X,1553485536,593912,1882
X,1553485536,593673,2084
X,1553485537,593880,2827
X,1553485538,593144,5637
X,1553485538,593899,1619
X,1553485539,593646,1641
X,1553485539,593899,2163
X,1553485540,593772,21068
X,1553485540,593979,2288
X,1553485541,594017,3412
X,1553485542,593841,1283
X,1553485542,593776,3081
X,1553485543,593754,1364
X,1553485543,593570,1313
X,1553485544,593441,16856
X,1553485544,593970,1236
X,1553485545,593738,1571
X,1553485546,593705,2144
X,1553485546,593378,2110
X,1553485547,593858,4506
X,1553485547,593250,4269
X,1553485548,593356,3315
X,1553485548,593857,14170
X,1553485549,593687,2234
X,1553485549,593637,23597
X,1553485550,594358,4694
X,1553485551,593631,5439
X,1553485551,593590,14394
X,1553485552,593702,2689
X,1553485552,593753,975
X,1553485553,593900,2234
X,1553485553,593584,4568
X,1553485554,593755,1089
X,1553485555,593826,1029
X,1553485555,593918,1890
X,1553485556,593835,11204
X,1553485556,595589,24653
X,1553485557,593412,27380
X,1553485557,592882,33017
P,1553485558,5125
X,1553485558,593349,32780
X,1553485559,592681,21912
X,1553485559,593939,1443
X,1553485560,593290,12398
X,1553485560,595533,13843
X,1553485560,595262,28025
X,1553485560,594066,19264
X,1553485561,595448,19443
X,1553485562,591884,15025
X,1553485562,593287,31845
X,1553485563,593858,29237
X,1553485563,594443,29368
X,1553485564,593799,13822
X,1553485564,596126,15303
X,1553485565,593376,21634
X,1553485565,591252,33384
X,1553485566,594564,8145
X,1553485567,593455,22054
X,1553485567,595832,33895
X,1553485568,594473,8220
X,1553485568,594189,11026
X,1553485569,594379,5163
X,1553485569,593752,7281
X,1553485570,593508,20115
X,1553485571,594198,19821
X,1553485571,596419,55360
X,1553485572,596558,26937
X,1553485572,592354,20051
X,1553485573,593822,1749
X,1553485573,592050,19415
X,1553485574,594854,8812
X,1553485575,593139,38388
X,1553485575,595605,54372
X,1553485576,595453,40407
X,1553485576,591772,3710
X,1553485577,592319,42279
X,1553485577,591488,235
X,1553485578,593460,25603
X,1553485579,592295,60582
X,1553485579,596349,58634
X,1553485580,593586,46172
X,1553485580,594133,9501
X,1553485581,594669,26915
X,1553485581,594643,26529
X,1553485582,593829,10777
X,1553485582,593972,4066
X,1553485583,593223,6013
X,1553485584,593754,18739
X,1553485584,595635,31959
X,1553485585,593021,52062
X,1553485585,593520,9113
X,1553485586,592649,36783
X,1553485586,594691,30361
P,1553485587,5126
X,1553485587,593658,3652
X,1553485588,593577,5241
X,1553485588,593821,10952
X,1553485589,593288,15042
X,1553485589,594435,42239
X,1553485590,593224,32967
X,1553485590,592756,30553
X,1553485591,593855,18506
X,1553485592,593624,12542
X,1553485592,593592,6734
X,1553485593,591969,29542
X,1553485593,594245,5613
X,1553485594,593412,16680
X,1553485594,594831,15696
X,1553485595,592125,33450
