H,1552005882,268731
P,1552005882,5155
D,1552005904,398080
R,1552005904,700D9DFBA
R,1552005904,700D9DFBA
R,1552005904,700D9DFBA
X,1552005905,588487,35848
X,1552005906,590060,14298
X,1552005907,589445,8838
X,1552005907,589859,13179
X,1552005908,589263,6618
X,1552005908,588949,7390
X,1552005909,589309,4339
X,1552005909,589390,8398
X,1552005910,589416,6868
X,1552005910,589515,4456
X,1552005911,589567,3421
X,1552005912,589201,7812
P,1552005912,5146
X,1552005912,591053,10435
X,1552005913,589749,27825
X,1552005913,589734,4717
X,1552005914,589546,5027
X,1552005914,589595,2659
X,1552005915,589401,4521
X,1552005916,589354,3756
X,1552005916,589533,2413
X,1552005917,589132,3095
X,1552005917,589104,2837
X,1552005918,589298,3363
X,1552005918,589528,1758
X,1552005918,589488,2716
X,1552005919,589554,3007
X,1552005919,589753,2740
X,1552005920,589503,9063
X,1552005920,589847,17532
X,1552005921,589546,19734
X,1552005921,589552,6223
X,1552005922,589218,21022
X,1552005923,589990,7140
X,1552005923,589816,1918
X,1552005924,589907,1442
X,1552005924,589702,1808
X,1552005925,589286,10658
X,1552005925,588869,12477
X,1552005926,589912,13861
X,1552005926,590139,13073
X,1552005927,589245,28943
X,1552005928,589645,8611
X,1552005928,590771,13140
X,1552005929,587283,15021
X,1552005929,590159,29969
X,1552005930,588874,29133
X,1552005930,591625,33766
X,1552005931,590492,29826
X,1552005932,589940,12337
X,1552005932,591218,16953
X,1552005933,589180,38830
X,1552005933,589637,6743
X,1552005934,589795,1273
X,1552005934,589791,2088
X,1552005935,589783,1585
X,1552005936,589525,2359
X,1552005936,589866,1277
X,1552005937,589595,2143
X,1552005937,589771,2702
X,1552005938,589472,2582
X,1552005938,589633,1407
X,1552005939,589456,1629
X,1552005940,589053,1399
X,1552005940,588593,1473
X,1552005941,588988,2387
P,1552005941,5146
X,1552005941,589169,3249
X,1552005942,589337,2486
X,1552005942,589354,1343
X,1552005943,589375,2880
X,1552005943,589547,1991
X,1552005944,589794,2206
X,1552005945,589680,1862
X,1552005945,589595,2270
X,1552005946,589564,1721
X,1552005946,589706,1590
X,1552005947,589672,1547
X,1552005947,589474,1139
X,1552005948,589709,1813
X,1552005949,589592,2493
X,1552005949,589768,1656
X,1552005950,589705,1701
X,1552005950,589705,2706
X,1552005951,589664,1554
X,1552005951,589670,1642
X,1552005952,589711,2205
X,1552005953,589605,1321
X,1552005953,589762,1531
X,1552005954,589674,1365
X,1552005954,589587,1581
X,1552005955,589575,1732
X,1552005955,589839,3202
X,1552005956,589564,6252
X,1552005957,589728,2149
X,1552005957,589614,2188
X,1552005958,588829,21333
X,1552005958,589685,1681
X,1552005959,589437,2075
X,1552005959,589804,2111
X,1552005959,589565,1854
X,1552005959,589604,2116
X,1552005960,589191,2223
X,1552005961,589266,2117
X,1552005961,589416,28380
X,1552005962,589085,5127
X,1552005962,589618,1464
X,1552005963,589668,3648
X,1552005963,589682,3066
X,1552005964,589696,2617
X,1552005965,589507,7256
X,1552005965,589839,5265
X,1552005966,589837,4108
X,1552005966,590042,1456
X,1552005967,589972,1687
X,1552005967,589873,7242
X,1552005968,589817,1650
X,1552005969,589645,2236
X,1552005969,589801,2922
X,1552005970,589733,1945
P,1552005970,5146
X,1552005970,589623,1398
X,1552005971,589624,2679
X,1552005971,589726,3151
X,1552005972,589679,2130
X,1552005972,589647,2876
X,1552005973,589802,2794
X,1552005974,589698,1568
X,1552005974,589619,1751
X,1552005975,589646,1368
X,1552005975,589580,1326
X,1552005976,589684,2072
X,1552005976,589431,1801
X,1552005977,589665,1310
X,1552005978,589654,1198
X,1552005978,589656,2005
X,1552005979,589445,1533
X,1552005979,589584,1405
X,1552005980,589412,1011
X,1552005980,589572,1142
X,1552005981,589646,1790
X,1552005982,589660,1269
X,1552005982,589706,2051
X,1552005983,589639,1366
X,1552005983,589672,1541
X,1552005984,589671,1754
X,1552005984,589642,1441
X,1552005985,589691,1547
X,1552005986,589723,1520
X,1552005986,589543,992
X,1552005987,589622,3099
X,1552005987,589703,1878
X,1552005988,589642,1223
X,1552005988,589567,1140
X,1552005989,589462,928
X,1552005989,589608,1640
X,1552005990,589368,2017
X,1552005991,589500,1342
X,1552005991,589454,1345
X,1552005992,589492,1613
X,1552005992,589828,1846
X,1552005993,589753,1475
X,1552005993,589822,1647
X,1552005994,589761,1419
X,1552005995,589687,3024
X,1552005995,589960,1636
X,1552005996,589893,1320
