H,1555627950,268731
P,1555627950,5093
P,1555627979,5091
P,1555628009,5092
P,1555628038,5092
P,1555628068,5091
P,1555628097,5091
P,1555628127,5091
P,1555628156,5094
P,1555628185,5093
D,1555628193,454912
R,1555628193,700D9DFBA
R,1555628193,700D9DFBA
R,1555628193,700D9DFBA
X,1555628194,346417,64473
X,1555628195,272771,10136
X,1555628196,271497,7489
X,1555628196,269047,2737
X,1555628197,272312,1127
X,1555628197,271002,1717
X,1555628198,270175,343
X,1555628198,270906,575
X,1555628199,271221,151
X,1555628200,270964,299
X,1555628200,270747,141
X,1555628201,270780,98
O,1555628201,270841,117
O,1555628202,270898,120
O,1555628202,270906,121
O,1555628203,270891,79
O,1555628203,270857,109
O,1555628204,270846,129
O,1555628205,270843,114
O,1555628205,270865,116
O,1555628206,270883,128
O,1555628206,270906,91
O,1555628207,270939,82
O,1555628207,270911,93
O,1555628208,270894,118
O,1555628209,270877,136
O,1555628209,270861,101
O,1555628210,270876,76
O,1555628210,270880,67
O,1555628211,270885,87
O,1555628211,270906,86
O,1555628212,270923,124
O,1555628213,270933,82
O,1555628213,270951,79
O,1555628214,270921,88
O,1555628214,270950,115
O,1555628215,270936,124
P,1555628215,5084
O,1555628215,270967,73
O,1555628216,270935,126
O,1555628217,270897,95
O,1555628217,270895,95
O,1555628218,270884,131
O,1555628218,270912,94
O,1555628219,270906,143
O,1555628219,270915,93
O,1555628219,270883,119
O,1555628219,270869,41
O,1555628220,270896,74
O,1555628221,270886,148
O,1555628221,270891,65
O,1555628222,270901,60
O,1555628222,270912,100
O,1555628223,270922,131
O,1555628223,270944,113
O,1555628224,270992,129
O,1555628225,271089,124
O,1555628225,271030,156
O,1555628226,271004,147
O,1555628226,271055,152
O,1555628227,270954,170
O,1555628227,271005,127
O,1555628228,271033,168
O,1555628229,271233,369
O,1555628229,271202,172
O,1555628230,270984,216
O,1555628230,270953,96
O,1555628231,270844,159
O,1555628231,270882,120
O,1555628232,270889,133
O,1555628233,270854,175
O,1555628233,270913,158
O,1555628234,270956,127
O,1555628234,270941,100
O,1555628235,551113,18067
T,1555628235,2853
D,1555628236,388864
R,1555628236,700D9DFBA
X,1555628238,586717,32632
X,1555628239,580846,51793
X,1555628239,580760,49698
X,1555628240,582197,60848
X,1555628240,581063,4716
X,1555628241,581961,53235
X,1555628241,581307,23686
X,1555628242,583054,14074
X,1555628242,581811,30806
X,1555628243,580689,39157
X,1555628244,582159,6211
P,1555628244,5085
X,1555628244,581386,22711
X,1555628245,582091,7322
X,1555628245,582033,6025
X,1555628246,582174,5924
X,1555628246,582202,4557
X,1555628247,582244,3270
X,1555628248,582430,3250
X,1555628248,581695,4705
X,1555628249,582037,5248
X,1555628249,581931,2461
X,1555628250,581958,2541
X,1555628250,582051,2710
X,1555628251,581979,2392
X,1555628252,582238,9187
X,1555628252,582250,3791
X,1555628253,582142,2270
X,1555628253,582235,1809
X,1555628254,582033,1664
X,1555628254,582202,1519
X,1555628255,582102,3829
X,1555628256,582145,2963
X,1555628256,582125,2007
X,1555628257,582175,2333
X,1555628257,581912,3748
X,1555628258,582007,1766
X,1555628258,581989,1864
X,1555628259,581788,1975
X,1555628259,582041,1820
X,1555628260,582043,5264
X,1555628260,582109,4207
X,1555628260,581805,2613
X,1555628261,582462,6394
X,1555628261,582174,5898
X,1555628262,582153,1685
X,1555628262,581959,9076
X,1555628263,581915,1331
X,1555628264,582032,2007
X,1555628264,581945,2816
X,1555628265,581921,1511
X,1555628265,581115,22049
X,1555628266,582012,2247
X,1555628266,581862,1733
X,1555628267,581769,2011
X,1555628268,581952,2432
X,1555628268,581969,2292
X,1555628269,581831,1481
X,1555628269,581973,4240
X,1555628270,581883,2049
X,1555628270,581866,2167
X,1555628271,581713,2433
X,1555628272,581931,1860
X,1555628272,582076,1778
X,1555628273,581972,2444
X,1555628273,582061,2000
P,1555628273,5085
X,1555628274,581977,2279
X,1555628274,581876,2030
X,1555628275,581925,2724
X,1555628275,581883,15226
X,1555628276,581949,1983
X,1555628277,581831,2255
X,1555628277,582096,1628
X,1555628278,582087,2464
X,1555628278,582033,2421
X,1555628279,582057,3263
X,1555628279,582010,1932
X,1555628280,581792,3023
X,1555628281,582285,2550
X,1555628281,582024,2239
X,1555628282,581955,3708
X,1555628282,582312,8452
