H,1552704783,268731
T,1552704783,2808
P,1552704784,5147
R,1552704784,700D9DFBA
X,1552704785,589802,1315
X,1552704786,589970,1208
X,1552704786,590416,2376
X,1552704787,591280,2179
X,1552704788,591444,685
X,1552704788,591450,1457
X,1552704789,591505,950
X,1552704789,591439,663
X,1552704790,591288,1330
X,1552704790,591139,865
X,1552704791,591140,1289
X,1552704791,591204,1114
X,1552704792,590999,1035
X,1552704793,591136,882
X,1552704793,591274,918
X,1552704793,591176,1077
X,1552704793,591104,1324
X,1552704794,591157,840
X,1552704794,591198,1105
X,1552704795,591098,867
X,1552704796,591045,786
X,1552704796,590878,1342
X,1552704797,590755,1090
X,1552704797,590824,1202
X,1552704798,590594,634
X,1552704798,590544,1061
X,1552704799,590649,739
X,1552704800,590777,1251
X,1552704800,591198,5045
X,1552704801,590534,1580
X,1552704801,591184,1371
X,1552704802,590542,1391
X,1552704802,590759,989
X,1552704803,590635,875
X,1552704804,590719,969
X,1552704804,590279,3318
X,1552704805,590645,1286
X,1552704805,590694,1204
X,1552704806,590510,711
X,1552704806,590530,767
X,1552704807,590591,825
X,1552704807,591111,1302
X,1552704808,590930,1576
X,1552704809,590762,1770
X,1552704809,590743,810
X,1552704810,590680,982
X,1552704810,590817,1240
X,1552704811,590960,1415
X,1552704811,590781,1585
X,1552704812,590845,628
A,1552704812,590924,995
T,1552704812,2808
R,1552704812,700D9DFBA
P,1552704813,5145
X,1552704814,591061,1451
X,1552704815,590889,1346
X,1552704815,590886,882
X,1552704816,590932,955
X,1552704816,590903,1386
X,1552704817,591246,1077
X,1552704817,591049,707
X,1552704818,590880,3267
X,1552704819,590824,2153
X,1552704819,590459,960
X,1552704820,589996,1033
X,1552704820,589948,1558
X,1552704821,589151,1353
X,1552704821,589254,1896
X,1552704822,589922,922
X,1552704822,589483,1338
X,1552704823,589824,854
X,1552704824,589783,1361
X,1552704824,590249,999
X,1552704825,590572,719
X,1552704825,590936,994
X,1552704826,590737,1010
X,1552704826,590717,795
X,1552704827,590232,1315
X,1552704828,590250,1306
X,1552704828,590220,755
X,1552704829,590078,873
X,1552704829,590170,903
X,1552704830,590476,1259
X,1552704830,590213,1278
X,1552704831,590296,806
X,1552704832,590025,837
X,1552704832,589796,581
X,1552704833,589889,1047
X,1552704833,590124,950
X,1552704834,590416,570
X,1552704834,590553,834
X,1552704834,590543,622
A,1552704834,590388,1253
T,1552704834,2808
R,1552704834,700D9DFBA
X,1552704836,590613,1162
X,1552704836,590548,857
X,1552704837,590412,547
X,1552704838,590353,475
X,1552704838,590505,1049
X,1552704839,590525,1036
X,1552704839,590436,685
X,1552704840,590482,908
X,1552704840,590267,938
X,1552704841,590050,1604
X,1552704842,590108,1066
P,1552704842,5147
X,1552704842,590290,941
X,1552704843,590485,1141
X,1552704843,589938,1460
X,1552704844,590189,744
X,1552704844,589842,1472
X,1552704845,589406,1103
X,1552704846,590439,932
X,1552704846,590059,1885
X,1552704847,590066,1945
X,1552704847,590271,1105
X,1552704848,590278,1041
X,1552704848,590614,744
X,1552704849,590417,946
X,1552704849,590374,981
X,1552704850,590561,988
X,1552704851,590406,1907
X,1552704851,590305,990
X,1552704852,590489,1248
X,1552704852,590300,1043
X,1552704853,590282,1101
X,1552704853,590025,744
X,1552704854,590657,1335
X,1552704855,590885,982
X,1552704855,591152,1211
X,1552704856,590886,991
X,1552704856,590961,1370
X,1552704857,590456,1343
X,1552704857,590740,1526
X,1552704858,590185,1879
X,1552704859,589540,2145
X,1552704859,589618,1401
X,1552704860,589718,1185
X,1552704860,589797,966
X,1552704861,590330,841
X,1552704861,590007,989
A,1552704861,590380,1089
T,1552704862,2808
R,1552704862,700D9DFBA
X,1552704863,590413,1517
X,1552704864,590446,1904
X,1552704864,590413,1006
X,1552704865,589943,1178
X,1552704866,589726,1284
X,1552704866,590149,890
X,1552704867,590336,1369
X,1552704867,590232,978
X,1552704868,589909,571
X,1552704868,589099,885
X,1552704869,589724,1175
X,1552704870,590166,949
X,1552704870,589808,816
X,1552704871,589094,2748
X,1552704871,589064,668
X,1552704872,588494,2030
P,1552704872,5143
X,1552704872,589217,1753
X,1552704873,588026,1554
X,1552704874,588895,1478
X,1552704874,589390,1226
X,1552704875,589467,1514
X,1552704875,589879,1520
X,1552704875,590583,5247
