H,1554056967,268731
P,1554056967,5138
P,1554056996,5138
P,1554057025,5139
P,1554057055,5137
P,1554057084,5138
P,1554057114,5138
P,1554057143,5139
P,1554057173,5138
P,1554057202,5139
P,1554057231,5138
P,1554057261,5138
P,1554057290,5136
P,1554057319,5140
P,1554057348,5138
P,1554057378,5138
P,1554057408,5138
P,1554057437,5139
P,1554057466,5139
P,1554057496,5137
P,1554057525,5137
D,1554057536,385024
R,1554057536,700D9DFBA
R,1554057536,700D9DFBA
R,1554057536,700D9DFBA
X,1554057538,574523,30821
X,1554057538,572218,52698
X,1554057539,572076,51172
X,1554057540,570363,11089
X,1554057540,568225,4535
X,1554057541,565474,14380
X,1554057541,565422,7028
X,1554057542,569426,17098
X,1554057542,567389,15733
X,1554057543,568386,12682
X,1554057543,562782,19321
X,1554057544,563485,8220
X,1554057545,564183,7154
X,1554057545,565925,6180
X,1554057546,569911,3684
X,1554057546,569228,23631
X,1554057547,568684,4398
X,1554057547,562442,13271
X,1554057548,563944,6183
X,1554057548,566314,7443
X,1554057548,566191,8701
X,1554057549,568508,8247
X,1554057549,568030,7986
X,1554057550,574177,4605
X,1554057550,574477,2165
X,1554057551,571364,4974
X,1554057552,568090,5108
X,1554057552,566305,4041
X,1554057553,567223,6987
X,1554057553,566122,5321
X,1554057554,567137,5801
P,1554057554,5130
X,1554057554,570493,5282
X,1554057555,565974,15479
X,1554057556,564804,11450
X,1554057556,562301,7470
X,1554057557,558754,7473
X,1554057557,557856,6843
X,1554057558,561271,10643
X,1554057558,559508,14404
X,1554057559,562652,3762
X,1554057559,560675,7998
X,1554057560,560896,9298
X,1554057561,559461,10256
X,1554057561,565426,8930
X,1554057562,552323,29123
X,1554057562,559423,37386
X,1554057563,574098,24476
X,1554057563,558569,29593
X,1554057564,549654,11640
X,1554057565,557024,7757
X,1554057565,567964,15024
X,1554057566,564876,11810
X,1554057566,560191,14891
X,1554057567,553708,11725
X,1554057567,556348,15346
X,1554057568,561390,13177
X,1554057569,562486,12396
X,1554057569,572094,8743
X,1554057570,574646,11425
X,1554057570,575533,11050
X,1554057571,576359,5763
X,1554057571,575321,4540
X,1554057572,575789,2234
X,1554057573,577092,1929
X,1554057573,576798,2424
X,1554057574,576838,2527
X,1554057574,577578,911
X,1554057575,577740,995
X,1554057575,576780,1555
X,1554057576,574729,5225
X,1554057576,574711,3477
X,1554057577,575845,1205
X,1554057578,576543,1790
X,1554057578,573313,5194
X,1554057579,570261,7698
X,1554057579,571343,3557
X,1554057580,573680,2169
X,1554057580,575456,2954
X,1554057581,573842,3702
X,1554057582,572050,4172
X,1554057582,569899,4626
X,1554057583,570910,12345
X,1554057583,575116,6698
X,1554057584,575155,4899
P,1554057584,5129
X,1554057584,575639,7097
X,1554057585,572351,13544
X,1554057586,567292,10755
X,1554057586,570909,3992
X,1554057587,572397,3902
X,1554057587,573926,2592
X,1554057588,575749,1630
X,1554057588,576644,1339
X,1554057589,575632,1456
X,1554057589,569234,11890
X,1554057589,566449,5338
X,1554057590,569619,2526
X,1554057590,569464,4929
X,1554057591,570144,3749
X,1554057591,570763,8072
X,1554057592,568083,11780
X,1554057592,572225,5893
X,1554057593,573475,9044
X,1554057594,573813,7517
X,1554057594,577979,8700
X,1554057595,578264,5650
X,1554057595,580185,3117
X,1554057596,575484,5225
X,1554057596,572038,6310
X,1554057597,573095,4001
X,1554057598,575699,1604
X,1554057598,575393,5082
X,1554057599,574075,4609
X,1554057599,569971,7158
X,1554057600,564062,7981
X,1554057600,564692,8663
X,1554057601,569600,8568
X,1554057602,567013,6737
X,1554057602,562271,16234
X,1554057603,565819,9146
X,1554057603,565799,8216
X,1554057604,567197,7061
X,1554057604,569579,9860
X,1554057605,572868,5747
X,1554057605,572846,12977
X,1554057606,578099,6289
X,1554057607,574711,10958
X,1554057607,569597,9331
X,1554057608,568328,6541
X,1554057608,569904,8692
X,1554057609,574195,4805
X,1554057609,570870,5815
X,1554057610,575152,2865
X,1554057611,575706,1312
X,1554057611,575572,1385
X,1554057612,575573,1534
X,1554057612,575349,3398
X,1554057613,575989,3386
P,1554057613,5130
X,1554057613,575082,5163
X,1554057614,574401,5614
X,1554057615,577187,2459
X,1554057615,575962,2639
X,1554057616,574196,2639
X,1554057616,573266,3202
X,1554057617,571583,3476
X,1554057617,571636,3166
X,1554057618,571161,4828
X,1554057619,563692,11368
X,1554057619,568424,4324
X,1554057620,571258,2671
X,1554057620,574379,2201
