H,1549339476,439452
P,1549339476,5106
P,1549339505,5106
P,1549339534,5104
P,1549339563,5106
P,1549339593,5106
P,1549339623,5106
P,1549339652,5106
P,1549339681,5107
P,1549339711,5106
P,1549339740,5107
P,1549339769,5106
P,1549339799,5106
P,1549339828,5106
P,1549339857,5106
P,1549339886,5106
P,1549339917,5105
P,1549339946,5106
P,1549339975,5106
P,1549340005,5106
P,1549340034,5105
P,1549340063,5105
P,1549340092,5106
P,1549340122,5105
P,1549340151,5105
P,1549340180,5107
P,1549340211,5104
P,1549340240,5106
P,1549340269,5106
P,1549340298,5105
P,1549340328,5106
P,1549340357,5106
P,1549340386,5106
P,1549340416,5104
P,1549340445,5104
P,1549340474,5107
P,1549340504,5105
P,1549340534,5106
P,1549340563,5106
P,1549340592,5106
P,1549340622,5106
P,1549340651,5106
P,1549340680,5106
P,1549340709,5106
P,1549340739,5106
P,1549340768,5106
P,1549340798,5107
P,1549340828,5104
P,1549340857,5104
P,1549340886,5105
P,1549340915,5106
O,1549340937,354587,4242
O,1549340937,355317,3045
O,1549340938,354948,4509
O,1549340938,354569,3739
O,1549340939,355164,5251
O,1549340940,354973,4049
O,1549340940,355541,3289
O,1549340941,354962,2226
O,1549340941,355230,3667
O,1549340942,355379,3526
O,1549340942,353617,1576
O,1549340943,354190,1163
O,1549340943,353869,851
O,1549340944,353922,328
O,1549340945,354373,797
P,1549340945,5099
O,1549340945,354584,742
O,1549340946,354465,1067
O,1549340946,354190,1990
O,1549340947,354263,657
O,1549340947,353846,1159
O,1549340948,353804,614
O,1549340949,354274,673
O,1549340949,354334,579
O,1549340950,354244,913
O,1549340950,354199,1929
O,1549340951,354175,1176
O,1549340951,354396,962
O,1549340952,354742,439
O,1549340952,354726,346
O,1549340952,354512,569
O,1549340953,355191,759
O,1549340953,355601,1489
O,1549340954,355099,2433
O,1549340954,355149,1904
O,1549340955,354509,1406
O,1549340956,355531,351
O,1549340956,355394,1366
O,1549340957,355285,1270
O,1549340957,354949,745
O,1549340958,354700,592
O,1549340958,354696,601
O,1549340959,354977,698
O,1549340959,354274,2064
O,1549340960,355238,2704
O,1549340961,354794,3356
O,1549340961,356765,4734
O,1549340962,355856,4520
O,1549340962,355014,1807
O,1549340963,354666,4311
O,1549340963,355049,2651
O,1549340964,355056,4001
O,1549340965,353976,3347
O,1549340965,354623,3349
O,1549340966,355563,1661
O,1549340966,355300,2007
O,1549340967,355519,3318
O,1549340967,354713,6967
O,1549340968,353386,1990
O,1549340969,354470,2150
O,1549340969,355857,2025
O,1549340970,355682,2349
O,1549340970,354419,3196
O,1549340971,355167,3154
O,1549340971,355337,2199
O,1549340972,354526,2750
O,1549340973,354988,2738
O,1549340973,355139,1700
O,1549340974,354116,2852
P,1549340974,5097
O,1549340974,355175,2045
O,1549340975,355200,2359
O,1549340975,354841,1590
O,1549340976,355818,1566
O,1549340977,355177,1790
O,1549340977,355858,4137
O,1549340978,355114,2841
O,1549340978,355783,2349
O,1549340979,355828,2451
O,1549340979,354564,2241
O,1549340980,355701,4774
O,1549340980,355767,2264
O,1549340981,355117,640
O,1549340982,355032,2058
O,1549340982,354911,1588
O,1549340983,353919,1098
O,1549340983,354132,1037
O,1549340984,353489,2174
O,1549340984,355540,3464
O,1549340985,355190,2670
O,1549340986,355589,2478
O,1549340986,355686,2541
O,1549340987,355321,3663
O,1549340987,354674,1157
O,1549340988,355813,2061
O,1549340988,354951,1228
O,1549340989,354893,896
O,1549340990,354541,1598
O,1549340990,355343,1128
O,1549340991,356201,2093
O,1549340991,357135,2611
O,1549340992,354870,2301
O,1549340992,354517,1280
T,1549340993,2713
P,1549341004,5104
P,1549341034,5105
P,1549341063,5105
P,1549341093,5106
P,1549341122,5106
P,1549341152,5103
P,1549341181,5106
P,1549341210,5106
P,1549341240,5106
P,1549341269,5104
P,1549341298,5105
P,1549341327,5103
P,1549341357,5105
P,1549341387,5105
P,1549341416,5107
P,1549341445,5107
P,1549341475,5105
P,1549341504,5107
P,1549341533,5106
P,1549341563,5107
P,1549341592,5106
P,1549341621,5106
P,1549341650,5104
P,1549341681,5106
P,1549341710,5106
P,1549341739,5105
P,1549341769,5106
P,1549341798,5106
P,1549341827,5106
P,1549341856,5105
P,1549341886,5106
P,1549341915,5106
P,1549341944,5105
P,1549341975,5107
P,1549342004,5105
P,1549342033,5105
P,1549342062,5106
P,1549342092,5105
P,1549342121,5106
P,1549342150,5106
P,1549342180,5106
P,1549342209,5105
P,1549342238,5106
P,1549342268,5105
P,1549342298,5105
P,1549342327,5106
P,1549342356,5106
P,1549342386,5106
P,1549342415,5105
