16,249856
D,1553635618,250368
D,1553635621,250112
D,1553635623,250624
D,1553635625,249344
D,1553635627,250880
D,1553635629,250368
D,1553635632,249600
D,1553635634,250112
P,1553635635,3619
D,1553635636,249856
D,1553635638,249088
D,1553635640,249344
D,1553635643,250880
D,1553635645,250368
D,1553635647,248576
D,1553635649,248576
D,1553635651,247296
D,1553635654,249344
D,1553635655,247808
D,1553635657,247040
D,1553635659,247808
D,1553635661,247808
D,1553635664,250624
P,1553635664,3594
D,1553635666,249600
D,1553635668,249600
D,1553635670,251136
D,1553635672,250368
D,1553635675,249344
D,1553635677,248576
D,1553635679,249600
D,1553635681,250112
D,1553635683,249600
D,1553635686,248320
D,1553635688,247808
D,1553635690,248576
D,1553635692,248320
D,1553635694,247040
P,1553635695,3417
D,1553635696,249600
D,1553635698,250624
D,1553635700,249344
D,1553635702,248832
D,1553635704,249344
D,1553635707,248064
D,1553635709,250112
D,1553635711,250112
D,1553635713,249344
D,1553635715,249856
D,1553635718,248576
D,1553635720,248832
D,1553635722,250624
P,1553635724,3620
D,1553635724,249344
D,1553635726,249856
D,1553635729,248576
D,1553635731,250368
D,1553635733,250112
D,1553635735,250112
D,1553635736,250880
D,1553635739,251392
D,1553635741,250368
D,1553635743,250880
D,1553635745,250112
D,1553635747,249600
D,1553635750,251904
D,1553635752,249600
P,1553635753,3595
D,1553635754,249600
D,1553635756,250112
D,1553635758,251136
D,1553635761,249600
D,1553635763,248320
D,1553635765,248320
D,1553635767,248320
D,1553635769,247808
D,1553635772,252672
D,1553635774,250112
D,1553635776,249600
D,1553635777,248576
D,1553635779,248832
D,1553635782,248576
P,1553635782,3289
D,1553635784,249344
D,1553635786,250112
D,1553635788,249088
D,1553635790,249344
D,1553635793,250368
D,1553635795,249856
D,1553635797,250368
D,1553635799,253184
D,1553635801,252416
D,1553635804,250112
D,1553635806,250624
D,1553635808,249856
D,1553635810,250624
P,1553635812,3620
D,1553635812,250112
D,1553635815,249856
D,1553635817,249344
D,1553635818,250624
D,1553635820,250624
D,1553635822,249600
D,1553635825,248832
D,1553635827,248064
D,1553635829,250368
D,1553635831,248064
D,1553635834,249344
D,1553635836,248576
D,1553635838,249088
D,1553635840,250368
P,1553635841,3596
D,1553635842,251648
D,1553635845,250880
D,1553635847,250368
D,1553635849,251136
D,1553635851,250624
D,1553635853,251392
D,1553635856,250368
D,1553635858,249600
D,1553635859,248064
D,1553635861,251648
D,1553635863,252160
D,1553635866,251136
D,1553635868,250624
D,1553635870,250880
P,1553635870,3240
D,1553635872,251392
D,1553635874,250880
D,1553635877,251904
D,1553635879,251904
D,1553635881,250112
D,1553635883,249600
D,1553635885,248832
