H,1556759674,241597
P,1556759674,5255
P,1556759703,5257
P,1556759733,5255
P,1556759762,5254
P,1556759791,5256
P,1556759822,5254
P,1556759851,5254
P,1556759880,5255
P,1556759910,5255
P,1556759940,5254
P,1556759969,5254
P,1556759998,5256
P,1556760028,5256
P,1556760057,5255
P,1556760086,5256
P,1556760116,5255
P,1556760146,5255
P,1556760175,5254
P,1556760204,5256
P,1556760234,5254
P,1556760263,5255
P,1556760292,5248
P,1556760321,5254
P,1556760351,5255
P,1556760380,5254
P,1556760410,5255
P,1556760440,5254
P,1556760469,5254
P,1556760498,5254
P,1556760527,5255
P,1556760557,5255
P,1556760586,5256
P,1556760615,5256
P,1556760645,5254
P,1556760674,5253
P,1556760704,5256
P,1556760733,5254
P,1556760763,5255
P,1556760792,5256
P,1556760821,5256
P,1556760851,5254
P,1556760880,5255
P,1556760909,5255
P,1556760938,5254
P,1556760968,5254
P,1556760998,5255
P,1556761027,5253
P,1556761056,5255
P,1556761086,5253
P,1556761115,5256
P,1556761144,5256
P,1556761174,5256
O,1556761193,263849,1958
O,1556761193,264093,96
O,1556761194,264100,88
O,1556761194,264105,90
O,1556761195,264115,142
O,1556761195,264074,89
O,1556761196,264033,96
O,1556761196,264071,126
O,1556761197,264045,160
O,1556761198,264070,111
O,1556761198,264095,164
O,1556761199,264037,165
O,1556761199,264162,120
O,1556761200,264156,77
O,1556761200,264207,124
O,1556761201,264177,84
O,1556761202,264168,96
O,1556761202,264195,77
O,1556761203,264251,109
P,1556761203,5246
O,1556761203,264336,134
O,1556761204,264330,128
O,1556761204,264312,161
O,1556761205,264329,147
O,1556761206,264346,82
O,1556761206,264334,74
O,1556761207,264371,95
O,1556761207,264373,93
O,1556761208,264391,100
O,1556761208,264365,70
O,1556761209,264355,114
O,1556761210,264385,110
O,1556761210,264371,65
O,1556761211,264378,58
O,1556761211,264355,99
O,1556761212,264296,65
O,1556761212,264260,77
O,1556761213,264273,166
O,1556761214,264242,114
O,1556761214,264164,81
O,1556761215,264213,129
O,1556761215,264124,206
O,1556761216,263834,419
O,1556761216,263675,171
O,1556761217,263835,413
O,1556761217,264124,113
O,1556761218,264268,181
O,1556761219,264336,135
O,1556761219,264364,106
O,1556761220,264396,137
O,1556761220,264355,292
O,1556761220,264368,148
O,1556761220,264451,133
O,1556761221,264468,71
O,1556761222,264440,174
O,1556761222,264449,122
O,1556761223,264418,109
O,1556761223,264366,121
O,1556761224,264389,100
O,1556761224,264355,73
O,1556761225,264364,107
O,1556761226,264411,103
O,1556761226,264365,143
O,1556761227,264414,158
O,1556761227,264404,106
O,1556761228,264392,133
O,1556761228,264426,84
O,1556761229,264411,99
O,1556761230,264397,102
O,1556761230,264374,182
O,1556761231,264433,128
O,1556761231,264405,149
O,1556761232,264405,201
O,1556761232,264365,91
P,1556761232,5246
O,1556761233,264269,318
O,1556761233,264246,354
O,1556761234,264301,284
O,1556761235,264221,76
O,1556761235,264247,109
O,1556761236,264168,204
O,1556761236,264159,141
O,1556761237,264147,123
O,1556761237,264142,96
O,1556761238,264236,145
O,1556761239,264240,190
O,1556761239,264274,212
O,1556761240,264315,136
O,1556761240,264270,309
O,1556761241,264278,264
O,1556761241,264392,143
O,1556761242,264395,167
O,1556761243,264459,94
O,1556761243,264390,130
O,1556761244,264363,99
O,1556761244,264361,198
O,1556761245,264313,151
O,1556761245,264408,132
O,1556761246,264367,151
O,1556761247,264458,147
O,1556761247,264453,222
O,1556761248,264475,167
O,1556761248,264422,117
T,1556761248,2805
P,1556761261,5255
P,1556761292,5255
P,1556761321,5256
P,1556761350,5255
P,1556761380,5253
P,1556761409,5256
P,1556761438,5254
P,1556761467,5255
P,1556761497,5255
P,1556761526,5254
P,1556761555,5256
P,1556761586,5253
P,1556761615,5255
P,1556761644,5255
P,1556761673,5255
P,1556761703,5256
P,1556761732,5253
P,1556761761,5254
P,1556761791,5254
P,1556761820,5254
P,1556761849,5253
P,1556761879,5252
P,1556761909,5254
P,1556761938,5254
P,1556761967,5254
P,1556761997,5255
P,1556762026,5254
P,1556762055,5254
P,1556762084,5254
P,1556762114,5254
P,1556762143,5255
P,1556762173,5254
P,1556762203,5255
P,1556762232,5256
P,1556762261,5254
P,1556762290,5254
P,1556762320,5256
P,1556762349,5254
P,1556762378,5253
P,1556762408,5254
P,1556762437,5254
P,1556762467,5254
P,1556762496,5252
P,1556762526,5254
P,1556762556,5255
P,1556762585,5255
P,1556762615,5255
P,1556762644,5255
P,1556762673,5251
