,263808,16985
O,1557769734,264282,7887
O,1557769734,268808,2878
O,1557769735,270896,2873
T,1557769735,2863
P,1557769756,5202
P,1557769785,5202
P,1557769815,5201
P,1557769844,5202
P,1557769873,5202
P,1557769902,5202
P,1557769932,5203
P,1557769961,5202
P,1557769990,5203
P,1557770020,5201
P,1557770050,5202
P,1557770079,5201
P,1557770108,5202
P,1557770138,5202
P,1557770167,5202
P,1557770196,5203
P,1557770225,5201
P,1557770255,5202
P,1557770284,5201
P,1557770314,5202
P,1557770344,5200
P,1557770373,5201
P,1557770402,5202
P,1557770431,5201
P,1557770461,5202
P,1557770490,5203
P,1557770519,5202
P,1557770549,5201
P,1557770578,5202
P,1557770608,5203
P,1557770637,5202
P,1557770667,5200
P,1557770696,5203
P,1557770725,5202
P,1557770755,5200
P,1557770784,5202
P,1557770813,5201
P,1557770842,5202
P,1557770872,5203
P,1557770902,5201
P,1557770931,5203
D,1557770950,196352
D,1557770953,195840
D,1557770956,199680
D,1557770958,197888
D,1557770960,196352
P,1557770961,5104
D,1557770963,197120
D,1557770972,196608
D,1557770982,200192
D,1557770984,204288
D,1557770986,198656
D,1557770989,195840
P,1557770990,5202
D,1557770996,197120
D,1557771000,198912
D,1557771015,200704
D,1557771019,332800
P,1557771019,5201
D,1557771043,196352
D,1557771045,198656
D,1557771046,204288
P,1557771048,5201
D,1557771048,201472
D,1557771051,205568
D,1557771053,204288
D,1557771055,198656
D,1557771057,206848
D,1557771059,203264
D,1557771062,205824
D,1557771064,202752
D,1557771067,200448
D,1557771069,201984
D,1557771074,195840
D,1557771077,202752
P,1557771078,5203
D,1557771079,203520
D,1557771084,202496
D,1557771086,196352
D,1557771089,205568
P,1557771107,5202
P,1557771136,5202
P,1557771166,5201
P,1557771196,5202
P,1557771225,5203
P,1557771254,5202
P,1557771284,5203
P,1557771313,5200
P,1557771342,5201
P,1557771372,5203
P,1557771401,5202
P,1557771430,5203
P,1557771459,5202
P,1557771490,5201
P,1557771519,5203
P,1557771548,5203
P,1557771578,5202
P,1557771607,5202
P,1557771636,5201
P,1557771665,5202
P,1557771695,5203
P,1557771724,5202
P,1557771753,5201
P,1557771783,5203
P,1557771813,5201
P,1557771842,5202
P,1557771872,5201
P,1557771902,5200
P,1557771931,5202
P,1557771960,5202
P,1557771989,5203
P,1557772019,5201
P,1557772048,5203
P,1557772078,5202
P,1557772108,5202
P,1557772137,5202
P,1557772166,5202
P,1557772195,5204
P,1557772225,5202
P,1557772254,5202
P,1557772283,5202
P,1557772313,5202
P,1557772342,5203
P,1557772372,5201
P,1557772401,5202
P,1557772431,5202
P,1557772460,5201
P,1557772489,5201
P,1557772519,5201
P,1557772548,5202
P,1557772577,5202
P,1557772606,5202
P,1557772636,5203
P,1557772666,5202
P,1557772695,5200
P,1557772725,5203
P,1557772754,5201
P,1557772783,5202
P,1557772812,5202
P,1557772842,5201
P,1557772871,5202
P,1557772900,5202
P,1557772930,5202
P,1557772960,5201
P,1557772989,5203
P,1557773018,5201
P,1557773048,5202
P,1557773077,5202
P,1557773106,5201
P,1557773136,5202
P,1557773165,5202
P,1557773194,5202
P,1557773223,5202
P,1557773254,5201
P,1557773283,5201
P,1557773312,5201
O,1557773334,270568,2575
O,1557773334,270964,171
O,1557773335,270750,216
O,1557773336,270679,144
O,1557773336,270645,119
O,1557773337,270756,265
O,1557773337,270799,526
O,1557773338,271064,224
O,1557773338,270809,433
O,1557773339,270609,246
O,1557773339,270773,328
O,1557773340,270746,82
O,1557773341,270673,216
O,1557773341,269522,3891
O,1557773342,268444,973
P,1557773342,5192
O,1557773342,269067,1470
O,1557773342,268882,1626
O,1557773342,269677,550
O,1557773343,269811,2211
O,1557773344,270265,739
O,1557773344,269776,1515
O,1557773345,269780,607
O,1557773345,270131,728
O,1557773346,270376,97
O,1557773346,270282,160
O,1557773347,270198,155
O,1557773348,270396,216
O,1557773348,270512,160
O,1557773349,270554,201
O,1557773349,270327,214
O,1557773350,270554,1274
O,1557773350,271001,1319
O,1557773351,270498,1067
O,1557773352,270141,781
O,1557773352,269954,1923
O,1557773353,271740,758
O,1557773353,271329,740
O,1557773354,270573,884
O,1557773354,270261,934
O,1557773355,270333,1287
O,1557773355,271195,1321
O,1557773356,270484,1187
O,1557773357,269757,527
O,1557773357,270362,388
O,1557773358,270587,262
O,1557773358,270976,479
O,1557773359,271274,827
O,1557773359,271612,647
O,1557773360,271947,717
O,1557773361,272631,872
O,1557773361,271845,1232
O,1557773362,271163,122
