H,1555977784,274013
P,1555977784,5131
P,1555977813,5130
P,1555977843,5131
P,1555977872,5132
P,1555977901,5131
P,1555977931,5130
P,1555977960,5132
P,1555977989,5131
P,1555978018,5132
P,1555978048,5132
P,1555978078,5131
P,1555978107,5132
P,1555978137,5132
P,1555978166,5132
P,1555978195,5132
P,1555978224,5131
P,1555978254,5130
P,1555978283,5132
P,1555978312,5130
P,1555978342,5132
P,1555978372,5132
P,1555978401,5131
P,1555978430,5130
P,1555978460,5131
P,1555978489,5131
P,1555978518,5132
P,1555978547,5131
P,1555978577,5132
P,1555978606,5132
P,1555978635,5130
P,1555978666,5130
P,1555978695,5132
P,1555978724,5132
P,1555978753,5131
P,1555978783,5133
P,1555978812,5132
P,1555978841,5130
P,1555978871,5131
P,1555978900,5132
P,1555978929,5132
P,1555978959,5130
P,1555978989,5132
P,1555979018,5132
P,1555979047,5132
P,1555979077,5128
P,1555979106,5132
P,1555979135,5132
P,1555979164,5130
P,1555979194,5132
P,1555979223,5131
P,1555979253,5132
P,1555979283,5130
P,1555979312,5131
P,1555979341,5132
P,1555979370,5130
P,1555979400,5131
P,1555979429,5132
P,1555979458,5132
P,1555979488,5131
P,1555979517,5129
P,1555979547,5129
P,1555979576,5132
P,1555979606,5132
P,1555979635,5131
P,1555979664,5131
O,1555979671,270078,1634
O,1555979672,270218,115
O,1555979673,270237,72
O,1555979673,270230,97
O,1555979674,270262,63
O,1555979674,270237,88
O,1555979675,270296,133
O,1555979675,270255,89
O,1555979676,270272,137
O,1555979677,270277,134
O,1555979677,270274,74
O,1555979678,270262,95
O,1555979678,270328,76
O,1555979679,270314,89
O,1555979679,270242,112
O,1555979680,270240,84
O,1555979681,270214,92
O,1555979681,270260,84
O,1555979682,270277,90
O,1555979682,270273,93
O,1555979683,270290,175
O,1555979683,270317,59
O,1555979684,270276,73
O,1555979685,270280,81
O,1555979685,270296,159
O,1555979686,270277,95
O,1555979686,270299,114
O,1555979687,270341,113
O,1555979687,270355,126
O,1555979688,270299,115
O,1555979688,270266,50
O,1555979689,270214,118
O,1555979690,270213,94
O,1555979690,270177,155
O,1555979691,270164,92
O,1555979691,270188,70
O,1555979692,270205,166
O,1555979692,270218,121
O,1555979693,270233,77
O,1555979694,270213,81
P,1555979694,5124
O,1555979694,270193,58
O,1555979695,270187,73
O,1555979695,270187,102
O,1555979695,270222,81
O,1555979695,270225,96
O,1555979696,270219,122
O,1555979697,270229,109
O,1555979697,270256,96
O,1555979698,270224,140
O,1555979698,270221,110
O,1555979699,270222,145
O,1555979699,270191,98
O,1555979700,270173,132
O,1555979701,270176,100
O,1555979701,270123,84
O,1555979702,270123,73
O,1555979702,270137,130
O,1555979703,270134,136
O,1555979703,270115,108
O,1555979704,270113,205
O,1555979704,270028,119
O,1555979705,270313,507
O,1555979706,270043,756
O,1555979706,269938,276
O,1555979707,269543,817
O,1555979707,269401,723
O,1555979708,269870,243
O,1555979708,269921,182
O,1555979709,269943,268
O,1555979710,269830,303
O,1555979710,269711,250
O,1555979711,269239,820
O,1555979711,268680,1398
O,1555979712,269586,586
O,1555979712,269844,533
O,1555979713,269956,495
O,1555979714,269795,253
O,1555979714,269825,996
O,1555979715,269148,1030
O,1555979715,269351,1406
O,1555979716,268930,837
O,1555979716,269141,521
O,1555979717,269600,736
O,1555979718,270084,259
O,1555979718,270183,289
O,1555979719,270246,171
O,1555979719,270060,173
O,1555979720,270058,128
O,1555979720,269933,188
O,1555979721,269919,327
O,1555979721,269654,343
O,1555979722,269714,458
O,1555979723,270166,370
O,1555979723,270259,261
P,1555979723,5124
O,1555979724,269730,854
O,1555979724,269758,503
O,1555979725,269745,511
O,1555979725,269269,886
O,1555979726,269565,905
O,1555979727,269760,672
O,1555979727,269506,1350
T,1555979727,2869
P,1555979752,5132
P,1555979781,5131
P,1555979811,5131
P,1555979841,5130
P,1555979870,5132
P,1555979900,5131
P,1555979929,5131
P,1555979958,5130
P,1555979987,5132
P,1555980017,5131
P,1555980046,5131
P,1555980075,5130
P,1555980105,5130
P,1555980135,5130
P,1555980164,5131
P,1555980193,5132
P,1555980223,5130
P,1555980252,5131
P,1555980281,5130
P,1555980311,5130
P,1555980341,5130
P,1555980370,5130
P,1555980399,5129
P,1555980430,5132
P,1555980459,5131
P,1555980488,5131
P,1555980517,5131
P,1555980547,5130
P,1555980576,5132
P,1555980605,5132
P,1555980635,5132
P,1555980664,5129
P,1555980693,5132
P,1555980723,5131
P,1555980753,5127
P,1555980782,5131
